"date","close","volume","open","high","low"
"16:00","87.76","1,099,937","87.45","87.87","87.13"
"2017/10/19","87.2400","683612.0000","86.5000","87.2500","86.4050"
"2017/10/18","86.2200","772490.0000","85.8900","86.2600","85.5000"
"2017/10/17","86.0300","1103556.0000","85.1200","86.1300","85.0300"
"2017/10/16","85.2100","1123427.0000","85.0200","85.3600","84.2700"
"2017/10/13","85.0200","909525.0000","85.2200","85.7800","84.8000"
"2017/10/12","85.1000","1148264.0000","84.4300","85.1700","84.2400"
"2017/10/11","84.4400","725505.0000","83.9100","84.7100","83.8700"
"2017/10/10","84.0700","712899.0000","83.3900","84.0900","83.2700"
"2017/10/09","83.2100","622044.0000","82.9600","83.5400","82.8800"
"2017/10/06","82.7700","610969.0000","82.6000","83.0200","82.2100"
"2017/10/05","82.9100","666606.0000","82.6100","82.9300","82.2800"
"2017/10/04","82.5100","736336.0000","81.7600","82.6100","81.4000"
"2017/10/03","81.7500","606238.0000","81.6700","81.7600","80.9000"
"2017/10/02","81.7700","885407.0000","81.1800","81.9100","80.8900"
"2017/09/29","80.9100","1983375.0000","80.8600","81.0500","80.3750"
"2017/09/28","81.1100","1462290.0000","80.6200","81.1100","79.9400"
"2017/09/27","81.0000","1276996.0000","81.7800","82.1900","80.0300"
"2017/09/26","82.2800","773370.0000","82.4100","82.9200","82.1300"
"2017/09/25","82.4800","954602.0000","82.0300","82.5250","81.5600"
"2017/09/22","82.0300","991006.0000","82.1200","82.5300","81.6400"
"2017/09/21","81.7900","648701.0000","82.2900","82.4900","81.6500"
"2017/09/20","82.4000","1628804.0000","82.5000","83.1400","81.7400"
"2017/09/19","82.3200","687750.0000","82.2500","82.6700","81.8800"
"2017/09/18","82.2400","658091.0000","82.6800","82.6800","81.6300"
"2017/09/15","82.6800","1285704.0000","82.4800","82.7300","81.9800"
"2017/09/14","82.2700","1039220.0000","81.1900","82.3100","80.8300"
"2017/09/13","81.3600","647030.0000","81.9000","81.9000","81.2800"
"2017/09/12","81.7500","591742.0000","82.9100","82.9100","81.3671"
"2017/09/11","82.9200","553739.0000","81.9500","83.0600","81.9500"
"2017/09/08","81.9600","463752.0000","81.3700","82.0000","80.8900"
"2017/09/07","81.5000","568320.0000","81.0000","81.7200","80.8700"
"2017/09/06","80.8500","655127.0000","81.0700","81.0700","80.3900"
"2017/09/05","80.8200","784871.0000","80.8600","80.9100","80.2200"
"2017/09/01","80.8300","414883.0000","81.0700","81.1700","80.6400"
"2017/08/31","80.9000","1195291.0000","80.9800","81.2850","80.5300"
"2017/08/30","80.8500","1156095.0000","81.3000","81.3775","80.5900"
"2017/08/29","81.3600","630647.0000","82.0000","82.1000","81.3300"
"2017/08/28","82.0000","551524.0000","82.1000","82.3100","81.8200"
"2017/08/25","81.9600","458104.0000","81.9500","82.3800","81.7500"
"2017/08/24","81.6700","1160093.0000","81.9400","82.0100","81.3400"
"2017/08/23","81.8000","675518.0000","82.1900","82.1900","81.6730"
"2017/08/22","82.1900","543816.0000","82.1500","82.3100","81.7600"
"2017/08/21","82.0800","526770.0000","81.6100","82.1300","81.5200"
"2017/08/18","81.4400","730332.0000","81.2000","81.9800","80.9750"
"2017/08/17","81.3300","591982.0000","81.5900","82.0000","81.2600"
"2017/08/16","81.5900","689919.0000","81.6200","82.1800","81.5100"
"2017/08/15","81.7600","609066.0000","81.0500","81.8700","80.9100"
"2017/08/14","81.3300","763553.0000","80.8100","81.4050","80.4350"
"2017/08/11","80.7200","497234.0000","81.2100","81.2535","80.2500"
"2017/08/10","81.3600","595549.0000","81.4700","81.7800","81.1400"
"2017/08/09","81.6800","891377.0000","81.2800","81.8800","81.0100"
"2017/08/08","81.3100","585675.0000","81.1700","81.5900","80.9800"
"2017/08/07","81.3900","716737.0000","80.9100","81.6900","80.6800"
"2017/08/04","81.0800","772482.0000","80.6500","81.3800","80.6400"
"2017/08/03","80.6500","1203928.0000","81.2500","81.5450","79.7700"
"2017/08/02","82.0000","870435.0000","81.0700","82.1100","80.8400"
"2017/08/01","81.3800","599442.0000","81.2200","81.6000","80.9100"
"2017/07/31","81.1000","776805.0000","81.0400","81.3600","80.5500"
"2017/07/28","81.0500","495843.0000","80.8700","81.1500","80.5000"
"2017/07/27","80.8000","623250.0000","81.3500","81.3752","80.1900"
"2017/07/26","81.3500","307807.0000","80.5600","81.4600","80.4400"
"2017/07/25","80.7600","468345.0000","80.9300","81.1200","80.4700"
"2017/07/24","80.9300","518391.0000","81.6900","81.6900","80.9110"
"2017/07/21","81.9200","585156.0000","81.0800","81.9200","80.8700"
