"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","18.263","18.263","14.008","14.154","14.103","14.108","14.339","14.189","15.482","14.61","14.326","15.241","15.733","15.324","16.292","15.329","14.372","14.46","17.007","17.19","15.63","16.229","15.706","15.841","17.002","15.931","14.714","13.85","12.893","13.477","14.975","13.798","12.861","11.608","11.298","12.516","12.313","11.645","11.528"
"Tangible Book Value per Share","17.446","17.442","27.346","18.296","16.798","16.519","17.513","17.473","19.042","18.114","16.512","17.481","17.454","17.137","17.697","18.354","17.881","17.342","27.193","24.473","23.866","23.33","22.146","20.919","21.523","21.147","21.001","18.713","18.711","17.888","21.369","20.303","19.031","17.935","17.594","16.394","17.712","16.424","15.434"
"FCF per Share","0.63","0.175","0.575","0.613","0.449","-0.227","0.39","0.524","0.485","-0.155","0.63","0.612","0.426","0.053","0.852","0.158","0.273","0.119","0.708","1.895","1.044","1.126","0.722","1.67","1.368","1.044","1.309","1.516","1.343","0.825","1.025","1.747","0.939","0.289","0.624","1.539","0.902","0.63","0.402"
"Interest Debt per Share","13.8068","13.879","14.8795","5.7642","6.0441","5.8145","6.0521","5.5869","5.865","5.9156","5.1837","5.5025","4.8885","5.0659","4.2305","5.3247","5.0846","4.5275","12.9874","10.3247","11.505","10.5767","9.8713","10.7287","11.7024","12.1038","12.2278","12.1114","11.9664","11.1946","10.6273","10.1238","10.1598","10.166","7.3812","6.835","9.0179","8.5634","7.8992"
"Cash per Share","5.5587","5.0401","12.59","1.6933","1.7484","2.2568","4.1183","2.0943","2.7099","2.1435","2.9527","3.2328","4.6874","4.5974","5.2215","5.5455","6.0195","5.4294","9.6245","7.2963","6.9984","6.0528","5.1854","5.1179","5.7124","4.1903","3.5235","2.4912","2.8313","1.1772","6.4142","5.6232","4.4564","3.6899","3.2759","1.8182","2.4657","1.7551","1.5887"
"Debt to Equity Ratio","0.756","0.7599","1.0622","0.4073","0.4286","0.4121","0.4221","0.3938","0.3788","0.4049","0.3618","0.361","0.3107","0.3306","0.2597","0.3474","0.3538","0.3131","0.7637","0.6006","0.7361","0.6517","0.6285","0.6773","0.6883","0.7598","0.831","0.8745","0.9281","0.8306","0.7097","0.7337","0.7899","0.8758","0.6533","0.5461","0.7324","0.7354","0.6852"
"Total Debt To Total Assets","0.3377","0.3382","0.4178","0.2155","0.2237","0.2167","0.2182","0.2002","0.1985","0.2066","0.19","0.1953","0.1776","0.1864","0.1527","0.1872","0.1849","0.1664","0.3045","0.2574","0.2924","0.2667","0.2557","0.2804","0.2938","0.3047","0.3123","0.3262","0.3462","0.3247","0.313","0.314","0.3297","0.3458","0.2698","0.253","0.3151","0.3211","0.3075"
"Interest Coverage","2.4393","4.4027","6.9346","-0.2906","8.0971","5.5172","23.0","18.0244","23.3636","66.2973","25.9767","24.2857","20.4167","14.6667","22.6061","22.7027","16.025","14.5122","-4.497","13.071","23.1313","17.4996","-34.3582","5.0341","13.4847","8.3412","12.6809","8.1368","12.5898","12.1861","15.7143","14.902","12.4408","16.5607","15.8811","11.9831","12.8773","9.1435","11.1853"
"Current Ratio","2.937","2.908","4.02","1.56","1.498","1.478","1.541","1.815","2.301","2.171","1.295","1.521","1.853","1.76","2.025","1.743","1.816","1.835","2.359","1.674","1.534","1.525","1.535","1.498","1.524","1.373","1.293","1.248","1.356","1.165","1.787","1.71","1.63","1.53","1.47","1.593","1.411","1.403","1.543"
