"","42886.0","42794.0","42704.0","42613.0","42521.0","42429.0","42338.0","42247.0","42155.0","42063.0","41973.0","41882.0","41790.0","41698.0","41608.0","41517.0","41425.0","41333.0","41243.0","41152.0","41060.0","40968.0","40877.0","40786.0","40694.0","40602.0","40512.0","40421.0","40329.0","40237.0","40147.0","40056.0","39964.0","39872.0","39782.0","39691.0","39599.0","39507.0","39416.0"
"Book Value per Share","14.33","13.851","12.926","13.156","12.356","11.769","10.225","10.642","10.33","10.425","9.574","9.958","9.706","9.1","8.507","8.451","8.93","9.145","7.807","7.271","7.105","7.724","6.549","6.72","6.412","6.263","5.196","5.14","5.397","5.387","5.247","5.412","4.729","3.845","3.33","4.117","4.063","3.435","3.209"
"Tangible Book Value per Share","26.677","25.49","26.441","27.308","25.096","23.377","23.101","24.451","23.387","23.166","24.236","24.612","23.135","22.086","22.907","23.429","23.133","22.97","23.483","24.292","22.191","22.547","21.831","22.55","21.372","20.002","18.788","18.827","17.326","17.342","17.966","18.268","17.676","15.771","16.304","18.73","18.303","16.643","16.438"
"FCF per Share","2.677","0.091","1.61","3.047","2.408","0.346","0.877","2.177","2.078","0.351","1.309","2.454","2.023","0.341","0.193","1.834","2.186","0.84","-0.304","2.51","1.743","1.196","0.614","1.927","1.906","0.81","0.05","1.806","1.41","0.967","0.293","1.555","1.559","0.933","0.638","1.531","1.676","1.071","-0.195"
"Interest Debt per Share","0.0447","0.0442","0.044","0.0437","0.0463","0.0457","0.0441","0.0439","0.0435","0.0433","0.0426","0.0424","0.0421","0.0417","0.0407","0.0399","0.0","0.0","0.0001","0.0001","0.0084","0.0091","0.0099","0.0068","0.0071","0.007","0.0005","0.0025","0.0012","0.0006","0.0041","0.0015","0.0027","0.0025","0.0039","0.0134","0.0111","0.015","0.0138"
"Cash per Share","5.4601","5.2072","6.5593","7.8805","5.608","4.8436","4.9056","6.9814","6.4319","6.4646","7.1166","7.7971","6.395","5.7872","7.1105","8.7684","9.1267","8.6773","8.878","10.441","8.7163","8.6143","7.9032","8.8057","8.0706","7.2375","6.5283","7.5945","6.7234","6.4424","6.334","7.2585","6.4178","4.7997","4.4725","5.8379","5.4845","4.2469","4.0409"
"Debt to Equity Ratio","0.0031","0.0032","0.0034","0.0033","0.0037","0.0039","0.0043","0.0041","0.0042","0.0042","0.0045","0.0043","0.0043","0.0046","0.0048","0.0047","0.0","0.0","0.0","0.0","0.0012","0.0012","0.0015","0.001","0.0011","0.0011","0.0001","0.0005","0.0002","0.0001","0.0008","0.0003","0.0006","0.0006","0.0012","0.0033","0.0027","0.0044","0.0043"
"Total Debt To Total Assets","0.0013","0.0014","0.0013","0.0013","0.0015","0.0016","0.0015","0.0015","0.0016","0.0016","0.0015","0.0015","0.0016","0.0016","0.0016","0.0015","0.0","0.0","0.0","0.0","0.0003","0.0004","0.0004","0.0003","0.0003","0.0003","0.0","0.0001","0.0001","0.0","0.0002","0.0001","0.0001","0.0001","0.0002","0.0007","0.0006","0.0008","0.0008"
"Interest Coverage","233.2355","270.1283","419.5853","354.5825","335.3217","342.02","291.864","270.0407","267.8878","244.9165","403.4568","194.2218","260.0818","207.784","280.8734","403.5596","302.7781","302.0308","216.2653","279.8076","284.9122","197.2732","223.0673","220.9659","314.6869","203.8554","164.3839","181.258","355.3707","128.7431","151.6637","88.9199","200.4554","190.1693","205.4571","134.6874","167.1436","68.9775","121.2697"
"Current Ratio","1.224","1.289","1.24","1.349","1.418","1.41","1.254","1.26","1.403","1.469","1.423","1.459","1.462","1.459","1.442","1.451","1.583","1.632","1.506","1.552","1.509","1.533","1.451","1.451","1.512","1.553","1.469","1.456","1.517","1.51","1.446","1.441","1.46","1.378","1.3","1.338","1.316","1.26","1.261"
"Income Quality","2.6776","0.1844","1.0791","1.9224","1.7765","0.2745","0.7855","2.0398","1.7807","0.4362","1.0498","2.3526","1.6679","0.4355","0.2411","1.9009","1.854","0.5756","-0.1557","2.9539","1.7637","1.3322","0.7402","2.2572","2.1544","1.195","0.199","2.8096","1.9587","1.6509","0.4926","4.1101","2.2853","1.5328","0.9755","2.3704","2.3024","1.7808","-0.0825"
"Payout Ratio","1.12","0.0","0.747","0.0","0.764","0.0","0.84","0.0","0.803","0.0","0.773","0.0","0.721","0.0","0.788","0.0","0.648","0.0","0.743","0.0","0.636","0.0","0.68","0.0","0.469","0.0","0.536","0.0","0.5","0.0","1.071","0.0","0.0","0.0","0.649","0.0","0.0","0.0","0.677"
"Intangible Assets out of Total Assets","0.2182","0.2104","0.1961","0.1751","0.1844","0.1929","0.1957","0.161","0.1542","0.1435","0.1361","0.1336","0.1385","0.1414","0.1169","0.1078","0.0891","0.088","0.0845","0.0729","0.0776","0.078","0.0801","0.072","0.066","0.0696","0.0696","0.0655","0.0676","0.0684","0.0688","0.0673","0.068","0.0731","0.072","0.0677","0.0685","0.0716","0.0642"
"Selling, General and Administrative Expense of Revenue","0.164","0.1558","0.1552","0.1629","0.1543","0.1526","0.1584","0.1687","0.1604","0.1538","0.162","0.168","0.1648","0.169","0.1765","0.1815","0.1745","0.1721","0.1718","0.1795","0.1714","0.169","0.1673","0.1802","0.1887","0.1763","0.1725","0.1939","0.1882","0.1872","0.1799","0.1789","0.1689","0.1693","0.1654","0.17","0.1602","0.1666","0.159"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","2051410000.0","2411229000.0","2198324000.0","3097298000.0","3414878000.0","3105621000.0","2150650000.0","2209068000.0","3181079000.0","3513822000.0","3438842000.0","3746363000.0","3518525000.0","3345522000.0","3462716000.0","3683188000.0","4448297000.0","4651475000.0","4036167000.0","4478726000.0","3864959000.0","4016829000.0","3417594000.0","3564594000.0","3774594000.0","3662181000.0","3022859000.0","2996021000.0","3014336000.0","2965233000.0","2752142000.0","2751555000.0","2716390000.0","2066330000.0","1806369000.0","2311250000.0","2067467000.0","1566128000.0","1567902000.0"
"Tangible Asset Value","16524596000.0","15854766000.0","16434981000.0","16999567000.0","15652900000.0","14646359000.0","14472047000.0","15272814000.0","14639555000.0","14553970000.0","15230725000.0","15534558000.0","14647573000.0","14045064000.0","14584818000.0","15048463000.0","15050803000.0","14919492000.0","15021390000.0","15450032000.0","14330237000.0","14575622000.0","14065547000.0","14599519000.0","13920580000.0","12926854000.0","11973641000.0","11994019000.0","11112376000.0","11076305000.0","11346001000.0","11430582000.0","11023916000.0","9785460000.0","10145208000.0","11558568000.0","11100755000.0","10127077000.0","10057169000.0"
"Net Current Asset Value","-1053197000.0","-699622000.0","-1041184000.0","-443406000.0","91522000.0","-95462000.0","-965415000.0","-855002000.0","227025000.0","565886000.0","-37424000.0","259327000.0","277607000.0","63358000.0","191782000.0","404958000.0","1365221000.0","1598090000.0","599478000.0","546944000.0","510204000.0","739729000.0","-78942000.0","90545000.0","419723000.0","433375000.0","-88054000.0","3095000.0","387132000.0","325267000.0","58369000.0","120986000.0","-253417000.0","-644505000.0","-1029236000.0","-698891000.0","-839541000.0","-1217705000.0","-1205006000.0"
"Invested Capital","4015737000.0","4290621000.0","3215176000.0","3242264000.0","4022762000.0","4067171000.0","2954111000.0","2448477000.0","2752142000.0","3025808000.0","2647765000.0","2481907000.0","3009219000.0","3102921000.0","2254820000.0","1281188000.0","1482096000.0","1917961000.0","1365171000.0","700334000.0","1113941000.0","1474879000.0","1404898000.0","996271000.0","1295851000.0","1636765000.0","1366670000.0","589711000.0","971982000.0","1152740000.0","1171358000.0","650916000.0","1114677000.0","1348392000.0","1340451000.0","1116208000.0","1234971000.0","1517732000.0","1582089000.0"
"Average Receivables","6642148000.0","6339645000.0","6282283000.0","6015734500.0","6031657500.0","5756152500.0","5865690000.0","5716149000.0","5584656000.0","5399718500.0","5470885500.0","5278197000.0","5232600500.0","5167827500.0","5127585000.0","4678941500.0","4779083500.0","4886446500.0","4932495500.0","4581923000.0","4718934000.0","4640344500.0","4557624000.0","4193859500.0","4160552500.0","4073326000.0","4056164500.0","3586508000.0","3707792000.0","3653737000.0","4019924500.0","4007651500.0","4176319500.0","3927952000.0","4218295500.0","4161175500.0","4265495500.0","4010712000.0","4071866500.0"
"Average Payables","1212284000.0","1158071500.0","1129084500.0","1216142500.0","1087037500.0","1043941000.0","1021045500.0","1107846000.0","999139000.0","960427000.0","965001500.0","1013039500.0","940145500.0","909681500.0","936483000.0","932849000.0","865666000.0","887742000.0","894173000.0","926548500.0","835662500.0","869400500.0","861233500.0","917289000.0","772872500.0","764998500.0","757061500.0","801353500.0","714831000.0","700049000.0","796932000.0","867303000.0","877475000.0","839847000.0","925542000.0","1001149000.0","936014000.0","897905500.0","888145500.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
