"","42947.0","42855.0","42766.0","42674.0","42582.0","42490.0","42400.0","42308.0","42216.0","42124.0","42035.0","41943.0","41851.0","41759.0","41670.0","41578.0","41486.0","41394.0","41305.0","41213.0","41121.0","41029.0","40939.0","40847.0","40755.0","40663.0","40574.0","40482.0","40390.0","40298.0","40209.0","40117.0","40025.0","39933.0","39844.0","39752.0","39660.0","39568.0","39478.0","39386.0"
"Book Value per Share","1.437","2.311","3.321","4.771","5.966","6.399","7.214","7.692","8.379","9.79","9.772","9.998","10.046","10.082","10.016","9.69","9.194","9.314","9.109","8.949","9.005","8.967","8.324","8.047","7.799","7.674","7.099","6.87","6.692","6.612","6.426","6.236","6.051","5.85","5.789","6.214","5.62","5.019","5.343","5.139"
"Tangible Book Value per Share","12.444","12.822","14.447","14.476","15.159","15.843","17.414","16.107","16.717","14.151","14.826","13.951","13.881","14.521","15.598","14.993","14.599","14.856","14.984","11.214","11.261","11.22","10.879","9.955","10.013","9.788","9.6","8.68","8.358","8.215","7.921","7.387","7.378","7.238","7.795","7.251","7.629","7.214","7.401","6.714"
"FCF per Share","-0.411","0.166","0.021","-0.067","-0.172","0.633","0.62","0.304","0.264","0.326","1.066","0.474","0.348","0.9","0.772","0.351","0.217","0.886","0.642","0.624","0.397","0.56","0.711","0.567","0.504","0.461","0.731","0.474","0.466","0.582","0.541","0.178","0.16","0.06","0.296","0.391","0.845","0.756","0.889","0.656"
"Interest Debt per Share","7.2205","6.7826","6.7483","6.7022","6.672","6.6328","6.6267","6.5996","6.5471","3.2896","3.2721","3.2922","3.2855","3.289","3.3056","3.3447","3.3438","3.3324","3.3241","0.4878","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0092","0.2301","0.0173","0.5352","0.1768","0.0","0.0"
"Cash per Share","5.349","6.0946","5.4916","6.462","6.5739","5.4519","6.0267","5.9365","6.4894","5.2055","6.2114","5.9277","5.8209","7.0907","8.2064","6.6042","6.2797","7.3986","7.1877","3.6674","4.0834","4.7107","5.1145","4.8582","4.9324","4.7826","4.7424","3.9925","3.7281","4.0965","3.6577","3.0422","2.9205","3.8771","4.053","3.5348","4.1463","4.019","3.9857","3.6107"
"Debt to Equity Ratio","5.0235","2.9354","2.032","1.4048","1.1183","1.0366","0.9186","0.8579","0.7813","0.336","0.3349","0.3293","0.3271","0.3262","0.33","0.3452","0.3637","0.3578","0.3649","0.0545","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0016","0.0397","0.0028","0.0952","0.0352","0.0","0.0"
"Total Debt To Total Assets","0.364","0.3366","0.3107","0.3085","0.295","0.2859","0.2697","0.2848","0.2782","0.1565","0.1514","0.1577","0.1588","0.1606","0.1624","0.1727","0.1766","0.1739","0.1731","0.0321","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0009","0.0215","0.0016","0.0491","0.0187","0.0","0.0"
"Interest Coverage","-5.7234","-66.4444","-151.9091","-12.7553","-6.2277","-41.5833","-0.8981","-1.9221","1.2647","0.0","0.6635","4.8667","7.1286","0.0","12.4898","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","1.224","1.044","1.126","1.46","1.594","1.783","1.881","2.095","2.207","1.843","1.908","2.06","2.117","2.315","2.646","2.656","2.549","2.563","2.446","1.75","2.111","2.184","1.987","2.088","2.151","2.114","1.971","2.002","1.96","1.961","1.96","2.052","1.915","1.91","1.735","1.973","1.614","1.938","2.029","2.171"
"Income Quality","0.5035","-0.3488","-0.09","-0.0539","0.1833","-0.9803","-4.5672","-1.8356","-0.2874","4.5288","22.4087","12.7103","3.0735","7.7279","3.4045","1.5729","1.0583","4.0306","2.0886","5.3435","1.6579","1.7655","2.4333","1.8915","1.8567","1.8528","2.8555","2.1325","1.8614","3.7696","2.507","1.5831","4.5048","-0.8474","-0.8197","1.0258","2.3942","1.9588","2.2694","1.9021"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.3727","0.3637","0.3349","0.3336","0.3297","0.3171","0.2912","0.3048","0.2896","0.3268","0.3142","0.3317","0.3292","0.2909","0.2335","0.226","0.2288","0.2249","0.2199","0.2626","0.2401","0.2284","0.2376","0.2477","0.2276","0.2303","0.2193","0.2383","0.2453","0.248","0.2578","0.2675","0.2692","0.2757","0.2709","0.3117","0.3","0.2375","0.2295","0.2264"
"Selling, General and Administrative Expense of Revenue","0.6688","0.6877","0.7471","0.6646","0.566","0.6163","0.5408","0.5295","0.5101","0.5101","0.5421","0.5243","0.4852","0.4859","0.4864","0.4669","0.4458","0.4739","0.431","0.4854","0.4767","0.481","0.4956","0.4696","0.4686","0.4893","0.5287","0.4955","0.4725","0.5019","0.5227","0.555","0.5445","0.5493","0.5457","0.4573","0.462","0.4598","0.477","0.4792"
"Research and Development Expense of Revenue","0.3862","0.3865","0.3906","0.3934","0.3505","0.378","0.3154","0.3299","0.3168","0.3009","0.2881","0.2976","0.2814","0.2878","0.2768","0.2684","0.2651","0.2644","0.2462","0.2792","0.2548","0.2594","0.2524","0.2574","0.2548","0.2586","0.2405","0.2576","0.2523","0.268","0.2561","0.2622","0.2646","0.2853","0.2832","0.2257","0.2499","0.2432","0.2297","0.2288"
"Working Capital","381600000.0","90100000.0","275200000.0","734500000.0","926900000.0","1154500000.0","1402100000.0","1436300000.0","1586000000.0","1070700000.0","1271200000.0","1265400000.0","1292700000.0","1471600000.0","1763500000.0","1569800000.0","1480600000.0","1531300000.0","1508700000.0","739300000.0","1001300000.0","1036600000.0","941800000.0","885000000.0","951700000.0","912900000.0","844500000.0","736100000.0","694300000.0","683000000.0","675600000.0","659800000.0","605600000.0","620400000.0","587900000.0","646100000.0","533500000.0","688900000.0","751500000.0","712200000.0"
