"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","36.243","35.97","35.38","35.229","37.411","36.909","36.447","36.073","35.565","35.215","34.377","34.501","33.957","33.649","33.001","32.37","31.95","31.742","31.39","31.56","30.974","30.705","30.355","30.392","30.428","30.477","28.354","28.404","28.435","28.472","27.493","27.55","27.826","26.891","26.486","27.137","26.477","26.17","25.204"
"Tangible Book Value per Share","127.466","125.431","128.968","124.852","128.728","127.129","125.547","124.419","124.125","122.441","121.589","118.291","117.817","116.726","115.554","112.689","112.87","112.096","111.813","110.836","110.074","109.154","107.945","108.077","108.205","108.381","104.864","105.049","105.164","105.301","100.999","101.21","102.224","112.552","111.657","106.794","106.148","102.897","100.632"
"FCF per Share","-0.477","3.255","-0.596","1.208","-0.318","-0.822","-0.667","1.256","-0.324","0.369","-0.684","1.031","0.18","0.463","-0.143","1.396","-0.07","-0.179","-0.052","0.953","0.427","0.279","-0.766","1.803","0.683","0.603","0.508","1.241","0.177","-1.269","-0.136","0.918","-0.233","-1.426","-1.739","-0.273","-0.648","-0.367","-0.493"
"Interest Debt per Share","43.5218","42.2451","44.6793","43.0813","43.9589","42.7677","41.501","41.1863","42.1923","41.0214","40.5862","39.5571","40.1543","39.8039","39.2559","38.5803","39.3919","38.8618","38.6019","38.0284","38.2043","37.968","37.6037","37.6498","37.6944","37.7558","37.7938","37.8604","37.902","37.9513","36.8746","36.9516","37.3216","46.258","44.4829","43.0265","40.9899","40.0326","39.1446"
"Cash per Share","0.3506","0.3559","0.4281","0.4316","0.5022","0.3877","0.3593","0.3628","0.3978","0.3881","0.3321","0.3968","0.3891","0.5985","0.2421","0.3019","0.2406","0.3684","0.5748","0.9134","0.613","0.5911","0.4575","0.458","0.4586","0.4593","0.612","0.613","0.6137","0.6145","1.0252","1.0274","1.0377","1.7452","1.018","0.8402","0.5429","0.3867","0.4451"
"Debt to Equity Ratio","1.2008","1.1744","1.2628","1.2229","1.175","1.1587","1.1387","1.1418","1.1864","1.1649","1.1806","1.1465","1.1825","1.1829","1.1896","1.1919","1.2329","1.2243","1.2298","1.205","1.2334","1.2365","1.2388","1.2388","1.2388","1.2388","1.3329","1.3329","1.3329","1.3329","1.3412","1.3412","1.3412","1.7202","1.6795","1.5855","1.5481","1.5297","1.5531"
"Total Debt To Total Assets","0.3412","0.3365","0.3462","0.3448","0.3412","0.3361","0.3303","0.3307","0.3394","0.3345","0.3335","0.3339","0.3403","0.3405","0.3392","0.3418","0.3484","0.3461","0.3447","0.3425","0.3465","0.3472","0.3479","0.3479","0.3479","0.3479","0.3599","0.3599","0.3599","0.3599","0.3645","0.3645","0.3645","0.4103","0.3977","0.4022","0.3855","0.3883","0.3883"
"Interest Coverage","3.5375","5.2173","3.0652","-4.7714","3.9662","4.3949","3.6047","4.6054","3.9849","5.3731","2.4239","4.4885","3.7376","4.9409","3.4595","4.0667","2.7807","3.4052","1.0172","4.1245","3.3489","3.524","2.6333","6.219","3.2008","3.6116","2.1647","4.243","1.8072","3.208","2.1296","3.629","2.9333","3.2689","1.6493","3.625","2.7265","4.9589","2.3767"
"Current Ratio","0.454","0.457","0.635","0.765","0.564","0.574","0.573","0.644","0.635","0.577","0.562","0.551","0.569","0.665","0.705","0.758","0.709","0.712","0.673","0.684","0.7","0.664","0.633","0.633","0.633","0.633","0.77","0.77","0.77","0.77","0.893","0.893","0.893","0.642","0.599","0.696","0.712","0.65","0.586"
