"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","54.241","50.707","50.347","55.775","54.753","47.812","41.666","40.246","39.423","42.618","41.108","39.564","38.797","34.473","31.643","31.568","29.44","33.304","34.187","34.198","30.376","29.284","27.808","27.289","25.683","23.553","23.548","23.694","21.394","19.206","18.019","16.893","13.615","11.154","14.265","13.674","16.651","17.012","18.097"
"Tangible Book Value per Share","341.531","333.184","319.111","352.74","343.052","305.114","278.252","273.957","267.752","277.611","268.345","282.004","282.551","271.132","262.551","258.264","250.021","258.409","280.495","294.894","261.808","248.026","249.678","246.228","227.722","216.116","215.2","208.235","194.612","182.033","180.051","177.065","163.038","154.077","170.461","148.219","148.724","151.147","135.402"
"FCF per Share","3.552","4.38","4.589","3.099","3.698","3.179","4.72","3.888","3.806","3.339","4.421","3.202","3.352","3.552","7.333","3.147","4.011","8.215","7.491","8.998","7.903","7.633","7.209","6.671","4.74","4.63","4.515","3.929","3.722","2.731","3.763","3.277","2.626","3.538","2.83","2.512","2.652","2.501","2.704"
"Interest Debt per Share","13.2481","13.088","13.1755","14.112","12.1621","11.9021","11.6966","11.6832","12.5674","14.3652","11.8346","10.1009","10.8826","10.8042","10.5988","10.6671","10.6317","9.1819","9.3118","9.4155","7.8665","8.5085","7.0562","7.0851","6.5338","6.4464","6.4705","6.4018","5.6588","5.5222","5.5639","4.7815","4.271","3.3748","3.698","3.2986","3.2442","3.3589","3.0144"
"Cash per Share","10.7559","10.4829","11.944","12.9003","8.9838","8.2365","10.2354","8.2102","7.1883","9.977","10.4365","5.9081","4.9761","4.385","5.5039","5.9204","5.1331","5.5653","4.367","6.3861","4.5631","4.7436","4.8309","3.9965","2.7674","4.4614","4.5175","5.1802","4.6585","3.4429","4.973","3.8664","3.6213","2.566","2.022","1.0813","2.9238","1.899","3.2161"
"Debt to Equity Ratio","0.2442","0.2581","0.2617","0.253","0.2221","0.2489","0.2807","0.2903","0.3188","0.3371","0.2879","0.2553","0.2805","0.3134","0.335","0.3379","0.3611","0.2757","0.2724","0.2753","0.259","0.2906","0.2537","0.2596","0.2544","0.2737","0.2748","0.2702","0.2645","0.2875","0.3088","0.283","0.3137","0.3026","0.2592","0.2412","0.1948","0.1974","0.1666"
"Total Debt To Total Assets","0.0388","0.0393","0.0413","0.04","0.0355","0.039","0.042","0.0426","0.0469","0.0517","0.0441","0.0358","0.0385","0.0398","0.0404","0.0413","0.0425","0.0355","0.0332","0.0319","0.03","0.0343","0.0283","0.0288","0.0287","0.0298","0.0301","0.0307","0.0291","0.0303","0.0309","0.027","0.0262","0.0219","0.0217","0.0223","0.0218","0.0222","0.0223"
"Interest Coverage","18.1311","15.4839","17.0139","15.8154","13.6364","18.1846","18.0769","13.8955","12.8108","13.2048","14.6076","14.9481","16.284","14.8","13.5366","16.0563","20.6812","20.169","12.72","23.0896","12.9516","22.0877","16.4906","22.0","10.6522","14.1333","15.6136","28.0513","27.9394","30.5152","14.1538","22.96","34.7857","109.875","38.5","22.1429","106.7143","104.7143","84.7143"
"Income Quality","1.9748","2.9679","2.486","2.0127","2.7792","1.8208","2.7479","2.94","2.8674","2.2021","2.8065","2.0467","1.8728","2.2063","5.0193","2.0812","2.099","4.296","6.0258","4.1357","7.6377","4.5299","6.2379","4.2228","8.0693","5.5707","5.0356","2.6754","3.0034","2.0094","6.9762","4.2121","3.9013","2.8981","6.6853","11.94","2.6046","2.5232","3.4308"
