"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41274.0","",""
"Book Value per Share","224.405","224.376","213.784","228.485","193.741","196.175","194.148","196.834","183.569","246.649","128.954","110.255","55.567","55.378","66.986","30.475","",""
"Tangible Book Value per Share","38.105","47.525","56.149","86.476","54.708","57.786","53.947","74.613","35.634","49.856","71.778","31.53","57.865","36.665","44.229","43.532","",""
"FCF per Share","4.561","2.061","-0.461","-2.906","3.246","2.99","3.695","2.535","3.302","1.6","3.408","1.653","2.48","2.304","4.163","1.715","0.247","1.463"
"Interest Debt per Share","90.2097","94.746","91.9436","83.4479","100.0549","107.8204","107.8084","108.4439","109.1959","153.1074","70.6923","58.7858","70.7887","50.1755","63.6121","51.1391","",""
"Cash per Share","2.6459","3.2614","4.8373","19.2378","1.2374","5.7264","2.7782","5.2436","3.8663","7.3054","1.1379","1.2841","24.6475","1.943","2.312","2.5358","",""
"Debt to Equity Ratio","0.402","0.4223","0.4301","0.3652","0.5164","0.5496","0.5553","0.5509","0.5948","0.6208","0.5482","0.5332","1.2739","0.9061","0.9496","1.678","",""
"Total Debt To Total Assets","0.2424","0.2503","0.254","0.2282","0.2985","0.3128","0.3137","0.2989","0.3097","0.3178","0.2944","0.2906","0.4782","0.3892","0.3983","0.4558","",""
"Interest Coverage","-3.712","-9.6914","-2.6618","47.4419","-1.1975","0.5403","-1.1852","14.1167","-0.8388","-3.4852","-6.3545","-8.567","2.1669","2.9354","-4.3372","2.8336","-8.3176","-0.3789"
"Current Ratio","1.208","1.318","2.268","3.953","0.987","0.99","1.035","2.048","1.371","1.439","1.355","1.395","1.978","1.513","1.346","1.396","",""
"Income Quality","-2.0481","-0.2745","1.1866","-0.0721","-2.4152","6.7335","-2.2206","0.2004","-4.4813","-0.9809","-1.1074","-0.5009","9.6407","4.5554","-4.3915","4.128","-0.1282","-2.1265"
"Payout Ratio","-0.295","-0.089","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.054","-0.017","-0.013","0.179","0.089","-0.071","0.1","0.0","0.0"
"Intangible Assets out of Total Assets","0.8976","0.8744","0.8449","0.7635","0.8368","0.8323","0.843","0.7944","0.8989","0.8965","0.7011","0.8441","0.6091","0.7156","0.7231","0.612","",""
"Selling, General and Administrative Expense of Revenue","0.3481","0.3317","0.3304","0.3195","0.3284","0.3225","0.3538","0.2948","0.309","0.4332","2.0603","0.4478","0.2106","0.2105","0.1515","0.2264","0.2319","0.2179"
"Research and Development Expense of Revenue","0.1221","0.2127","0.2363","0.1719","0.1727","0.1186","0.1194","0.3633","0.0964","0.124","0.6713","0.1286","0.0592","0.0646","0.0731","0.0813","0.0685","0.0697"
"Working Capital","1794900000.0","3309100000.0","9983200000.0","23698400000.0","-112200000.0","-104000000.0","287100000.0","8525700000.0","2837400000.0","3361700000.0","1863100000.0","1771000000.0","4089500000.0","1538600000.0","1139800000.0","1089000000.0","",""
"Tangible Asset Value","12772900000.0","15925600000.0","20011600000.0","33959200000.0","21642500000.0","22813900000.0","21281900000.0","29367800000.0","13989800000.0","14433200000.0","15769700000.0","8333400000.0","10080000000.0","6372300000.0","6293800000.0","5476300000.0","",""
"Net Current Asset Value","-39068800000.0","-37937400000.0","-34927900000.0","-22153400000.0","-47223100000.0","-48533500000.0","-50414900000.0","-48677500000.0","-55849700000.0","-57034000000.0","-17311900000.0","-18070100000.0","-7831800000.0","-8234600000.0","-8754100000.0","-6420100000.0","",""
"Invested Capital","33486000000.0","36190500000.0","43181600000.0","51149000000.0","51867300000.0","52925100000.0","54424300000.0","61854400000.0","47692700000.0","48987400000.0","25803300000.0","19049800000.0","13934400000.0","11753000000.0","11721900000.0","8841300000.0","",""
"Average Receivables","2643200000.0","2597400000.0","2328200000.0","2270850000.0","3455300000.0","3322800000.0","1618850000.0","2186250000.0","2993900000.0","2750750000.0","1258600000.0","1780100000.0","","","","","",""
"Average Payables","4587350000.0","4748250000.0","4583800000.0","4969450000.0","5217550000.0","5260600000.0","3589350000.0","4225500000.0","4194050000.0","4071950000.0","2686650000.0","3202700000.0","","","","","",""
"Average Inventory","831350000.0","963450000.0","737750000.0","995450000.0","1756400000.0","2073650000.0","871050000.0","1956350000.0","2209650000.0","2425700000.0","1385450000.0","2086900000.0","","","","","",""
