"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","","",""
"Book Value per Share","2.787","1.589","1.18","1.581","1.453","0.769","0.267","0.151","0.494","-0.206","-0.05","-0.32","-0.438","-0.627","-0.685","","",""
"Tangible Book Value per Share","12.627","11.465","12.219","12.297","12.806","12.078","12.266","13.82","13.983","13.734","14.688","14.069","13.556","13.783","13.987","","",""
"FCF per Share","0.959","-0.511","1.907","0.701","0.97","-0.086","1.292","0.872","0.205","-0.052","0.759","0.984","0.497","-0.105","1.034","0.991","0.577","-0.051"
"Interest Debt per Share","15.1366","15.235","15.2455","15.35","15.5084","15.5996","15.8802","17.048","13.072","13.0563","13.2103","13.342","13.3707","13.8619","13.9281","","",""
"Cash per Share","2.5788","1.9895","3.2536","2.2344","1.7651","1.3087","2.0821","1.8269","2.0981","2.3942","3.0346","2.6215","2.0062","2.5493","2.7734","","",""
"Debt to Equity Ratio","5.4316","9.5898","12.9197","9.7075","10.6731","20.2985","59.4961","112.7517","26.4757","-63.2374","-263.4583","-41.6775","-30.5118","-22.101","-20.3313","0.0037","",""
"Total Debt To Total Assets","0.6172","0.6644","0.6513","0.6389","0.6334","0.659","0.673","0.6787","0.6294","0.6496","0.6273","0.6423","0.6542","0.6749","0.6717","0.0025","",""
"Interest Coverage","8.6335","6.1572","6.1761","2.3269","8.0303","5.5337","5.6442","0.4234","8.3363","5.9828","4.4065","7.937","6.304","4.9847","10.4659","-64.2","195.6","148.75"
"Current Ratio","1.921","1.862","1.93","1.856","1.763","1.749","1.644","1.693","1.927","1.875","1.881","2.012","2.029","1.98","1.93","2.378","",""
"Income Quality","0.9943","-0.598","2.6618","48.25","1.0737","-0.0139","1.8289","-3.381","0.4507","0.0969","2.3701","1.7796","1.4977","-0.0251","6.1963","-1.2599","0.9751","0.0102"
"Payout Ratio","0.144","0.222","0.154","6.0","0.121","0.2","0.135","-0.357","0.149","0.213","0.216","0.127","0.178","0.216","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.4851","0.5","0.478","0.4882","0.477","0.4897","0.4801","0.4499","0.3267","0.3166","0.3025","0.3228","0.3367","0.3289","0.3254","0.3974","",""
"Selling, General and Administrative Expense of Revenue","0.2343","0.2587","0.2473","0.2444","0.2447","0.2664","0.2543","0.238","0.2427","0.2531","0.2368","0.2387","0.2572","0.2666","0.2316","0.231","0.2241","0.2478"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","402400000.0","343700000.0","399700000.0","370000000.0","358200000.0","304300000.0","288000000.0","358500000.0","444200000.0","421600000.0","469200000.0","469800000.0","450200000.0","452400000.0","456300000.0","527200000.0","",""
"Tangible Asset Value","1202100000.0","1092600000.0","1173200000.0","1180500000.0","1226800000.0","1158300000.0","1176500000.0","1325300000.0","1339600000.0","1317100000.0","1406100000.0","1349200000.0","1305400000.0","1327300000.0","1349600000.0","1195400000.0","",""
"Net Current Asset Value","-1226000000.0","-1288200000.0","-1301700000.0","-1348800000.0","-1374800000.0","-1481900000.0","-1498200000.0","-1505300000.0","-993700000.0","-1022200000.0","-995700000.0","-1052200000.0","-1091700000.0","-1092300000.0","-1088800000.0","292300000.0","",""
"Invested Capital","1960800000.0","1956400000.0","1895000000.0","2007300000.0","2073700000.0","2122700000.0","2052800000.0","2267800000.0","1911900000.0","1857500000.0","1847700000.0","1913100000.0","1962400000.0","1955200000.0","1935400000.0","500200000.0","",""
"Average Receivables","329600000.0","297350000.0","281700000.0","275100000.0","404700000.0","379350000.0","266900000.0","357000000.0","452450000.0","430400000.0","324600000.0","411400000.0","","","","","",""
"Average Payables","185150000.0","167700000.0","177500000.0","172650000.0","204750000.0","196900000.0","175350000.0","201550000.0","226800000.0","222550000.0","193450000.0","225050000.0","","","","","",""
"Average Inventory","236550000.0","227250000.0","212350000.0","222300000.0","215600000.0","200700000.0","186700000.0","198500000.0","190000000.0","176050000.0","178400000.0","173550000.0","","","","","",""
