"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","39.621","39.536","39.05","37.934","36.604","35.832","36.89","36.48","42.292","17.641","16.654","15.769","14.562","13.655","11.996","12.035","11.327","10.731","10.149","9.684","9.279","6.534","6.15","5.747","5.211","4.96","4.772","4.536","4.451","4.194","3.915","2.443","2.27","1.681","1.482","1.133","0.838","0.72","0.683"
"Tangible Book Value per Share","19.375","18.638","17.576","16.898","15.376","13.89","14.923","14.806","16.496","17.926","16.951","15.347","13.644","12.753","12.358","10.986","9.823","9.174","8.823","8.293","8.094","5.796","6.633","6.163","5.496","5.393","5.373","5.012","4.738","4.454","4.197","2.875","2.73","2.696","2.551","2.612","2.306","2.223","2.108"
"FCF per Share","0.804","1.04","1.238","0.876","0.768","0.489","0.495","0.65","0.817","-0.171","1.161","1.307","0.317","-0.247","1.008","0.704","0.457","0.211","0.501","0.699","0.516","0.318","0.456","0.386","0.388","0.122","0.262","0.221","0.237","0.108","0.132","0.177","-0.003","-0.018","0.076","0.061","0.036","-0.151","-0.23"
"Interest Debt per Share","14.5","14.6563","14.7684","15.5088","15.3869","15.2049","15.9504","16.1324","17.9473","0.8046","0.8302","0.7903","0.7126","0.6669","0.7314","0.7015","0.7368","0.765","0.7673","0.8327","1.2091","1.9119","0.0","0.0093","0.0113","0.359","0.0287","0.0277","0.0244","0.0547","0.0617","0.1767","0.3188","0.8822","0.8653","1.3147","1.3651","1.4642","1.3098"
"Cash per Share","2.4196","3.183","4.3389","3.399","2.6676","3.1564","4.5113","5.1421","6.5376","4.5988","4.7612","3.7978","3.093","2.6708","2.6684","4.653","4.7963","5.2521","5.0956","4.6833","4.2753","1.9355","2.9321","2.3851","1.9013","1.5927","1.4829","1.1731","1.1916","1.0511","0.8939","0.9541","0.8672","0.8618","0.8382","0.8134","0.7041","0.7015","0.6475"
"Debt to Equity Ratio","0.366","0.3707","0.3782","0.4088","0.4204","0.4243","0.4324","0.4422","0.4244","0.0456","0.0498","0.0501","0.0489","0.0488","0.061","0.0583","0.065","0.0713","0.0756","0.086","0.1303","0.2926","0.0","0.0016","0.0022","0.0724","0.006","0.0061","0.0055","0.013","0.0158","0.0723","0.1404","0.5247","0.5839","1.16","1.6297","2.0336","1.9179"
"Total Debt To Total Assets","0.2408","0.2444","0.2481","0.2615","0.2645","0.2672","0.2727","0.2775","0.2756","0.0363","0.0392","0.0402","0.0397","0.039","0.0438","0.045","0.0511","0.0555","0.057","0.0643","0.0928","0.176","0.0","0.0013","0.0017","0.0565","0.0051","0.0053","0.0049","0.0116","0.0138","0.056","0.1054","0.2932","0.302","0.4684","0.5449","0.6036","0.5825"
"Interest Coverage","9.5833","9.0833","5.2563","7.3738","8.0833","6.9583","4.1787","7.9781","45.6467","165.278","362.9647","361.6244","306.7986","200.3518","171.9752","125.5714","130.9839","100.6934","91.7521","76.8841","40.3083","30.6498","405.7978","322.9461","242.8079","207.1919","255.2931","264.0062","204.057","144.2048","269.9762","347.025","165.1651","46.4775","39.7685","32.7098","4.0136","-6.2802","-19.1874"
"Current Ratio","3.258","3.265","3.132","2.508","3.586","3.525","3.408","3.234","3.293","4.915","4.608","5.094","5.605","5.66","3.755","4.844","5.54","5.241","4.153","3.897","3.402","2.296","4.132","3.869","3.73","3.081","4.668","4.744","5.511","5.281","4.38","3.077","2.676","4.086","3.282","4.405","4.175","3.733","5.421"
"Income Quality","1.697","1.8118","4.1401","3.0888","1.9917","1.8913","2.8792","-1.214","1.3995","0.2522","1.8471","1.584","0.6376","-0.1949","-10.9984","1.5384","1.0189","0.5655","1.2962","1.5331","2.8001","1.383","1.8847","1.1629","2.2646","0.908","1.9285","1.5407","2.088","1.0267","0.1368","1.4498","1.5899","1.0981","2.0116","0.988","5.9604","2.6484","1.7364"
