"","42917.0","42826.0","42735.0","42637.0","42546.0","42455.0","42364.0","42273.0","42182.0","42091.0","42000.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40537.0","40446.0","40355.0","40264.0","40173.0","40082.0","39991.0","39900.0","39809.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","0.441","0.436","0.444","0.472","-0.52","-0.634","-0.52","-0.428","-0.181","0.022","0.241","0.695","0.656","0.671","0.719","0.573","0.477","0.554","0.72","1.328","1.512","1.433","2.169","2.392","2.267","2.164","1.419","0.861","1.061","1.126","-0.606","-2.372","-2.324","-2.0","-0.069","1.914","2.117","4.04","4.706"
"Tangible Book Value per Share","3.26","3.206","3.236","4.082","3.812","3.409","3.543","3.753","3.934","4.0","4.353","4.809","4.74","4.573","4.896","4.864","4.331","4.208","4.486","5.314","5.931","5.894","6.307","6.724","6.743","6.747","6.5","5.924","6.443","6.829","12.262","11.971","12.334","13.704","11.83","13.605","14.145","14.462","16.924"
"FCF per Share","-0.099","-0.343","0.178","0.025","-0.134","-0.086","0.034","-0.093","-0.095","-0.25","0.121","-0.014","-0.067","-0.296","0.0","0.083","-0.08","0.004","-0.412","-0.365","0.057","0.091","0.136","0.202","0.148","-0.286","-0.352","-0.216","-0.182","-0.035","1.382","-0.343","-0.384","-0.759","-0.598","-0.49","-0.096","-0.419","-0.301"
"Interest Debt per Share","1.4995","1.4995","1.5315","2.0025","2.8186","2.8197","2.8245","2.879","2.9165","2.9189","2.8468","2.8675","2.8927","2.8095","2.7186","2.7067","2.7221","2.729","2.7336","2.7383","2.7348","2.7507","2.7503","2.8258","3.0373","3.05","3.07","3.0687","3.4147","3.6832","6.4589","8.0259","8.2939","8.8866","7.8682","8.4539","8.5684","8.7244","9.1002"
"Cash per Share","0.8042","0.7689","1.349","1.5436","1.2053","0.9029","0.9912","0.9618","1.0656","0.8713","1.036","0.8312","0.6584","0.728","1.148","1.4003","1.2872","1.3391","0.7349","1.745","2.1367","2.1035","2.4079","2.4787","2.5704","2.4236","2.5056","2.4208","2.6742","2.7327","3.7904","3.6182","3.7691","4.3435","1.8056","2.2056","2.5815","2.3168","3.2625"
"Debt to Equity Ratio","3.3981","3.4425","3.4495","4.239","-5.4189","-4.4453","-5.4296","-6.7262","-16.0922","133.4118","11.8289","4.1271","4.4112","4.184","3.7831","4.7212","5.7019","4.9253","3.7955","2.0627","1.8093","1.9192","1.2679","1.1812","1.34","1.4095","2.1639","3.5635","3.2194","3.2714","-10.6542","-3.384","-3.569","-4.4433","-113.7143","4.4158","4.0475","2.1597","1.9336"
"Total Debt To Total Assets","0.4205","0.4268","0.4321","0.4513","0.6749","0.7501","0.7254","0.6999","0.6711","0.6616","0.5872","0.5105","0.5205","0.5204","0.4745","0.4746","0.5253","0.5383","0.5105","0.4423","0.4009","0.4048","0.4069","0.3934","0.4209","0.4216","0.4416","0.4762","0.4886","0.4977","0.5023","0.6368","0.6371","0.6146","0.6225","0.5444","0.5316","0.4717","0.4562"
"Interest Coverage","0.5938","-1.125","-0.3529","-8.8049","3.3902","-1.7","-1.2439","-4.0513","-3.5","-3.425","-7.9512","1.4419","0.3043","0.617","3.0455","2.0851","-0.6905","-2.2727","-9.4222","-2.5682","1.7209","-13.4651","-3.2093","3.1905","2.3617","11.6667","11.6923","-1.0893","0.1273","6.2449","11.1765","0.0263","-1.963","-2.0103","-13.3895","-0.4362","-10.8317","-2.604","-15.5364"
"Current Ratio","1.733","1.821","1.88","1.917","1.585","1.676","1.654","1.702","1.752","1.933","1.9","1.928","1.948","1.944","1.782","1.668","1.694","1.77","1.621","1.81","1.375","1.361","1.82","1.839","2.62","2.481","2.147","1.929","2.033","2.025","1.934","1.887","1.836","1.91","1.069","1.378","1.39","1.283","1.738"
"Income Quality","5.125","4.0959","-3.6863","-0.0714","-1.2319","0.3853","-0.5784","0.2843","0.3149","0.9556","-0.3187","1.0588","0.7778","10.2","0.236","0.4375","0.473","1.0616","0.6047","1.5287","2.1892","-0.1814","-1.0565","1.9485","2.8525","-0.3294","-0.568","1.0508","2.2791","0.0895","0.9762","1.1094","0.4364","0.9399","0.1741","1.6119","0.2025","-0.044","-0.0341"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.0858","0.0876","0.087","0.0799","0.0872","0.0933","0.0901","0.0876","0.0946","0.0933","0.1022","0.1438","0.1472","0.1529","0.1455","0.1471","0.1642","0.1699","0.1623","0.1416","0.1305","0.1327","0.0668","0.0638","0.0655","0.0674","0.0651","0.0807","0.0781","0.0772","0.0464","0.0502","0.0525","0.0523","0.064","0.1238","0.1224","0.2181","0.1516"
"Selling, General and Administrative Expense of Revenue","0.1023","0.123","0.1094","0.0895","0.1139","0.1262","0.1138","0.1018","0.1423","0.1272","0.1162","0.105","0.1069","0.1117","0.1064","0.1061","0.1473","0.1645","0.1671","0.1481","0.15","0.1451","0.1437","0.1473","0.1518","0.1618","0.1516","0.1459","0.1385","0.1391","0.1452","0.1583","0.2086","0.2438","0.2728","0.1753","0.246","0.2266","0.1779"
"Research and Development Expense of Revenue","0.2283","0.2703","0.2387","0.1982","0.2366","0.2909","0.239","0.2271","0.2495","0.235","0.1921","0.1945","0.1922","0.1997","0.1844","0.1971","0.2653","0.2868","0.271","0.2585","0.2442","0.2322","0.2117","0.2136","0.2332","0.2275","0.2135","0.2219","0.2244","0.2052","0.2625","0.3009","0.359","0.3772","0.4002","0.2437","0.3429","0.3215","0.274"
"Working Capital","1062000000.0","1126000000.0","1184000000.0","1351000000.0","925000000.0","898000000.0","917000000.0","1017000000.0","1052000000.0","1205000000.0","1296000000.0","1454000000.0","1427000000.0","1306000000.0","1266000000.0","1177000000.0","1007000000.0","1017000000.0","868000000.0","1260000000.0","881000000.0","848000000.0","1455000000.0","1557000000.0","2126000000.0","2036000000.0","1920000000.0","1547000000.0","1683000000.0","1686000000.0","2065000000.0","1842000000.0","1691000000.0","1892000000.0","153000000.0","905000000.0","963000000.0","775000000.0","1938000000.0"
