"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","15.608","14.83","14.146","14.546","14.388","14.029","13.72","13.816","14.3","13.546","13.278","14.129","13.956","13.363","12.818","12.023","11.315","10.778","10.452","10.01","9.498","9.116","8.555","8.484","8.253","7.856","7.436","7.01","6.534","6.361","6.499","6.173","5.931","5.538","5.381","5.696","5.647","5.37","5.182"
"Tangible Book Value per Share","10.588","10.555","11.067","10.137","10.12","9.916","9.615","9.26","9.242","9.086","8.94","9.26","9.039","8.434","8.157","7.449","7.13","7.045","6.894","6.771","6.782","6.783","6.378","6.638","6.713","6.43","6.215","5.881","6.051","6.084","6.001","5.759","5.556","5.652","5.74","6.286","6.28","5.881","5.796"
"FCF per Share","0.802","0.562","0.983","0.663","0.749","0.598","0.74","0.702","0.631","0.446","0.776","0.732","0.572","0.598","0.75","0.67","0.482","0.6","0.697","0.619","0.43","0.552","0.56","0.519","0.436","0.389","0.467","0.439","0.343","0.359","0.403","0.272","0.27","0.436","0.123","0.216","0.228","0.283","0.349"
"Interest Debt per Share","10.4336","10.5186","10.1714","9.2906","9.1826","9.4405","8.1698","7.9892","6.8978","6.9421","7.025","6.6684","6.5361","5.7486","5.7838","5.3272","5.1043","5.4409","5.9936","5.6669","6.2678","5.6637","5.2676","4.6033","5.033","4.5216","4.8947","4.652","4.2653","4.2797","4.3202","4.4074","4.4108","4.5705","4.6454","4.8395","4.5721","3.7935","3.7717"
"Cash per Share","2.244","2.4842","3.1157","1.921","1.9555","1.6467","1.6061","1.367","1.3523","1.6875","1.5477","1.5059","1.1532","1.0834","1.2066","1.0444","0.852","0.7289","0.6513","0.6726","0.6783","0.9131","0.7101","0.9043","0.8171","0.647","0.6837","0.5674","0.9707","1.0656","1.0217","0.8358","0.5723","0.5669","0.3635","0.6959","0.594","0.4812","0.7107"
"Debt to Equity Ratio","0.6685","0.7093","0.719","0.6387","0.6382","0.6729","0.5955","0.5783","0.4824","0.5125","0.5291","0.472","0.4684","0.4302","0.4512","0.4431","0.4511","0.5048","0.5734","0.5661","0.6599","0.6213","0.6157","0.5426","0.6099","0.5756","0.6582","0.6636","0.6528","0.6728","0.6648","0.714","0.7437","0.8254","0.8633","0.8496","0.8097","0.7065","0.7278"
"Total Debt To Total Assets","0.3187","0.3308","0.3298","0.3088","0.308","0.3171","0.291","0.2885","0.254","0.264","0.2669","0.2491","0.2471","0.2312","0.2407","0.2381","0.2395","0.2558","0.2801","0.2804","0.3094","0.2952","0.2926","0.2699","0.2915","0.2783","0.306","0.3093","0.3104","0.3183","0.3209","0.3344","0.3402","0.359","0.3638","0.3658","0.3506","0.3174","0.3289"
"Interest Coverage","9.2826","8.808","7.1579","8.3806","9.0385","8.822","9.038","9.9346","10.4871","9.6743","10.1968","10.7202","11.9805","11.5593","10.8909","10.8751","11.0139","10.6266","10.0688","9.7397","9.7187","9.5841","9.1728","9.0577","8.9148","8.7776","7.7731","7.3795","6.8126","6.084","5.2928","4.4173","5.3777","6.0484","4.6797","7.63","7.384","7.6342","8.0848"
"Current Ratio","1.798","1.758","2.086","1.395","1.414","1.288","1.581","1.719","1.927","1.79","1.686","1.912","1.364","1.539","1.566","1.787","1.831","1.519","1.324","1.49","1.263","1.537","1.684","2.085","1.8","2.083","1.769","2.009","2.13","2.217","2.285","2.139","2.34","2.25","2.133","1.698","1.168","1.373","1.486"
"Income Quality","1.3222","1.0253","2.2667","1.2928","1.3672","1.1301","1.4572","1.2005","1.0511","0.858","1.4033","1.3865","1.0334","1.1449","1.5446","1.2993","0.9987","1.2531","1.6121","1.4085","1.0181","1.279","1.4987","1.3987","1.2232","1.146","1.5798","1.4775","1.3135","1.5853","2.0955","1.6667","1.4255","1.8693","0.9737","0.8853","0.9918","1.1529","1.5621"
"Payout Ratio","0.138","0.148","0.191","0.161","0.153","0.158","0.158","0.138","0.141","0.153","0.143","0.155","0.148","0.105","0.107","0.115","0.113","0.118","0.122","0.125","0.128","0.087","0.093","0.098","0.103","0.105","0.118","0.091","0.103","0.125","0.143","0.167","0.136","0.125","0.167","0.1","0.107","0.107","0.115"
"Intangible Assets out of Total Assets","0.6766","0.6681","0.6412","0.6631","0.6606","0.6669","0.6576","0.6656","0.6597","0.6544","0.6603","0.6541","0.6582","0.6607","0.6605","0.6671","0.6654","0.6688","0.6778","0.6649","0.6652","0.6465","0.6457","0.6107","0.6112","0.6043","0.6115","0.609","0.5597","0.5474","0.5543","0.563","0.5715","0.5561","0.5504","0.5248","0.5185","0.5079","0.4946"
"Selling, General and Administrative Expense of Revenue","0.1244","0.1215","0.1219","0.1198","0.1217","0.1188","0.1143","0.1123","0.1123","0.1127","0.1147","0.1155","0.1144","0.1155","0.1132","0.1112","0.108","0.1106","0.1115","0.1144","0.1158","0.1149","0.1208","0.1146","0.1182","0.1135","0.1227","0.1177","0.118","0.1213","0.1237","0.1285","0.1162","0.1167","0.1368","0.1208","0.132","0.12","0.125"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","794127000.0","770645000.0","1003749000.0","480152000.0","500160000.0","372036000.0","594806000.0","665263000.0","769211000.0","710252000.0","642460000.0","758421000.0","408845000.0","502366000.0","494584000.0","576336000.0","564345000.0","415027000.0","284774000.0","373439000.0","235630000.0","402719000.0","430244000.0","562330000.0","481237000.0","531803000.0","423633000.0","467598000.0","522553000.0","546953000.0","545148000.0","511552000.0","522443000.0","523279000.0","507073000.0","427575000.0","147916000.0","258195000.0","311454000.0"
"Tangible Asset Value","2436822000.0","2422767000.0","2547703000.0","2350671000.0","2360855000.0","2330093000.0","2280856000.0","2221901000.0","2231918000.0","2189226000.0","2181372000.0","2272840000.0","2216414000.0","2065676000.0","1995613000.0","1817821000.0","1737426000.0","1713958000.0","1672090000.0","1639586000.0","1635660000.0","1629192000.0","1530296000.0","1602410000.0","1615273000.0","1540553000.0","1483714000.0","1399371000.0","1438638000.0","1459580000.0","1446853000.0","1384788000.0","1333895000.0","1353275000.0","1373705000.0","1504030000.0","1497083000.0","1401767000.0","1387618000.0"
"Net Current Asset Value","-2153544000.0","-2107132000.0","-1915971000.0","-1906973000.0","-1891581000.0","-2035426000.0","-1786997000.0","-1738015000.0","-1505135000.0","-1462624000.0","-1602798000.0","-1513124000.0","-1532415000.0","-1382040000.0","-1372652000.0","-1218437000.0","-1191590000.0","-1338200000.0","-1490162000.0","-1333811000.0","-1462640000.0","-1266298000.0","-1207566000.0","-987904000.0","-1085999000.0","-988253000.0","-1069219000.0","-980264000.0","-728727000.0","-702856000.0","-709578000.0","-724290000.0","-776586000.0","-781038000.0","-813184000.0","-762227000.0","-734655000.0","-617617000.0","-552789000.0"
"Invested Capital","3326581000.0","3250264000.0","3247568000.0","2842890000.0","2839350000.0","2870959000.0","2813870000.0","2885461000.0","2741008000.0","2556813000.0","2581639000.0","2708202000.0","2414484000.0","2276423000.0","2240930000.0","2130812000.0","2094100000.0","2061181000.0","2087912000.0","2086506000.0","2087286000.0","2020087000.0","1994953000.0","1977104000.0","2027782000.0","1977869000.0","1938159000.0","1908037000.0","1759540000.0","1781289000.0","1817896000.0","1794502000.0","1865627000.0","1893436000.0","1950893000.0","1883101000.0","1564975000.0","1498604000.0","1479687000.0"
"Average Receivables","619426000.0","605394000.0","597810500.0","602581000.0","607834500.0","599594500.0","594378500.0","601735500.0","606615500.0","592354000.0","561081500.0","562772000.0","557849000.0","560794500.0","522275500.0","512478000.0","502173000.0","498751500.0","473047500.0","458937500.0","461332000.0","451419000.0","419079000.0","407562000.0","403496000.0","395352000.0","365648000.0","369648500.0","361978500.0","366542500.0","368697500.0","393663500.0","399698000.0","403538000.0","400821500.0","408038500.0","404944000.0","388874500.0","362196500.0"
"Average Payables","382180000.0","374520500.0","367446000.0","360338500.0","371338500.0","373645000.0","375781000.0","378503500.0","383414000.0","375550500.0","366922500.0","356310500.0","357306000.0","356306000.0","334410500.0","309511000.0","315884500.0","316795500.0","302125500.0","275682000.0","283220000.0","276302500.0","259834000.0","245355000.0","240318000.0","232555500.0","214189500.0","199262500.0","195210500.0","192797000.0","197760500.0","196860500.0","214935500.0","209450000.0","204956000.0","206019500.0","212134000.0","203046500.0","183392000.0"
"Average Inventory","539092000.0","539352000.0","503277500.0","539610500.0","539445000.0","527431500.0","505173500.0","534334000.0","540103000.0","494767000.0","474372000.0","487903500.0","488599500.0","458746000.0","440891500.0","428515500.0","427261000.0","413651500.0","404703000.0","385868000.0","389963500.0","372341500.0","357862000.0","348134500.0","340032000.0","328692000.0","323397500.0","322483500.0","320609500.0","323369500.0","330525500.0","337716500.0","341293500.0","333774500.0","325594000.0","338082000.0","311292000.0","285478500.0","269231000.0"
