"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","63.943","63.226","65.691","59.048","54.251","53.117","52.832","49.087","48.555","46.675","47.505","46.683","45.955","45.259","39.966","38.201","40.58","40.435","40.081","37.35","36.14","36.093","36.233","34.79","35.198","34.0","35.088","33.439","33.36","26.902","26.263","26.393","26.664","27.148","23.393","30.407","29.774","32.459","16.49"
"Tangible Book Value per Share","80.083","78.907","83.913","76.675","70.572","69.841","63.587","58.823","59.689","57.445","59.076","51.133","47.466","49.793","47.124","45.673","42.104","44.546","43.2","39.888","31.936","34.599","34.573","32.054","34.593","32.956","33.865","30.359","34.932","36.354","33.279","31.832","32.519","31.715","37.379","44.682","40.02","45.496","58.645"
"FCF per Share","5.663","2.081","6.16","6.224","5.786","0.398","6.322","6.862","6.308","2.088","7.251","7.218","5.809","5.467","3.772","5.184","4.864","3.75","3.385","3.988","3.496","0.992","2.928","4.592","3.392","2.444","2.452","3.246","2.536","1.578","1.756","1.905","1.726","0.378","1.934","4.664","4.503","1.371","9.716"
"Interest Debt per Share","36.0995","35.7319","38.2868","39.2078","39.7193","42.6074","34.9981","33.1956","34.1282","35.0876","34.2658","23.1888","24.1661","26.784","25.912","26.9342","25.6478","27.7097","31.3577","31.0696","27.2724","23.3043","23.266","22.237","23.7063","24.6332","27.1345","25.3752","35.5144","26.842","22.8231","22.9576","23.0979","23.8366","29.9517","41.6505","39.9964","45.5751","74.6801"
"Cash per Share","6.476","5.1781","7.8185","7.8293","6.6989","5.5111","10.4991","9.9945","8.9469","7.9964","9.9566","10.0755","6.7545","13.9125","8.794","9.8195","7.7928","6.3567","8.2769","7.207","6.0506","7.6298","8.7282","6.2293","5.9731","4.8803","6.1072","4.9893","4.9449","4.8054","6.1413","5.3818","6.6192","5.929","10.0278","10.1971","4.9169","4.7063","7.8355"
"Debt to Equity Ratio","0.5646","0.5651","0.5828","0.664","0.7321","0.8021","0.6624","0.6763","0.7029","0.7517","0.7213","0.4967","0.5259","0.5918","0.6483","0.7051","0.632","0.6853","0.7824","0.8318","0.7546","0.6457","0.6421","0.6392","0.6735","0.7245","0.7733","0.7589","1.0646","0.9978","0.869","0.8699","0.8662","0.878","1.2804","1.3698","1.3434","1.4041","4.5289"
"Total Debt To Total Assets","0.2354","0.2359","0.2411","0.2539","0.266","0.2844","0.2419","0.2388","0.2427","0.2566","0.2462","0.1873","0.1989","0.2172","0.219","0.2289","0.2243","0.2346","0.2635","0.2663","0.2497","0.2308","0.2296","0.2249","0.2319","0.2426","0.2636","0.2624","0.3207","0.2944","0.2844","0.289","0.3108","0.3191","0.3686","0.4671","0.4703","0.4769","0.6258"
"Interest Coverage","9.4286","9.3196","10.8348","8.1652","8.3333","8.2197","11.0821","8.0254","9.9244","9.9009","12.4121","9.7737","9.01","8.1648","14.0691","6.3367","5.2346","5.1281","5.6653","4.4083","1.4649","4.3333","4.3077","4.3094","4.9834","4.3918","6.7486","4.5583","3.5828","2.8375","3.6271","2.4324","2.006","1.5034","-8.3292","3.0547","4.2478","3.1607","3.9608"
"Current Ratio","1.969","2.296","1.974","2.428","2.248","2.348","2.58","2.099","2.052","2.265","2.04","1.892","1.62","1.962","2.354","2.578","2.268","4.172","4.196","3.004","2.863","2.777","2.622","2.054","","","","","","","","","","","","","","",""
"Income Quality","2.5487","0.9967","2.2709","3.1319","2.916","0.2462","2.3878","3.5812","2.7304","0.9305","2.6328","3.9196","3.3118","3.8562","1.3243","3.7606","4.0587","3.2404","2.478","3.8452","27.7879","1.4037","3.9355","6.0399","3.9429","3.2813","2.0839","4.9529","4.5675","3.8857","3.0508","4.5113","6.5775","2.5618","-0.9313","11.37","5.1847","1.5956","5.0878"
