"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","15.171","16.037","15.875","15.763","15.941","16.35","15.696","15.631","17.277","18.147","9.97","10.586","11.131","9.291","8.953","8.94","8.898","9.29","9.041","8.999","8.506","8.832","8.358","8.258","8.981","8.797","8.777","8.614","8.509","8.587","8.255","8.134","7.77","7.752","7.569","7.208","7.611","7.328","7.483"
"Tangible Book Value per Share","35.194","34.756","34.111","33.137","33.343","30.955","30.616","30.373","29.729","30.642","26.244","26.097","26.157","25.465","24.975","30.831","20.972","20.983","20.345","19.235","18.809","18.654","17.978","15.217","14.745","14.2","14.97","13.011","11.753","11.862","11.641","11.636","11.841","11.599","11.283","11.034","11.185","10.912","10.549"
"FCF per Share","1.385","1.205","1.215","1.202","1.371","0.965","1.012","0.709","0.885","0.866","0.792","0.606","0.868","0.665","0.452","0.487","0.591","0.683","0.27","0.514","0.647","0.713","0.483","0.329","0.345","0.467","0.321","0.405","0.46","0.494","0.311","0.432","0.351","0.393","0.275","0.405","0.313","0.347","0.202"
"Interest Debt per Share","45.0317","44.2102","43.4977","43.8975","44.0496","40.1409","40.3952","40.2183","38.3407","38.8044","36.6664","35.166","35.303","36.2756","36.6775","32.0342","22.3963","22.3893","22.1487","18.9492","18.9121","18.504","18.3979","14.7569","14.3768","13.9927","14.0053","11.9943","10.3137","10.5132","10.4874","10.5376","11.1829","10.9082","10.9637","11.2569","11.1371","11.1673","10.6225"
"Cash per Share","2.1374","2.0087","2.1978","1.6004","1.3022","1.1255","1.0922","1.0046","0.9686","1.118","1.1945","1.0873","1.1164","1.2519","1.1311","10.5694","1.3801","1.2358","1.1081","1.0773","1.3191","1.3395","0.9468","0.5763","0.9651","1.1118","2.4062","1.1009","0.8826","1.0008","0.7349","0.7059","0.9421","0.9178","0.4932","0.2974","0.5121","0.4325","0.2152"
"Debt to Equity Ratio","2.9682","2.7567","2.7401","2.7849","2.7633","2.4551","2.5736","2.5729","2.2192","2.1383","3.6778","3.3219","3.1716","3.9045","4.0967","3.5834","2.5171","2.4101","2.4498","2.1057","2.2235","2.095","2.2013","1.787","1.6008","1.5906","1.5957","1.3925","1.212","1.2243","1.2704","1.2955","1.4393","1.4072","1.4486","1.5617","1.4632","1.524","1.4196"
"Total Debt To Total Assets","0.5987","0.5893","0.6002","0.6093","0.6089","0.6289","0.6363","0.6324","0.6129","0.6062","0.6838","0.6765","0.6704","0.7021","0.7138","0.6955","0.6176","0.6118","0.6213","0.5778","0.5874","0.5767","0.5911","0.5352","0.5196","0.5173","0.5388","0.5085","0.4838","0.4876","0.4943","0.4987","0.5237","0.5204","0.5277","0.5449","0.5348","0.5413","0.5271"
"Interest Coverage","3.0908","2.8664","2.5589","2.5069","2.2763","2.9032","2.7272","2.3168","2.1448","2.4681","2.3087","2.5224","2.7522","2.5362","1.9769","2.8405","1.8766","2.7056","2.7192","3.397","1.7186","3.6131","2.9762","1.1154","3.4303","3.1936","2.9908","3.6085","3.3187","3.1348","2.7415","2.8512","2.7192","2.5545","2.6301","2.501","4.2527","2.2662","1.5688"
"Current Ratio","0.55","0.533","1.036","0.902","0.798","0.865","0.83","0.687","0.907","0.535","0.496","0.514","0.445","0.818","1.057","5.76","1.211","1.223","1.323","1.026","1.014","1.038","0.992","0.593","0.696","1.151","2.61","1.536","2.147","1.938","1.674","1.836","2.063","2.066","1.565","0.884","1.286","1.083","0.774"
"Income Quality","2.3107","2.3612","3.5824","2.8062","4.6514","2.2688","3.1053","6.654","4.073","2.7789","3.3515","2.4875","2.5898","2.3535","4.5469","1.9982","3.9119","2.2988","2.1952","1.5239","7.4853","1.8166","1.5404","-18.5122","2.3915","3.0903","2.9499","2.7635","2.6363","2.6335","2.995","3.564","3.6172","3.5108","2.1777","3.7574","1.1131","4.3265","-23.2254"
"Payout Ratio","1.556","0.0","1.208","0.982","2.737","0.0","1.0","2.556","2.774","0.0","0.905","0.72","1.138","0.0","1.115","0.609","2.12","0.0","0.706","0.39","3.583","0.0","0.673","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.5321","0.5367","0.5293","0.54","0.5391","0.515","0.5177","0.5224","0.5247","0.5213","0.5106","0.4979","0.5033","0.5072","0.514","0.3306","0.4217","0.4266","0.4293","0.4134","0.4158","0.4186","0.4224","0.4481","0.4671","0.475","0.4241","0.4484","0.4487","0.4498","0.4513","0.4493","0.4455","0.4467","0.457","0.4658","0.4628","0.471","0.4766"
