"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","48.463","45.438","40.43","37.515","34.964","31.329","28.66","26.56","25.199","23.383","23.099","22.324","22.998","22.452","21.187","19.884","19.151","18.532","17.965","16.71","16.641","16.051","17.124","17.106","17.141","16.29","15.356","14.279","13.103","12.625","11.975","8.299","7.555","6.802","6.228","5.918","5.31","3.525","2.877"
"Tangible Book Value per Share","174.378","161.732","166.914","141.523","129.603","121.747","130.595","112.609","104.747","100.181","110.077","80.102","76.401","73.285","81.53","63.952","59.23","56.796","65.796","44.898","41.022","40.55","51.486","37.709","35.391","34.078","39.034","28.761","24.984","24.288","28.654","19.711","16.761","15.261","18.359","14.429","14.1","13.168","15.055"
"FCF per Share","2.772","-7.235","18.126","5.58","3.947","-6.65","16.066","3.024","1.679","-5.097","11.978","0.838","-0.928","-7.787","10.215","0.766","0.055","-6.686","6.7","0.502","-0.14","-6.234","8.21","0.59","-0.022","-4.177","7.069","1.205","0.121","-2.782","5.636","1.611","0.905","-1.492","3.424","0.754","0.662","-1.693","2.584"
"Interest Debt per Share","16.0397","16.1237","16.13","17.3101","17.3615","17.4501","17.6167","17.6132","17.666","17.757","17.7742","6.6933","6.7657","6.8413","6.937","6.6586","6.6711","6.6813","6.7632","0.0","0.0","0.0","0.5629","0.0","0.0","0.0","0.0","0.3661","0.2953","0.2944","0.0","0.2685","0.2529","0.1725","0.9534","1.0187","2.081","3.2926","3.1226"
"Cash per Share","27.5637","32.369","40.5325","28.8101","26.4715","26.4756","34.0257","22.8825","21.9893","22.0151","31.3054","11.3564","10.9696","11.0304","18.8217","8.4726","8.1228","9.8484","17.7281","6.5929","5.1774","5.0508","11.6313","6.2181","4.5188","5.8559","8.4497","3.4353","3.6443","4.1438","7.8451","5.8194","4.4919","3.965","6.4545","3.8642","3.6857","3.5875","6.1034"
"Debt to Equity Ratio","0.331","0.3548","0.399","0.4614","0.4966","0.557","0.6147","0.6632","0.7011","0.7594","0.7695","0.2998","0.2942","0.3047","0.3274","0.3349","0.3483","0.3605","0.3765","0.0","0.0","0.0","0.0329","0.0","0.0","0.0","0.0","0.0256","0.0225","0.0233","0.0","0.0324","0.0335","0.0254","0.1531","0.1721","0.3919","0.934","1.0852"
"Total Debt To Total Assets","0.0875","0.095","0.0923","0.1157","0.1262","0.1345","0.1271","0.1466","0.1573","0.1649","0.1516","0.0767","0.0823","0.0865","0.0795","0.0955","0.1027","0.1071","0.0947","0.0","0.0","0.0","0.0101","0.0","0.0","0.0","0.0","0.0116","0.0106","0.0109","0.0","0.0129","0.0142","0.0106","0.0492","0.0663","0.1382","0.2334","0.2003"
"Interest Coverage","5.6434","7.8561","9.7368","5.0763","11.0345","9.4444","9.1217","3.069","4.1404","1.1217","6.6622","-12.102","0.2889","5.3095","11.7436","-0.4722","1.1818","2.9394","11.8148","-7.6818","6.5238","9.2381","14.15","8.6471","17.0","25.1667","46.5455","29.1818","33.7778","58.0","59.5","38.0","26.8571","21.5","28.7273","11.4118","10.7143","10.3182","15.05"
"Current Ratio","1.012","1.055","1.045","1.063","1.089","1.083","1.054","1.082","1.104","1.118","1.115","0.891","1.0","1.053","1.072","1.074","1.105","1.138","1.121","1.041","1.076","1.159","1.174","1.326","1.402","1.46","1.325","1.499","1.546","1.534","1.33","1.404","1.459","1.4","1.297","1.409","1.317","1.117","1.39"
"Income Quality","19.4365","-2.1961","14.2216","17.8016","4.175","-3.807","18.2822","33.038","21.7065","26.2982","31.3785","-4.0412","-6.8413","-23.1667","23.2417","-33.8537","-125.7143","-28.9268","51.8469","-3.4416","84.8571","-18.7538","24.1186","12.6508","2.2147","-7.8905","8.3846","3.7013","1.2077","-3.6722","6.7995","4.0151","3.2958","-3.3051","6.9822","3.5932","2.1962","-4.5105","5.5459"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.0485","0.0472","0.0454","0.0538","0.058","0.0619","0.0581","0.0628","0.0672","0.0697","0.0609","0.0824","0.0706","0.073","0.0661","0.0827","0.0882","0.0893","0.0784","0.1112","0.1199","0.0969","0.0773","0.1015","0.1064","0.0896","0.0718","0.0902","0.0991","0.1025","0.0893","0.0509","0.0588","0.062","0.0527","0.0617","0.0633","0.0666","0.0342"
"Selling, General and Administrative Expense of Revenue","0.0818","0.076","0.0738","0.0727","0.0699","0.0664","0.0601","0.0681","0.0697","0.0665","0.0671","0.068","0.0683","0.0606","0.0567","0.0569","0.0612","0.0546","0.051","0.0558","0.0599","0.0516","0.0446","0.0501","0.0511","0.0467","0.0401","0.0474","0.0493","0.0418","0.0393","0.0426","0.0443","0.0401","0.0358","0.0424","0.0433","0.0397","0.0347"
"Research and Development Expense of Revenue","0.1462","0.1348","0.1039","0.1264","0.1276","0.1211","0.0998","0.1261","0.1303","0.1212","0.0899","0.1177","0.1151","0.1009","0.0728","0.1015","0.101","0.0861","0.0632","0.0863","0.0843","0.0717","0.0495","0.0707","0.0704","0.0587","0.04","0.0585","0.0621","0.0513","0.0368","0.0578","0.0643","0.0562","0.0415","0.0619","0.0635","0.0566","0.0391"
"Working Capital","487000000.0","2061000000.0","1965000000.0","2111000000.0","2633000000.0","2326000000.0","1818000000.0","2192000000.0","2479000000.0","2745000000.0","3238000000.0","-2270000000.0","4000000.0","970000000.0","1645000000.0","1199000000.0","1550000000.0","1981000000.0","2294000000.0","513000000.0","829000000.0","1666000000.0","2594000000.0","2926000000.0","3234000000.0","3558000000.0","3375000000.0","3184000000.0","2868000000.0","2771000000.0","2433000000.0","1832000000.0","1668000000.0","1365000000.0","1411000000.0","1286000000.0","1020000000.0","414000000.0","1450000000.0"
"Tangible Asset Value","83527000000.0","77146000000.0","79618000000.0","67082000000.0","61302000000.0","57343000000.0","60988000000.0","52701000000.0","48917000000.0","46584000000.0","51186000000.0","37087000000.0","35221000000.0","33711000000.0","37504000000.0","29226000000.0","27009000000.0","25842000000.0","30003000000.0","20294000000.0","18501000000.0","18369000000.0","23323000000.0","17120000000.0","16032000000.0","15369000000.0","17448000000.0","12885000000.0","11168000000.0","10808000000.0","12579000000.0","8515000000.0","7224000000.0","6547000000.0","7876000000.0","6161000000.0","5922000000.0","5491000000.0","6263000000.0"
"Net Current Asset Value","-23560000000.0","-19835000000.0","-18336000000.0","-17506000000.0","-16318000000.0","-15859000000.0","-15658000000.0","-14951000000.0","-14281000000.0","-13280000000.0","-12437000000.0","-11511000000.0","-8541000000.0","-6709000000.0","-5788000000.0","-5440000000.0","-4605000000.0","-3632000000.0","-3067000000.0","-2163000000.0","-1724000000.0","-914000000.0","-31000000.0","616000000.0","1103000000.0","1753000000.0","1814000000.0","1794000000.0","1578000000.0","1540000000.0","1241000000.0","982000000.0","885000000.0","713000000.0","515000000.0","391000000.0","144000000.0","-448000000.0","-124000000.0"
"Invested Capital","37487000000.0","31998000000.0","24162000000.0","28133000000.0","27406000000.0","24905000000.0","19438000000.0","23578000000.0","22986000000.0","21427000000.0","16805000000.0","14086000000.0","14532000000.0","13427000000.0","9057000000.0","12262000000.0","11612000000.0","10069000000.0","6001000000.0","4709000000.0","5202000000.0","5593000000.0","3413000000.0","5319000000.0","5940000000.0","4998000000.0","3299000000.0","5135000000.0","4421000000.0","3902000000.0","1771000000.0","1580000000.0","1761000000.0","1510000000.0","770000000.0","1802000000.0","2032000000.0","1817000000.0","1309000000.0"
"Average Receivables","7069000000.0","6200500000.0","6996500000.0","6003000000.0","5506000000.0","4922000000.0","5633000000.0","4906500000.0","4522500000.0","4358500000.0","5189500000.0","3715000000.0","3493000000.0","3230500000.0","4292000000.0","2724500000.0","2448000000.0","2164500000.0","3194000000.0","1944000000.0","1736500000.0","1558500000.0","2079000000.0","1227500000.0","1121500000.0","1059500000.0","1287500000.0","815000000.0","694500000.0","701000000.0","907500000.0","634000000.0","585000000.0","584000000.0","766000000.0","535500000.0","485000000.0","469500000.0","552000000.0"
"Average Payables","18781000000.0","16940500000.0","22853000000.0","16619000000.0","14257000000.0","13453500000.0","18428000000.0","13124000000.0","11424000000.0","11253500000.0","15796000000.0","10924000000.0","9723500000.0","9753000000.0","14225500000.0","9203000000.0","8031000000.0","7901000000.0","12231500000.0","7460500000.0","6396500000.0","6213000000.0","9598000000.0","5583000000.0","4633000000.0","4579500000.0","6828000000.0","3984000000.0","3026500000.0","2999500000.0","4599500000.0","2798000000.0","2235500000.0","2122000000.0","3194500000.0","1958000000.0","1629000000.0","1537500000.0","2305500000.0"
"Average Inventory","10549000000.0","10091000000.0","10852000000.0","9838500000.0","8529000000.0","8475500000.0","9271000000.0","8148500000.0","7057000000.0","7042500000.0","7855000000.0","6692000000.0","6032000000.0","6055500000.0","6721000000.0","5566500000.0","4900000000.0","4825000000.0","5511500000.0","4417500000.0","3804500000.0","3571500000.0","4097000000.0","3142500000.0","2584500000.0","2354000000.0","2686500000.0","2066000000.0","1632500000.0","1543000000.0","1785000000.0","1466000000.0","1216000000.0","1171500000.0","1299500000.0","1142500000.0","921000000.0","915500000.0","1038500000.0"
