"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","25.707","25.878","25.62","25.642","25.512","25.352","24.761","24.657","24.941","23.887","24.21","24.553","24.046","23.876","23.106","22.566","21.514","21.59","20.955","20.514","19.658","19.618","18.968","18.347","17.841","17.181","16.761","16.067","15.478","15.106","14.737","14.239","13.779","13.064","13.23","13.566","9.031","8.65","8.199"
"Tangible Book Value per Share","14.846","15.098","14.974","13.938","13.89","13.789","13.281","12.641","13.365","12.45","12.898","13.037","12.824","13.445","12.712","11.424","10.81","10.954","10.854","10.131","10.11","9.931","9.078","7.818","10.278","9.542","8.912","8.727","6.875","6.779","6.277","5.366","5.045","4.764","4.956","4.674","4.802","5.006","4.32"
"FCF per Share","1.277","1.426","1.067","0.918","0.779","1.226","1.171","0.833","0.694","1.227","0.948","0.793","0.78","1.379","0.76","0.648","0.889","0.983","0.686","0.723","0.705","0.85","0.736","0.665","0.812","0.888","-0.333","0.743","0.636","0.643","0.483","0.364","0.481","0.54","0.622","0.457","0.644","0.443","0.506"
"Interest Debt per Share","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0003","0.0011","0.0","0.0","0.2862","0.286","0.574","0.8624","1.1476","1.2598","1.3792","1.4978","1.6189","1.6801","1.7477","1.8144","1.8791","2.2825","2.5309","2.6294","2.7193","3.0604","3.1253","3.504","0.0048","0.6156","0.769"
"Cash per Share","10.0743","10.1361","9.5417","9.6358","9.6232","9.7991","8.8482","8.6543","9.3512","8.4433","8.6037","8.8904","8.481","9.274","8.0309","7.6435","7.101","7.0069","6.2282","6.0022","5.9539","6.0102","5.1011","4.403","6.8492","5.9927","5.1763","5.4436","4.5853","4.3266","3.771","3.3227","2.8692","2.5799","2.5521","2.4453","2.4891","2.5657","2.1382"
"Debt to Equity Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0133","0.0132","0.0274","0.042","0.0584","0.0642","0.0727","0.0816","0.0907","0.0978","0.1043","0.1129","0.1214","0.1511","0.1717","0.1847","0.1974","0.2343","0.2362","0.2583","0.0005","0.0712","0.0938"
"Total Debt To Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0103","0.0102","0.0204","0.0312","0.0423","0.0465","0.0521","0.0589","0.0665","0.0708","0.075","0.0778","0.0872","0.1051","0.1174","0.1253","0.13","0.1491","0.1499","0.1631","0.0004","0.0473","0.0621"
"Interest Coverage","0.0","0.0","2132.8696","3367.4333","0.0","0.0","-2125.087","952.3579","716.2377","529.0974","468.0697","611.1946","464.4365","321.3911","459.2426","362.5487","213.5","188.5714","168.1189","117.2009","99.5602","83.2677","73.9741","87.9097","84.5181","77.7771","84.1667","57.4213","42.5253","31.9458","32.4631","20.8003","13.6698","10.653","11.851","12.7146","35.9807","45.0041","31.2215"
"Current Ratio","2.226","2.236","2.169","2.421","2.373","2.356","2.223","2.537","2.58","2.318","2.327","2.64","2.382","2.563","2.424","2.481","2.151","2.222","1.913","1.823","1.813","1.818","1.687","1.686","2.459","2.374","2.295","1.931","2.118","2.034","1.932","1.763","1.507","1.429","1.484","1.453","1.614","1.639","1.558"
"Income Quality","1.6088","1.9886","1.3751","1.1787","1.029","1.9608","1.6053","1.1781","1.0654","2.0331","1.3251","1.2456","1.2665","2.3282","1.119","1.0482","1.5577","1.8704","1.2412","1.3631","1.4896","1.8357","1.6355","1.4552","1.7369","2.0089","-0.5141","2.0001","1.6948","1.8453","1.1937","1.1163","1.6008","2.4295","1.9324","1.6584","1.9605","1.4368","1.4218"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.5421","0.5383","0.5391","0.5561","0.557","0.5596","0.5688","0.5803","0.5626","0.5818","0.5709","0.5705","0.5771","0.5548","0.5683","0.5962","0.6103","0.6085","0.6146","0.6339","0.6274","0.6338","0.6571","0.6928","0.5777","0.598","0.6175","0.6256","0.6811","0.688","0.7089","0.7443","0.7588","0.768","0.7623","0.7825","0.6215","0.6153","0.6514"
"Selling, General and Administrative Expense of Revenue","0.2919","0.2897","0.3176","0.2503","0.2611","0.2557","0.286","0.258","0.2698","0.2606","0.2845","0.2486","0.268","0.2488","0.2639","0.2414","0.2572","0.2529","0.2797","0.2498","0.2512","0.2441","0.2854","0.2497","0.2473","0.2561","0.2818","0.2643","0.2612","0.2589","0.2604","0.2474","0.2669","0.2908","0.3101","0.2951","0.2531","0.2621","0.3104"
"Research and Development Expense of Revenue","0.1857","0.2146","0.1683","0.1847","0.1928","0.1977","0.1645","0.1883","0.1811","0.1837","0.1658","0.1754","0.1812","0.1864","0.1605","0.1828","0.18","0.1821","0.155","0.1702","0.1713","0.17","0.1501","0.1671","0.1552","0.1563","0.14","0.1551","0.1553","0.166","0.136","0.1518","0.1632","0.1722","0.1391","0.1659","0.1486","0.1457","0.1406"
"Working Capital","630893000.0","653343000.0","630301000.0","645714000.0","642032000.0","643855000.0","592280000.0","633307000.0","680045000.0","585177000.0","617240000.0","667740000.0","617620000.0","690515000.0","627165000.0","573000000.0","489818000.0","512302000.0","435972000.0","372724000.0","377236000.0","373786000.0","301282000.0","254948000.0","506794000.0","454219000.0","403264000.0","330849000.0","305475000.0","287725000.0","248724000.0","186281000.0","134355000.0","113457000.0","129489000.0","111796000.0","128518000.0","138736000.0","109302000.0"
"Tangible Asset Value","1264358000.0","1290190000.0","1290692000.0","1212058000.0","1217331000.0","1215022000.0","1177003000.0","1133795000.0","1201060000.0","1121272000.0","1181385000.0","1197770000.0","1183802000.0","1243461000.0","1175288000.0","1057171000.0","1003771000.0","1017724000.0","1004997000.0","936618000.0","936431000.0","921807000.0","839675000.0","721388000.0","945004000.0","875626000.0","813473000.0","793074000.0","622926000.0","609847000.0","559045000.0","473694000.0","442549000.0","423384000.0","443113000.0","400481000.0","376993000.0","392004000.0","337858000.0"
"Net Current Asset Value","574130000.0","598821000.0","577280000.0","599559000.0","597941000.0","593754000.0","540949000.0","555294000.0","605630000.0","499459000.0","546937000.0","541699000.0","485233000.0","547746000.0","481460000.0","429975000.0","337283000.0","337796000.0","246233000.0","164017000.0","148780000.0","134637000.0","46036000.0","-28461000.0","256570000.0","183018000.0","117686000.0","28050000.0","27742000.0","-29411000.0","-92061000.0","-165207000.0","-227076000.0","-285436000.0","-284462000.0","-320314000.0","50740000.0","14229000.0","-22913000.0"
"Invested Capital","-108425000.0","-104724000.0","-70887000.0","-80295000.0","-93734000.0","-123237000.0","-91311000.0","-54401000.0","-69604000.0","-83233000.0","-71754000.0","-26315000.0","-46118000.0","-55868000.0","-7629000.0","-37119000.0","-54724000.0","-26001000.0","4056000.0","8347000.0","27328000.0","23874000.0","56668000.0","81828000.0","116675000.0","149343000.0","189150000.0","107706000.0","104446000.0","147596000.0","181827000.0","168287000.0","164450000.0","201326000.0","226698000.0","244651000.0","-27402000.0","22105000.0","34913000.0"
"Average Receivables","274087500.0","285157500.0","319176500.0","250754500.0","256438500.0","251803500.0","292674500.0","235476000.0","251832500.0","250678000.0","296058000.0","229943000.0","245956000.0","258324000.0","305722500.0","238831000.0","253161000.0","259629500.0","280382000.0","224186500.0","237271500.0","236329000.0","235952000.0","185001500.0","174310000.0","189347500.0","188912500.0","144294000.0","136867000.0","149422500.0","155552000.0","128973500.0","125157500.0","136563500.0","136532500.0","124077500.0","109089500.0","120071000.0","103131000.0"
"Average Payables","4731500.0","4570500.0","6130000.0","3608000.0","4502000.0","3995500.0","4143000.0","3222500.0","4668500.0","4480500.0","5680000.0","3287000.0","3967500.0","4329500.0","6431500.0","3701500.0","3638000.0","4479500.0","5955500.0","4238500.0","4214500.0","4946500.0","4614000.0","3988500.0","4152000.0","4074500.0","2333500.0","2719500.0","2996000.0","3160500.0","2747500.0","2368500.0","2452000.0","3285500.0","3336000.0","2816000.0","3085000.0","4028500.0","3601000.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
