"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","99.747","98.691","95.281","94.023","92.159","90.097","88.268","88.827","87.181","91.212","89.839","88.585","87.162","86.191","83.831","82.981","81.676","79.984","78.387","73.239","71.468","70.287","66.947","65.763","65.86","63.855","60.498","60.944","55.691","55.232","54.246","48.136","45.916","43.155","42.102","42.386","40.394","39.68","40.24"
"Tangible Book Value per Share","161.495","164.383","150.158","147.529","146.188","146.121","137.885","139.799","145.336","148.738","135.719","134.79","132.833","128.803","115.824","113.207","110.319","108.09","109.993","101.905","96.347","91.889","87.313","85.146","80.973","79.128","73.436","74.325","67.365","66.987","66.765","58.621","56.584","54.562","51.302","53.353","53.883","53.468","51.466"
"FCF per Share","0.856","9.684","0.405","3.036","2.038","4.753","2.755","0.765","3.902","5.854","0.33","1.7","3.345","4.432","0.249","4.144","0.943","2.794","1.943","0.28","1.268","3.284","-0.359","3.605","1.825","2.698","1.179","1.967","0.365","-0.991","-0.167","2.79","0.596","2.254","0.725","1.601","0.091","1.784","1.748"
"Interest Debt per Share","61.484","64.8415","59.6993","59.3158","59.2132","60.4691","60.7673","62.1575","62.8772","59.3709","55.7302","55.6554","52.9091","53.2495","49.0547","49.7193","49.4106","48.6108","49.3253","41.7849","33.701","28.2997","28.2877","27.7169","24.0994","23.9705","22.7476","22.574","20.0114","18.9","18.3248","18.655","18.925","18.7356","17.3692","18.0215","18.5665","17.1355","15.8296"
"Cash per Share","17.213","25.6163","15.4698","9.6743","6.0189","6.4128","8.0955","5.917","5.8707","5.2364","7.971","6.2641","6.381","6.9787","5.3555","7.311","4.4856","5.4773","8.1517","7.5098","5.9036","6.8084","6.329","6.955","4.6296","6.3966","4.5446","5.6192","4.7471","7.9431","10.5076","3.8778","3.5585","4.7716","4.2902","4.4405","4.3214","4.7092","4.8447"
"Debt to Equity Ratio","0.6164","0.657","0.6266","0.6309","0.6425","0.6712","0.6884","0.6998","0.7212","0.6509","0.6203","0.6283","0.607","0.6178","0.5852","0.5992","0.605","0.6078","0.6293","0.5705","0.4716","0.4026","0.4225","0.4215","0.3659","0.3754","0.376","0.3704","0.3593","0.3422","0.3378","0.3875","0.4122","0.4341","0.4125","0.4252","0.4596","0.4318","0.3934"
"Total Debt To Total Assets","0.2388","0.2486","0.2416","0.2424","0.243","0.2475","0.257","0.2608","0.2588","0.2417","0.2439","0.246","0.2375","0.2438","0.2433","0.2467","0.249","0.2488","0.2541","0.2434","0.2044","0.1805","0.1886","0.1902","0.1739","0.1768","0.1785","0.1768","0.1704","0.1639","0.1611","0.179","0.1859","0.189","0.1827","0.1852","0.1916","0.1801","0.1737"
"Interest Coverage","7.3491","7.4468","4.7146","7.5732","8.7991","8.0123","3.0829","7.8544","11.1103","11.1626","6.7754","8.0006","9.6793","8.7955","3.1207","6.8224","8.9585","9.4391","4.1597","8.6774","9.9167","13.0055","5.2469","10.6599","10.7239","14.4759","7.6558","11.6943","12.2735","14.4336","42.8486","11.1013","9.9957","8.6968","5.3814","5.6402","11.1803","8.3882","11.5571"
"Current Ratio","1.645","1.639","1.611","1.565","1.583","1.584","1.616","1.717","1.606","1.631","1.704","1.752","1.691","1.72","1.819","1.845","1.802","1.788","1.835","2.105","1.76","1.726","1.704","1.745","1.897","1.894","1.866","1.905","1.758","1.831","1.913","1.795","1.743","0.814","0.808","0.842","0.896","0.877","0.906"
"Income Quality","0.4596","2.6618","0.7457","1.5596","0.8578","1.9343","5.2465","0.5244","1.3654","1.9077","0.6021","0.9601","1.4649","1.9793","1.8408","2.1295","0.5314","1.081","1.6368","0.3475","0.8103","1.428","0.1727","2.0928","1.1001","1.2032","1.0696","1.213","0.3545","-0.3683","0.0108","1.9715","0.5445","2.0538","1.4409","1.0948","0.1575","1.7704","1.2854"
"Payout Ratio","0.201","0.17","0.468","0.277","0.219","0.242","0.9","0.251","0.193","0.194","0.233","0.19","0.167","0.179","0.717","0.172","0.142","0.13","0.186","0.134","0.148","0.113","0.245","0.13","0.13","0.101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.3729","0.3696","0.3922","0.3971","0.4","0.402","0.4167","0.4133","0.4017","0.3946","0.406","0.4043","0.4037","0.4102","0.4257","0.4384","0.4441","0.4468","0.4335","0.4063","0.4155","0.4141","0.4177","0.4156","0.4156","0.4164","0.4238","0.4178","0.4263","0.419","0.4129","0.4374","0.4443","0.4497","0.4605","0.4517","0.4438","0.438","0.4352"
"Selling, General and Administrative Expense of Revenue","0.1363","0.1417","0.1503","0.146","0.1384","0.1577","0.1619","0.1548","0.1519","0.1651","0.1598","0.16","0.1562","0.1602","0.1478","0.1424","0.1377","0.1325","0.1537","0.1354","0.1351","0.1405","0.1455","0.1377","0.1332","0.1394","0.1601","0.1416","0.1493","0.1442","0.1226","0.1465","0.1431","0.1472","0.1201","0.1484","0.1416","0.1446","0.1361"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","14562800000.0","14807600000.0","13020500000.0","11887400000.0","12140900000.0","12154700000.0","11769500000.0","13173600000.0","12529000000.0","13435000000.0","13195100000.0","13832100000.0","13251900000.0","13313100000.0","13394300000.0","13554500000.0","12866700000.0","12630600000.0","13352500000.0","15557200000.0","12292300000.0","11588500000.0","11198700000.0","11766000000.0","12649500000.0","12659100000.0","12131300000.0","12797900000.0","11245200000.0","12306000000.0","13397000000.0","11236100000.0","10659100000.0","-2857600000.0","-2890300000.0","-2384200000.0","-1517800000.0","-1882100000.0","-1356400000.0"
"Tangible Asset Value","42794000000.0","43459300000.0","39557000000.0","38825400000.0","38440700000.0","38188900000.0","35997600000.0","36569500000.0","38446600000.0","39681500000.0","36636200000.0","36965600000.0","37149700000.0","36381500000.0","34216300000.0","33844300000.0","33135600000.0","32863300000.0","33400100000.0","33138300000.0","31874500000.0","30759800000.0","30372800000.0","30708800000.0","29730100000.0","29713400000.0","28905200000.0","29710500000.0","28777600000.0","29737400000.0","30601500000.0","27848500000.0","27422600000.0","27192800000.0","26114700000.0","27281400000.0","28352100000.0","28976600000.0","29403800000.0"
"Net Current Asset Value","-4675200000.0","-4869800000.0","-5667800000.0","-6731400000.0","-6871300000.0","-7346600000.0","-7811600000.0","-7560100000.0","-7999000000.0","-6471300000.0","-5477200000.0","-5537100000.0","-5498500000.0","-5533400000.0","-5063500000.0","-5858500000.0","-6179000000.0","-6429900000.0","-5805200000.0","-2361100000.0","-2421100000.0","-1424500000.0","-1777600000.0","-1279500000.0","60900000.0","-120500000.0","-213500000.0","268700000.0","-287800000.0","454800000.0","808600000.0","-1267600000.0","-2090000000.0","-15423600000.0","-14841500000.0","-15407400000.0","-16681000000.0","-16642100000.0","-16037800000.0"
"Invested Capital","31957300000.0","30655400000.0","29914200000.0","30852700000.0","31611500000.0","31506300000.0","30656000000.0","32915500000.0","32853700000.0","32818500000.0","30775700000.0","32116000000.0","30986000000.0","30957400000.0","30774300000.0","30480300000.0","30595300000.0","29947300000.0","29907700000.0","30201000000.0","24892900000.0","21998900000.0","22112700000.0","22410500000.0","22771400000.0","22152300000.0","22060600000.0","22346500000.0","20461800000.0","19791000000.0","19510800000.0","20742100000.0","20527500000.0","18811500000.0","17752100000.0","19163700000.0","21289400000.0","20419300000.0","21291600000.0"
"Average Receivables","8008600000.0","7708950000.0","7710800000.0","6893900000.0","7347450000.0","7356800000.0","6983350000.0","6338800000.0","6594750000.0","6602900000.0","5987250000.0","5575550000.0","5602400000.0","5359300000.0","4823500000.0","4762650000.0","5075150000.0","4846200000.0","4480900000.0","4397200000.0","4418300000.0","4442600000.0","4133500000.0","4193100000.0","4367000000.0","4278300000.0","4040350000.0","3933050000.0","4348400000.0","4631300000.0","4288650000.0","4197300000.0","4225600000.0","4626700000.0","4141650000.0","4288050000.0","4183000000.0","4131850000.0","3687250000.0"
"Average Payables","13310200000.0","13194950000.0","12671250000.0","12368350000.0","13448050000.0","13600300000.0","12178550000.0","12064050000.0","13406150000.0","13083400000.0","11356450000.0","11318550000.0","11789100000.0","11133750000.0","10262800000.0","9775900000.0","9713600000.0","9510550000.0","9722250000.0","9071450000.0","9010100000.0","8862450000.0","9133350000.0","9000000000.0","8794100000.0","8844300000.0","8804100000.0","8906600000.0","8885650000.0","9356550000.0","9227400000.0","9328350000.0","9439150000.0","9935500000.0","9589150000.0","9763200000.0","9770550000.0","9774400000.0","9582150000.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
