"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","56.626","55.723","61.649","50.146","54.44","52.682","54.83","51.988","53.066","52.483","53.167","54.01","54.527","54.755","54.683","54.858","61.682","53.868","54.042","55.052","54.708","54.485","54.464","54.471","61.221","53.096","52.925","57.028","56.399","52.851","52.597","58.264","51.96","60.435","53.53","54.921","55.383","53.626","47.791"
"Tangible Book Value per Share","123.479","122.29","130.391","119.193","123.789","122.265","122.499","120.836","118.335","116.684","112.988","111.782","109.082","108.262","105.124","103.002","115.595","111.245","112.268","110.951","110.2","108.302","106.113","104.236","114.266","107.974","106.721","114.98","125.631","123.48","123.54","136.784","134.276","161.188","161.6","155.646","151.939","148.512","147.525"
"FCF per Share","-1.139","-1.249","-1.039","-1.998","-1.804","-0.787","-1.459","-0.566","-1.07","0.031","-1.021","-0.33","-0.39","-0.535","-2.013","-1.169","-0.645","-0.185","-0.925","-0.452","-1.053","-1.465","-1.03","-0.724","-5.802","-0.673","-0.692","-2.032","-1.089","-0.78","-1.354","-1.032","-1.309","-2.035","-1.508","-2.169","-2.287","-0.74","-7.247"
"Interest Debt per Share","52.4345","49.8526","52.4343","55.52","55.7236","55.7593","54.2862","59.665","56.815","54.1956","51.0858","48.7964","46.5442","45.3898","42.7357","40.1858","46.3588","49.9602","49.9614","48.3014","48.301","44.9692","44.86","42.94","45.995","48.1724","46.6966","50.3926","60.5994","62.3845","62.185","67.6167","71.7925","87.107","92.516","88.4864","85.1907","83.2373","88.599"
"Cash per Share","1.5908","1.9075","1.7801","2.2358","3.6431","2.1952","2.1238","1.568","1.5659","2.0455","1.5678","1.272","1.2034","1.4716","1.1923","1.1827","5.2182","1.8357","2.8407","2.2265","1.9785","1.8888","1.6443","1.6306","1.5196","1.9617","2.161","2.9223","2.5038","2.4118","2.6694","1.7317","1.7859","3.8573","2.2407","0.4856","0.2237","0.2426","0.2552"
"Debt to Equity Ratio","0.926","0.8946","0.8505","1.1072","1.0236","1.0584","0.9901","1.1477","1.0707","1.0326","0.9609","0.9035","0.8536","0.829","0.7815","0.7325","0.7516","0.9275","0.9245","0.8774","0.8829","0.8253","0.8237","0.7883","0.7513","0.9073","0.8823","0.8836","1.0745","1.1804","1.1823","1.1605","1.3817","1.4413","1.7283","1.6112","1.5382","1.5522","1.8539"
"Total Debt To Total Assets","0.4246","0.4077","0.4021","0.4658","0.4501","0.4561","0.4432","0.4938","0.4801","0.4645","0.4521","0.4365","0.4267","0.4193","0.4065","0.3901","0.401","0.4491","0.445","0.4353","0.4383","0.4152","0.4228","0.4119","0.4025","0.4461","0.4376","0.4383","0.4824","0.5052","0.5034","0.4943","0.5347","0.5404","0.5725","0.5685","0.5607","0.5605","0.6006"
"Interest Coverage","2.0779","2.4004","1.4902","1.9468","-3.4602","1.2388","2.488","2.4281","2.4312","2.0551","0.6668","2.6834","2.9967","3.0684","3.4243","2.9475","3.0251","2.6235","2.549","2.0225","2.3832","2.9761","3.3265","3.244","3.0144","2.7797","6.3069","2.8374","0.2995","2.5858","2.5005","2.201","2.86","2.9988","2.1985","2.2529","2.4317","2.5431","1.6111"
"Income Quality","3.6087","4.1878","-4.0057","21.9631","-0.5509","-26.6585","2.7383","2.9092","1.424","6.007","-4.9029","4.0047","2.5502","2.2397","2.1064","3.7526","3.8025","2.105","3.7163","7.8868","5.3271","2.705","2.4847","2.828","2.5306","1.8251","0.7733","1.641","-3.6622","2.4963","1.6523","3.2481","1.7731","1.6716","4.5609","4.5099","2.9373","0.7731","3.5887"
"Payout Ratio","2.457","2.862","-2.767","11.429","-0.465","-16.0","1.571","1.674","1.75","2.96","-3.217","1.846","1.846","1.522","1.308","1.943","1.711","1.667","1.647","3.118","1.759","1.633","1.114","1.175","1.023","1.023","0.265","0.778","-0.778","0.745","0.761","0.745","0.422","0.792","1.311","1.311","1.311","0.75","1.857"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.0704","0.071","0.0701","0.0688","0.068","0.0703","0.0674","0.0693","0.0734","0.0731","0.0735","0.0679","0.0784","0.0751","0.0755","0.0737","0.0809","0.0776","0.084","0.0873","0.0845","0.0763","0.0828","0.0745","0.0751","0.0679","0.0786","0.0668","0.0706","0.0814","0.0748","0.083","0.0727","0.0716","0.0701","0.0763","0.0777","0.0802","0.0831"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","11245667000.0","10868626000.0","10354888000.0","9293901000.0","9144830000.0","8971532000.0","8881017000.0","8737344000.0","8524891000.0","8405221000.0","8136036000.0","8020314000.0","7815649000.0","7756039000.0","7529764000.0","7358369000.0","7379289000.0","7090919000.0","7150116000.0","6965017000.0","6841739000.0","6718091000.0","6574129000.0","6455556000.0","6343284000.0","5983343000.0","5905861000.0","5748625000.0","5565159000.0","5468534000.0","5457227000.0","5393337000.0","5286653000.0","5235181000.0","5132077000.0","4933140000.0","4803608000.0","4685045000.0","4642094000.0"
"Invested Capital","15876173000.0","15129783000.0","14377547000.0","13448661000.0","12992236000.0","12901949000.0","12662739000.0","12938200000.0","12505049000.0","12161802000.0","11701720000.0","11430161000.0","11064290000.0","10902396000.0","10505420000.0","10144719000.0","10005594000.0","10158440000.0","10151147000.0","9857394000.0","9717665000.0","9390414000.0","9251522000.0","9013937000.0","8812256000.0","8544100000.0","8370437000.0","8121982000.0","8138656000.0","8124536000.0","8086254000.0","7991153000.0","8042924000.0","7939020000.0","7999024000.0","7722300000.0","7489869000.0","7303243000.0","7421968000.0"
"Average Receivables","8794500.0","9979000.0","10114500.0","9879500.0","9237500.0","10303000.0","10516500.0","10477000.0","9966500.0","10623000.0","10233000.0","9750500.0","9115500.0","9940000.0","9183500.0","9397500.0","6860000.0","9048500.0","7964500.0","8361500.0","5315000.0","7927000.0","6486000.0","5764000.0","3773000.0","4864000.0","4697000.0","4359000.0","3862000.0","4351000.0","5177500.0","5319000.0","5556500.0","7422500.0","6606000.0","6925000.0","6404000.0","7978500.0","6544500.0"
"Average Payables","738303500.0","777177500.0","729973000.0","659910000.0","626811000.0","698592500.0","599630000.0","605009000.0","542355500.0","602098000.0","518830500.0","534318000.0","456147500.0","455430500.0","477435500.0","461402500.0","403392000.0","385536000.0","413540500.0","390792000.0","360246000.0","337074500.0","348671500.0","342859000.0","328908000.0","310362000.0","319786500.0","333886000.0","328018000.0","337977500.0","361554000.0","330073000.0","308423500.0","331019000.0","346885000.0","283252500.0","243263500.0","243814000.0","229173000.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
