"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","74.626","74.758","74.068","73.093","71.86","71.871","71.893","73.96","69.677","68.895","68.529","68.95","68.063","66.478","66.424","65.453","66.163","75.655","69.977","48.677","48.017","46.038","46.221","46.648","39.799","39.688","38.819","38.738","40.187","38.452","37.455","38.563","37.431","38.138","37.817","41.673","39.461","38.671","38.433"
"Tangible Book Value per Share","130.229","130.913","130.109","128.091","126.821","124.402","123.697","126.273","123.464","123.164","122.27","121.058","120.809","120.31","118.444","117.038","115.723","132.75","114.22","92.546","88.221","86.558","89.211","95.44","90.965","91.557","91.711","90.114","92.847","92.072","91.579","99.411","94.799","91.208","93.039","92.041","89.922","92.655","85.541"
"FCF per Share","0.104","0.171","-0.463","-1.6","-0.43","-1.268","-0.377","-0.686","-0.565","-2.658","-1.484","-0.726","-0.727","-0.538","-1.716","-0.979","-1.437","-7.804","-0.857","-1.55","-1.037","-0.673","-0.808","-1.222","-0.904","-0.504","-0.104","-0.451","-0.194","-0.632","-0.231","-0.66","-0.817","-0.735","-1.915","-1.099","-1.212","-2.48","-1.544"
"Interest Debt per Share","50.7436","51.0135","51.1985","49.638","49.824","47.4632","47.1733","47.4539","49.0749","49.6959","49.1615","47.5793","48.2595","49.3118","47.4013","47.1213","45.2413","51.8182","39.4143","39.2951","35.2626","35.5043","37.8537","42.5567","45.6518","46.8972","46.5862","46.3569","47.5815","48.4375","48.8113","55.4557","51.9394","47.668","47.3953","44.4844","44.4807","47.8699","40.1015"
"Cash per Share","2.1276","2.6849","2.4029","1.6909","2.0974","1.9555","3.6918","3.1636","1.277","2.2546","4.5837","4.0834","4.0053","3.6846","2.9357","1.6332","1.5887","4.7297","28.4891","7.3675","4.5301","3.373","7.2596","8.5339","4.1256","5.5402","5.6018","4.7807","6.7722","4.0545","3.885","9.7261","5.708","3.2602","3.3408","3.721","1.4853","5.1859","2.648"
"Debt to Equity Ratio","0.68","0.6824","0.6912","0.6791","0.6933","0.6604","0.6562","0.6416","0.7043","0.7213","0.7174","0.6901","0.709","0.7418","0.7136","0.7199","0.6838","0.6849","0.5632","0.8073","0.7344","0.7712","0.819","0.9123","1.1471","1.1816","1.2001","1.1967","1.184","1.2597","1.3032","1.438","1.3876","1.2499","1.2533","1.0675","1.1272","1.2379","1.0434"
"Total Debt To Total Assets","0.3896","0.3897","0.3935","0.3875","0.3929","0.3815","0.3814","0.3758","0.3975","0.4035","0.4021","0.393","0.3995","0.4099","0.4002","0.4026","0.3909","0.3903","0.3451","0.4246","0.3997","0.4102","0.4243","0.4459","0.5019","0.5122","0.508","0.5144","0.5125","0.5261","0.533","0.5578","0.5479","0.5226","0.5094","0.4833","0.4947","0.5166","0.4688"
"Interest Coverage","4.2989","5.7854","5.8833","8.4453","5.2395","6.4819","4.6848","5.769","4.8936","5.5676","4.1676","6.1988","4.6157","4.3324","6.6512","0.7562","1.839","2.9759","4.3879","3.5554","5.7275","2.7177","9.5836","2.0508","1.9737","1.7061","1.6476","1.557","2.2332","2.7048","1.8697","2.4113","1.4792","2.574","1.0725","9.2354","5.3021","2.7516","6.6863"
"Income Quality","1.6275","1.2441","1.2047","0.859","1.3948","1.1675","1.6888","1.4668","1.4828","1.1357","1.7191","0.9611","1.198","1.5544","1.0086","-18.9185","5.1307","1.079","1.3538","1.7584","0.7465","1.8238","0.4158","1.9885","3.0587","2.4131","3.6159","2.5414","2.0116","0.9498","3.1982","1.4315","5.5962","1.915","-65.948","0.5525","0.9552","0.4231","1.2436"
