"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42371.0","42280.0","42189.0","42098.0","42007.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40544.0","40453.0","40362.0","40271.0","40180.0","40089.0","39998.0","39907.0","39809.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","12.088","11.477","10.422","11.699","10.735","10.831","10.647","11.533","12.025","11.325","11.501","14.006","15.059","15.557","15.495","16.077","15.253","15.721","15.777","15.682","15.189","15.745","15.631","16.501","17.073","16.482","15.467","14.48","13.347","13.106","12.965","12.369","11.441","10.872","17.839","21.306","22.326","21.459","20.279"
"Tangible Book Value per Share","44.896","43.621","39.821","41.615","40.038","39.295","37.505","38.333","39.468","39.235","39.165","39.417","39.774","38.934","39.081","39.584","43.649","42.594","42.075","41.556","40.236","39.243","38.192","37.013","39.57","39.221","36.933","38.132","36.841","36.157","36.059","36.737","36.439","36.825","40.932","43.777","46.287","44.167","43.296"
"FCF per Share","1.345","-0.248","1.562","1.085","2.079","-0.374","1.534","0.851","1.448","-0.213","1.127","1.64","0.885","-1.618","1.709","0.151","0.933","-0.945","2.375","1.386","0.063","-0.239","2.516","1.785","-0.144","-1.416","1.52","1.05","1.443","-0.447","2.073","1.547","0.909","-0.072","1.15","1.51","0.868","0.011","1.174"
"Interest Debt per Share","19.4384","17.9118","14.5552","14.5971","13.0404","13.7383","11.6748","11.5148","12.6283","13.3664","12.562","11.9207","12.3572","11.6368","10.6698","10.8856","13.994","13.5604","12.1996","13.6212","13.295","12.4588","11.1338","13.0915","14.8212","14.4497","12.5677","14.2656","15.0303","16.148","15.4548","16.9848","18.3476","19.516","22.526","23.0132","24.0731","23.3323","22.9949"
"Cash per Share","2.3661","3.336","2.1971","2.1257","2.4254","1.8971","1.7508","1.8765","2.6974","2.3455","2.2744","2.0965","2.3383","2.1342","3.6511","3.1624","2.1309","2.0749","2.3493","1.8863","1.5609","1.8042","1.6777","1.1292","1.1864","1.1423","1.1983","1.4915","1.41","1.3624","1.314","0.8744","0.8752","0.83","1.0754","0.8254","0.8843","0.7439","0.7288"
"Debt to Equity Ratio","1.6081","1.5606","1.3965","1.2477","1.2147","1.2684","1.0965","0.9984","1.0502","1.1803","1.0923","0.8511","0.8206","0.748","0.6886","0.6771","0.9175","0.8626","0.7732","0.8686","0.8753","0.7913","0.7123","0.7934","0.8681","0.8767","0.8125","0.9852","1.1262","1.2321","1.1921","1.3732","1.6037","1.7951","1.2627","1.0801","1.0783","1.0873","1.1339"
"Total Debt To Total Assets","0.3379","0.3322","0.294","0.2827","0.2705","0.289","0.2562","0.248","0.2645","0.2808","0.2627","0.2475","0.254","0.2436","0.2229","0.2252","0.2677","0.2642","0.2394","0.2699","0.2718","0.2597","0.2376","0.2742","0.2923","0.2866","0.2622","0.2895","0.3151","0.341","0.3247","0.3504","0.382","0.4012","0.3661","0.355","0.354","0.3585","0.3612"
"Interest Coverage","10.2284","9.1377","9.7103","9.7075","7.4481","9.0719","7.0526","8.9252","7.5556","7.5359","6.8343","7.3896","5.8205","6.6753","6.9813","4.7063","8.2635","6.9098","4.7889","5.2722","5.7688","4.3661","2.2944","4.4181","7.0621","4.9831","2.8495","5.0314","6.9621","5.3943","-0.1899","4.0524","2.9706","-32.3055","2.0036","3.3207","4.8976","3.0644","3.8571"
"Current Ratio","1.12","1.242","0.95","0.979","1.22","1.184","1.217","1.304","1.288","1.222","1.206","1.268","1.313","1.346","1.346","1.376","1.304","1.182","1.163","1.137","1.132","1.155","1.347","1.169","1.139","1.109","1.066","1.125","1.043","0.981","0.928","0.918","0.89","0.868","0.938","1.005","0.996","1.009","0.831"
