"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","30.247","29.702","29.315","29.427","28.949","28.551","28.207","28.857","28.074","27.894","27.366","27.485","27.245","26.891","26.414","26.033","25.727","25.422","25.116","25.182","24.507","24.165","24.114","24.259","23.696","23.657","23.59","23.626","23.112","22.888","22.904","22.837","24.066","22.876","25.639","26.023","25.654","23.809","28.388"
"Tangible Book Value per Share","98.837","96.994","96.275","93.584","92.096","90.472","89.045","88.225","86.236","84.109","82.572","81.052","79.493","78.788","77.55","78.783","77.483","76.48","76.376","75.823","74.889","73.29","77.317","76.009","74.952","73.746","73.671","72.819","71.652","70.342","69.855","69.278","73.149","72.854","72.082","69.25","67.654","66.007","65.59"
"FCF per Share","-0.562","-0.034","-0.303","0.326","-0.36","-0.23","-0.441","0.547","-0.361","-0.235","-0.336","0.592","-0.137","0.235","-0.688","0.81","-0.539","-0.418","-0.261","1.133","-0.498","-0.547","-0.483","0.391","-0.741","-0.134","-0.406","0.478","-0.425","0.157","-0.444","0.246","-0.77","-0.367","-0.891","-0.309","-1.155","-0.655","-0.654"
"Interest Debt per Share","41.9213","41.0506","40.3483","38.5225","38.5674","37.9438","36.6257","35.4334","35.0899","33.7127","33.0624","33.0194","33.1819","32.832","32.7251","31.9005","32.4169","31.7755","31.5212","31.2385","32.2427","31.4236","33.4961","32.9227","33.1739","32.5118","32.3421","32.0108","32.1272","31.2035","31.2671","30.5197","32.7639","33.5439","32.9956","31.8384","31.3897","31.879","31.1988"
"Cash per Share","0.3596","0.4382","0.4213","0.2584","0.2921","0.3708","0.2514","0.4202","0.8042","0.1357","0.1281","0.4141","0.1797","0.1723","0.1506","0.1824","0.1146","0.1194","0.1381","0.1049","0.0733","0.054","0.0809","0.089","0.0767","0.0772","0.0749","0.1344","0.1179","0.0723","0.1274","0.0449","0.0552","0.0532","0.0596","0.0418","0.037","0.0575","0.0843"
"Debt to Equity Ratio","1.386","1.3821","1.3764","1.3091","1.3322","1.329","1.2985","1.2279","1.2499","1.2086","1.2081","1.2013","1.2179","1.2209","1.2389","1.2254","1.26","1.2499","1.255","1.2405","1.3156","1.3004","1.3891","1.3571","1.4","1.3743","1.371","1.3549","1.3901","1.3633","1.3651","1.3364","1.3614","1.4664","1.2869","1.2235","1.2236","1.339","1.099"
"Total Debt To Total Assets","0.3934","0.3926","0.3886","0.3816","0.3877","0.3878","0.3803","0.3708","0.3775","0.371","0.3702","0.3761","0.3847","0.3838","0.3882","0.3728","0.3846","0.3815","0.3789","0.3779","0.3945","0.3924","0.3982","0.3975","0.4057","0.4033","0.4017","0.4003","0.4077","0.4026","0.406","0.3993","0.4055","0.4158","0.399","0.3985","0.4008","0.4158","0.3854"
"Interest Coverage","4.4","3.5059","3.759","4.8025","4.5679","3.525","3.7125","5.5065","4.4737","3.6267","3.7034","5.2441","4.2365","3.3658","3.1182","4.9686","3.9004","2.9069","3.0169","5.0146","4.0467","2.6856","2.9647","4.4145","3.3618","2.4395","2.5027","4.3782","3.1698","2.3211","2.1336","3.5959","2.8704","-3.8627","2.5557","3.684","2.7882","-8.7833","-1.513"
"Current Ratio","0.304","0.317","0.328","0.415","0.397","0.395","0.429","0.754","0.589","0.594","0.463","0.715","0.573","0.574","0.463","0.537","0.52","0.513","0.502","0.639","0.596","0.792","0.939","1.072","1.125","1.15","1.317","0.846","0.783","0.752","0.822","0.86","0.625","0.36","0.378","0.53","0.619","0.476","0.556"
