"","42861.0","42777.0","42693.0","42609.0","42497.0","42413.0","42329.0","42245.0","42133.0","42049.0","41965.0","41881.0","41769.0","41685.0","41601.0","41517.0","41398.0","41314.0","41230.0","41146.0","41034.0","40950.0","40866.0","40782.0","40670.0","40586.0","40502.0","40418.0","40306.0","40222.0","40138.0","40054.0","39942.0","39858.0","39774.0","39690.0","39571.0","39487.0","39403.0"
"Book Value per Share","-60.449","-63.883","-65.463","-60.906","-62.507","-57.717","-58.303","-55.072","-51.931","-46.036","-51.749","-49.779","-54.674","-50.83","-50.459","-48.01","-42.657","-42.752","-43.191","-41.213","-36.664","-32.981","-33.792","-30.444","-26.67","-23.927","-18.294","-15.77","-9.549","-8.53","-9.657","-8.194","-0.826","-3.314","1.029","3.683","7.208","4.466","2.637"
"Tangible Book Value per Share","304.548","297.516","288.441","279.665","270.798","264.32","256.595","249.578","241.691","237.155","228.221","218.819","211.773","204.924","195.116","185.638","178.079","173.098","165.433","158.751","151.284","146.478","141.225","135.127","132.98","125.878","119.498","112.474","106.458","103.616","101.432","94.906","91.37","87.274","82.479","79.453","74.707","73.349","70.489"
"FCF per Share","10.715","1.383","10.671","11.626","14.134","3.859","8.544","11.105","12.967","0.318","8.801","6.03","10.998","2.173","8.034","10.413","8.413","2.864","6.467","7.356","6.252","1.353","7.06","6.666","8.664","0.526","6.986","6.937","6.726","1.273","3.573","5.274","5.973","-0.657","1.615","5.338","2.313","1.2","1.951"
"Interest Debt per Share","181.7069","180.0973","172.6174","167.7781","166.1813","160.5971","155.8824","149.7014","143.2648","139.432","137.6229","132.6879","132.3859","128.4419","122.3506","119.135","111.383","110.26","103.2082","100.319","93.3213","88.1943","84.1419","81.3555","76.7256","74.8688","64.4567","62.0861","55.7806","56.1271","54.6654","51.597","44.0222","47.6097","38.889","36.0826","30.5517","33.1482","33.3216"
"Cash per Share","8.0098","7.3638","6.7541","6.4648","7.1582","6.8929","5.4261","5.6745","4.8443","4.75","3.6472","3.8208","4.3948","4.1536","3.6895","4.0458","3.7215","3.1868","2.7104","2.7446","2.6679","2.6274","2.4251","2.3692","2.3909","2.4858","2.1942","2.0979","1.9795","2.1272","1.5884","1.7541","1.7252","1.9105","1.4703","3.8883","1.2912","1.4789","1.2306"
"Debt to Equity Ratio","-3.006","-2.8192","-2.6369","-2.7547","-2.6586","-2.7825","-2.6737","-2.7183","-2.7588","-3.0288","-2.6594","-2.6655","-2.4214","-2.5269","-2.4247","-2.4815","-2.6111","-2.579","-2.3896","-2.4342","-2.5453","-2.6741","-2.49","-2.6723","-2.8769","-3.129","-3.5234","-3.937","-5.8415","-6.5802","-5.6605","-6.2966","-53.3234","-14.3659","37.8052","9.7959","4.2384","7.4229","12.6339"
"Total Debt To Total Assets","0.5707","0.5787","0.5716","0.5726","0.5853","0.5791","0.5785","0.5708","0.5644","0.5595","0.573","0.5766","0.5939","0.595","0.5942","0.6075","0.5899","0.6001","0.5944","0.6014","0.5865","0.572","0.5654","0.571","0.5473","0.5636","0.5105","0.522","0.4949","0.5115","0.5087","0.5127","0.4543","0.514","0.4436","0.428","0.3843","0.4242","0.4434"
"Interest Coverage","14.8443","11.2278","13.7784","15.3614","15.7521","11.6551","12.5106","14.2202","16.1726","10.4606","11.0243","12.7504","13.2446","8.5425","9.0435","10.4476","10.8344","7.6851","8.838","9.6321","10.7503","7.7243","8.7209","9.7378","9.8438","6.8665","8.2174","9.5646","9.6616","6.345","7.1664","8.7433","9.6954","6.7288","7.6538","11.9902","10.7787","6.887","8.4589"
"Current Ratio","0.94","0.939","0.901","0.904","0.909","0.843","0.849","0.842","0.842","0.847","0.728","0.788","0.779","0.804","0.778","0.786","0.829","0.738","0.818","0.815","0.825","0.827","0.794","0.814","0.811","0.849","0.82","0.852","0.898","0.963","0.934","0.946","0.832","1.045","0.974","1.027","1.001","1.014","1.0"
"Income Quality","1.3426","0.6637","1.4616","1.2429","1.6268","0.9423","1.3444","1.3113","1.6908","0.4785","1.5745","0.9905","1.6242","0.7811","1.6385","1.3986","1.4497","1.0927","1.5643","1.314","1.3572","0.7124","1.7909","1.3091","2.0046","0.5657","2.0767","1.6928","1.934","0.957","1.6112","1.6465","2.2265","0.0648","1.0717","1.7216","1.289","1.1802","1.2907"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.0434","0.044","0.0448","0.0456","0.0463","0.0468","0.0477","0.0484","0.0479","0.0483","0.0497","0.0491","0.0499","0.0506","0.0524","0.0534","0.0569","0.0579","0.0473","0.0483","0.0492","0.05","0.051","0.0516","0.0514","0.0525","0.0537","0.0543","0.0555","0.0558","0.0562","0.0569","0.0571","0.0578","0.0592","0.0576","0.0602","0.0613","0.0621"
"Selling, General and Administrative Expense of Revenue","0.3241","0.3589","0.3414","0.3211","0.3216","0.3579","0.3415","0.3216","0.3164","0.354","0.3398","0.3164","0.3152","0.3515","0.3353","0.3128","0.3113","0.3474","0.3358","0.3157","0.3137","0.3468","0.334","0.3136","0.3137","0.3455","0.3358","0.3117","0.3113","0.3475","0.3395","0.316","0.3182","0.3485","0.34","0.3144","0.3223","0.3516","0.336"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-286291000.0","-291505000.0","-481533000.0","-450747000.0","-422103000.0","-784848000.0","-721370000.0","-742579000.0","-742612000.0","-709460000.0","-1383383000.0","-960482000.0","-1016108000.0","-860812000.0","-962590000.0","-891137000.0","-657726000.0","-1108440000.0","-682201000.0","-676646000.0","-623121000.0","-608225000.0","-736293000.0","-638471000.0","-655314000.0","-487021000.0","-584323000.0","-452139000.0","-293128000.0","-100611000.0","-186439000.0","-145022000.0","-527976000.0","112185000.0","-65832000.0","66981000.0","2971000.0","31422000.0","467000.0"
"Tangible Asset Value","8636377000.0","8510743000.0","8350657000.0","8207900000.0","8072218000.0","7974527000.0","7825641000.0","7710462000.0","7647827000.0","7565952000.0","7333184000.0","7129334000.0","7003973000.0","6895063000.0","6655594000.0","6524260000.0","6396956000.0","6276203000.0","6095394000.0","5962994000.0","5846209000.0","5753819000.0","5629935000.0","5566957000.0","5582233000.0","5462958000.0","5337844000.0","5268949000.0","5150125000.0","5122347000.0","5083178000.0","5015760000.0","4993531000.0","4932440000.0","4810569000.0","4954467000.0","4724259000.0","4635752000.0","4571572000.0"
