"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","37.515","37.072","36.917","37.034","36.528","36.149","35.024","35.666","34.671","34.28","33.836","33.764","33.327","33.045","32.33","31.378","31.33","30.315","30.336","29.37","27.092","25.63","25.074","25.165","24.474","23.975","23.772","24.223","24.187","23.926","23.564","24.259","24.542","28.907","29.092","23.528","23.416","23.511","23.059"
"Tangible Book Value per Share","259.265","258.027","256.257","260.024","258.525","259.001","255.994","260.013","251.697","250.796","247.926","248.131","249.816","247.282","247.452","245.232","248.403","246.52","252.139","248.926","244.554","240.161","240.265","230.478","218.135","215.176","215.753","216.585","213.523","226.072","229.585","237.239","241.893","244.814","263.442","237.545","237.9","238.571","230.855"
"FCF per Share","1.644","0.195","2.926","-0.69","1.217","-0.166","1.298","2.459","0.848","-0.822","2.368","0.871","0.341","0.887","5.043","-0.792","2.673","0.615","1.66","-0.007","1.011","2.654","0.149","0.607","2.535","2.852","0.715","0.328","1.984","0.541","0.476","6.649","6.459","-16.634","8.771","-1.208","2.102","-0.364","2.495"
"Interest Debt per Share","34.4632","29.206","28.8304","33.033","31.8166","34.5024","35.0518","35.9272","37.46","36.8148","37.5173","35.7442","36.0266","37.4122","36.3297","35.8099","32.1245","30.7808","31.4154","31.9186","36.8706","37.5585","36.391","37.452","40.5125","39.9491","39.485","40.3035","40.6957","41.1817","42.7748","44.5952","51.0033","56.5844","52.1385","57.1376","57.3699","57.0363","53.5358"
"Cash per Share","4.2374","5.5315","5.4574","4.2264","4.0699","4.1949","5.1421","4.2267","3.8765","3.1733","3.5284","3.0106","3.6143","3.4215","3.4571","4.012","3.944","4.1584","5.2416","4.7834","5.2378","5.4753","6.0649","6.0799","3.6677","2.9455","3.4106","3.518","3.5486","3.0516","3.6577","3.2416","3.7397","3.5405","5.0094","4.3692","4.868","4.6941","4.8302"
"Debt to Equity Ratio","0.9186","0.7878","0.781","0.892","0.871","0.9545","1.0008","1.0073","1.0805","1.0739","1.1088","1.0586","1.081","1.1322","1.1237","1.1413","1.0254","1.0154","1.0356","1.0868","1.3609","1.4654","1.4513","1.4883","1.6553","1.6663","1.661","1.6638","1.6826","1.7212","1.8153","1.8383","2.0782","1.9575","1.7922","2.4284","2.45","2.4259","2.3216"
"Total Debt To Total Assets","0.126","0.1073","0.1066","0.1206","0.1168","0.1269","0.1303","0.1315","0.1422","0.1404","0.1447","0.1376","0.1378","0.1444","0.1401","0.1393","0.1234","0.1192","0.1191","0.1226","0.1443","0.1499","0.1453","0.1557","0.1772","0.1769","0.1745","0.1776","0.1816","0.1738","0.1779","0.1795","0.2017","0.2209","0.1896","0.2292","0.2298","0.2284","0.2211"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","2.1078","0.418","4.0068","-0.9366","1.8318","-0.2467","2.0179","3.8211","1.3546","-1.2152","3.0962","1.2246","0.5778","1.2742","6.6134","-2.0821","3.4314","2.0524","2.0632","0.1087","1.4627","4.3457","-0.1841","1.3525","5.9349","9.0267","2.6635","1.2905","6.8381","3.3883","2.0216","29.4079","32.5124","-34.2103","17.3204","-1.7346","2.8061","-0.3411","3.5377"
