"","42945.0","42854.0","42763.0","42672.0","42581.0","42490.0","42399.0","42308.0","42217.0","42126.0","42035.0","41944.0","41853.0","41762.0","41671.0","41580.0","41489.0","41398.0","41307.0","41216.0","41125.0","40971.0","40845.0","40754.0","40600.0","40509.0","40418.0","40327.0","40236.0","40145.0","40054.0","39963.0","39872.0","39781.0","39690.0","39599.0","39508.0","39417.0",""
"Book Value per Share","14.295","14.55","15.026","13.476","13.463","13.677","12.903","13.49","13.221","13.814","14.231","13.051","12.957","12.726","11.51","10.916","10.582","8.602","9.125","10.4","10.393","10.827","16.117","16.394","16.778","15.112","14.547","15.151","15.109","13.256","14.163","13.249","12.463","12.676","13.29","11.361","10.727","8.947",""
"Tangible Book Value per Share","42.812","40.524","42.856","44.589","39.991","38.554","38.591","42.721","37.517","37.653","42.06","43.525","39.576","38.532","38.946","41.905","36.954","40.186","47.474","47.058","41.857","41.373","47.837","43.814","38.269","49.222","35.364","36.093","36.844","43.692","34.245","32.384","31.733","42.7","34.725","29.276","27.675","34.134",""
"FCF per Share","1.013","0.291","3.232","-0.196","2.248","1.1","2.072","-0.131","0.426","-0.38","2.92","0.343","0.092","0.567","1.863","0.537","-0.303","-0.528","4.15","-0.311","-2.295","1.492","1.019","1.453","-1.008","1.093","0.69","-0.643","0.019","3.301","0.676","0.401","-0.576","3.822","-1.344","-0.415","-0.683","1.354","2.166"
"Interest Debt per Share","4.4525","4.3564","4.3555","4.3232","4.3142","4.2583","5.1105","4.7375","4.5824","4.5403","4.5954","4.6701","4.6808","4.7438","4.7849","4.8687","4.9295","4.9735","6.8445","5.9668","6.5819","6.3833","6.3209","6.7473","4.3431","4.5933","3.6348","3.1501","4.3079","4.5097","5.395","5.2794","4.745","8.0552","6.5275","2.8172","1.9522","2.3597",""
"Cash per Share","4.4887","5.3396","7.1474","4.241","5.8011","5.7015","5.8238","4.9231","5.1487","6.1663","6.9288","5.5099","6.1294","7.3949","7.7332","6.3302","5.611","2.6785","5.4434","0.9164","2.0106","3.4663","5.7045","5.5293","2.803","2.3294","2.0387","2.9479","4.3653","1.3522","1.6038","1.2885","1.2038","1.3781","1.3201","3.5853","3.4402","3.1502",""
"Debt to Equity Ratio","0.3115","0.2994","0.2899","0.3208","0.3204","0.3113","0.3961","0.3512","0.3466","0.3287","0.3229","0.3578","0.3612","0.3728","0.4157","0.446","0.4659","0.5782","0.7501","0.5737","0.6333","0.5896","0.3922","0.4116","0.2589","0.3039","0.2499","0.2079","0.2851","0.3402","0.3809","0.3985","0.3807","0.6355","0.4911","0.248","0.182","0.2637",""
"Total Debt To Total Assets","0.1007","0.104","0.0985","0.094","0.1044","0.1068","0.1283","0.1077","0.1182","0.1167","0.1058","0.1037","0.1139","0.1185","0.1182","0.1108","0.1263","0.1176","0.1368","0.1146","0.1405","0.138","0.1141","0.1315","0.0957","0.0816","0.0866","0.0737","0.0985","0.0891","0.1307","0.1352","0.124","0.1611","0.1535","0.0876","0.064","0.0638",""
"Interest Coverage","18.2222","16.3684","49.5","20.125","17.3889","19.15","38.6","11.45","14.6","9.35","37.0455","9.1364","10.5217","8.9565","19.6522","4.6667","17.7308","-0.1852","-23.1667","0.4074","2.7308","-135.2222","1505.0","8.5135","7.5152","47.8182","18.5","20.0476","13.0","54.1667","14.913","13.5909","13.1304","38.92","4.4286","16.4286","22.9231","130.5556","16.5217"
"Current Ratio","1.418","1.492","1.477","1.35","1.426","1.465","1.428","1.366","1.459","1.507","1.475","1.398","1.463","1.471","1.41","1.296","1.339","1.169","1.114","1.063","1.078","1.163","1.208","1.246","1.209","1.105","1.176","1.207","1.177","1.046","1.038","1.006","0.971","0.934","0.935","1.1","1.085","1.024",""
"Income Quality","2.1483","1.2926","1.8946","0.5515","4.0657","2.1485","1.7933","1.24","1.939","-0.0775","2.237","2.6822","1.226","0.6681","2.628","5.6481","0.0902","0.0617","-2.6206","-10.1","-50.0833","-0.3922","-0.2484","4.6859","-1.3594","0.9908","2.1244","-0.3346","1.0903","1.9602","1.9427","1.8418","-0.3464","3.4333","-2.5","0.5495","-0.3408","1.057","4.8904"
"Payout Ratio","0.493","0.557","0.146","0.459","0.452","1.028","0.165","0.639","0.489","0.622","0.128","0.633","0.405","0.128","0.198","1.063","0.218","-0.708","-0.096","-5.667","4.0","-0.035","-0.031","0.372","0.441","0.093","0.273","0.23","0.378","0.075","0.259","0.368","0.378","0.101","1.077","0.265","0.295","0.076","0.236"
"Intangible Assets out of Total Assets","0.0316","0.0328","0.0307","0.0305","0.0321","0.0329","0.0314","0.0292","0.0327","0.0323","0.0316","0.0332","0.0366","0.0377","0.0375","0.0467","0.0531","0.0494","0.0513","0.0961","0.1068","0.1058","0.1363","0.1462","0.1563","0.1255","0.1578","0.1552","0.1579","0.1363","0.1703","0.1707","0.1705","0.1461","0.1833","0.0897","0.0933","0.0764",""
"Selling, General and Administrative Expense of Revenue","0.2047","0.2019","0.1587","0.2113","0.2078","0.2066","0.1591","0.2125","0.2124","0.2064","0.1565","0.2066","0.2066","0.2031","0.1616","0.2183","0.2199","0.2123","0.157","0.2337","0.2229","0.0968","0.0438","0.2218","0.2305","0.1554","0.2185","0.2211","0.2299","0.1517","0.2134","0.2181","0.2188","0.1697","0.225","0.2083","0.2065","0.1517","0.2"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","2973000000.0","3186000000.0","3394000000.0","2855000000.0","2894000000.0","2948000000.0","2961000000.0","3073000000.0","3142000000.0","3408000000.0","3695000000.0","3437000000.0","3360000000.0","3238000000.0","3049000000.0","2569000000.0","2386000000.0","1445000000.0","1237000000.0","698000000.0","736000000.0","1442000000.0","2228000000.0","2351000000.0","1810000000.0","1409000000.0","1488000000.0","1785000000.0","1588000000.0","589000000.0","340000000.0","54000000.0","-243000000.0","-877000000.0","-652000000.0","706000000.0","573000000.0","241000000.0",""
"Tangible Asset Value","13019000000.0","12530000000.0","13431000000.0","14099000000.0","12829000000.0","12476000000.0","13094000000.0","14726000000.0","13116000000.0","13269000000.0","14763000000.0","15238000000.0","13824000000.0","13386000000.0","13487000000.0","14365000000.0","12579000000.0","13623000000.0","15925000000.0","15868000000.0","14156000000.0","14311000000.0","17384000000.0","16474000000.0","15059000000.0","19546000000.0","14623000000.0","15170000000.0","15412000000.0","18224000000.0","14263000000.0","13446000000.0","13128000000.0","17631000000.0","14310000000.0","12044000000.0","11568000000.0","14292000000.0",""
"Net Current Asset Value","981000000.0","1200000000.0","1369000000.0","740000000.0","759000000.0","807000000.0","745000000.0","949000000.0","1043000000.0","1285000000.0","1227000000.0","874000000.0","792000000.0","631000000.0","461000000.0","-90000000.0","-265000000.0","-777000000.0","-1025000000.0","-1582000000.0","-1554000000.0","-1342000000.0","-625000000.0","-518000000.0","-84000000.0","-858000000.0","-781000000.0","-561000000.0","-772000000.0","-1709000000.0","-1988000000.0","-2303000000.0","-2478000000.0","-3095000000.0","-2717000000.0","-824000000.0","-932000000.0","-1251000000.0",""
"Invested Capital","5903000000.0","5756000000.0","5434000000.0","5959000000.0","5552000000.0","5675000000.0","5927000000.0","6267000000.0","6080000000.0","5975000000.0","6167000000.0","6318000000.0","6067000000.0","5585000000.0","5030000000.0","5199000000.0","5319000000.0","5840000000.0","5585000000.0","6423000000.0","6254000000.0","6465000000.0","6897000000.0","7392000000.0","7002000000.0","7025000000.0","6812000000.0","6652000000.0","6410000000.0","6863000000.0","6878000000.0","6747000000.0","6158000000.0","7193000000.0","6476000000.0","4701000000.0","4177000000.0","3725000000.0",""
"Average Receivables","945500000.0","1054000000.0","1254500000.0","1117500000.0","975500000.0","1046000000.0","1221000000.0","1063500000.0","1015000000.0","933000000.0","1294000000.0","1094500000.0","1096500000.0","904000000.0","2006000000.0","1686500000.0","1661500000.0","1612500000.0","2336000000.0","2059000000.0","2241500000.0","2540500000.0","1844000000.0","1723500000.0","2184000000.0","2711500000.0","1745000000.0","1503000000.0","1944000000.0","2634000000.0","1777500000.0","980000000.0","1208500000.0","1688500000.0","1169500000.0","504500000.0","548500000.0","927000000.0",""
"Average Payables","4936000000.0","4498000000.0","4717000000.0","6208500000.0","4740000000.0","4490500000.0","4740000000.0","6405000000.0","4962000000.0","4768000000.0","5076000000.0","6602000000.0","5106000000.0","4864000000.0","6036500000.0","7255500000.0","5511500000.0","5070000000.0","7254000000.0","7055500000.0","5474500000.0","7611000000.0","6565000000.0","6019000000.0","5085000000.0","9470500000.0","5490000000.0","5428000000.0","5136500000.0","8651000000.0","5665500000.0","4846500000.0","4647000000.0","7908000000.0","5118000000.0","4327000000.0","4115500000.0","6964500000.0",""
"Average Inventory","5037500000.0","4678000000.0","4957500000.0","6491000000.0","4951500000.0","4824500000.0","5112500000.0","6775500000.0","5289000000.0","5092500000.0","5275000000.0","6939000000.0","5510000000.0","5358000000.0","5973500000.0","7567000000.0","5868000000.0","5596000000.0","7175500000.0","7470000000.0","6098000000.0","7897500000.0","7063000000.0","6559500000.0","5691500000.0","9521000000.0","6042000000.0","5910500000.0","5119500000.0","8592500000.0","5921500000.0","5245500000.0","4730500000.0","7829000000.0","5377500000.0","4651500000.0","4368000000.0","6767500000.0",""
