"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","25.609","23.21","22.782","23.444","22.202","19.799","19.697","19.922","22.337","23.549","24.098","24.548","21.997","26.504","26.81","19.002","19.404","23.212","23.395","22.639","22.895","22.27","20.648","21.34","21.884","21.774","17.561","23.824","22.506","23.301","22.85","22.153","21.165","20.935","20.042","19.703","19.047","18.194","18.207"
"Tangible Book Value per Share","43.037","41.642","41.286","40.73","39.596","37.992","36.33","38.021","39.006","39.769","39.353","39.26","38.091","33.993","35.649","29.727","30.351","27.635","28.126","26.702","26.18","26.225","25.22","27.868","27.673","25.281","21.784","21.441","20.031","21.209","20.646","19.973","19.323","19.185","18.582","17.896","16.938","16.37","16.773"
"FCF per Share","2.096","1.637","2.267","2.204","0.968","0.633","1.261","2.051","4.916","1.142","1.135","2.948","1.794","1.181","8.788","2.332","0.712","1.562","2.635","2.151","0.54","1.738","1.756","2.56","1.358","1.898","1.681","1.659","1.081","1.8","1.802","1.595","0.823","1.607","1.233","1.635","0.853","0.959","1.51"
"Interest Debt per Share","22.8799","24.3274","22.3281","22.343","22.3749","22.6501","18.8709","18.856","18.8563","21.9765","19.7587","18.7952","20.7928","18.1078","18.0472","19.0011","18.4278","17.2213","17.1251","15.423","14.4636","14.7421","14.1428","10.4898","10.5201","10.5276","10.5207","3.9061","1.8907","1.566","1.5517","1.5346","1.5085","1.5066","1.5101","1.508","1.5089","1.493","1.4837"
"Cash per Share","15.604","14.8521","15.049","15.6546","13.8791","13.2312","13.9526","14.3546","15.0298","13.8336","13.4528","13.9303","13.1883","12.3099","13.9067","10.1158","10.7888","11.068","11.1928","9.9798","9.1674","9.5695","8.6673","11.1638","10.6462","8.799","6.904","7.0712","6.2347","7.531","6.986","6.4753","6.1217","6.7102","5.9687","5.3916","4.3071","4.1332","4.8118"
"Debt to Equity Ratio","0.8934","1.0482","0.9801","0.953","1.0078","1.144","0.9581","0.9465","0.8442","0.9332","0.8199","0.7656","0.9453","0.6832","0.6732","0.9999","0.9497","0.7419","0.732","0.6813","0.6317","0.662","0.685","0.4916","0.4807","0.4835","0.5991","0.164","0.084","0.0672","0.0679","0.0693","0.0713","0.072","0.0753","0.0765","0.0792","0.0821","0.0815"
"Total Debt To Total Assets","0.3095","0.3341","0.3094","0.309","0.312","0.3226","0.2878","0.2814","0.2818","0.3227","0.2906","0.2743","0.3098","0.288","0.2788","0.3611","0.3508","0.3455","0.3396","0.3288","0.3099","0.3134","0.3086","0.2568","0.2572","0.2723","0.3082","0.1158","0.0629","0.0513","0.0515","0.0534","0.0542","0.0549","0.0562","0.0571","0.059","0.0606","0.0608"
"Interest Coverage","12.1788","14.3444","14.4832","8.5302","16.5","13.646","15.1071","-3.6786","6.2857","17.3363","16.5982","17.0982","-7.2124","17.5405","98.5841","11.625","-11.2432","12.193","17.5701","19.3711","20.1237","21.1474","16.2688","21.2333","1.3","21.2198","47.5263","58.25","66.2143","61.2414","59.3929","62.5667","55.5333","53.8","56.2667","52.7419","40.6333","35.9333","50.4839"
"Current Ratio","1.579","1.475","2.089","2.631","2.359","1.489","1.562","1.621","1.958","2.256","3.331","3.149","2.591","3.651","3.564","3.472","3.64","4.321","4.127","2.275","2.372","2.11","1.845","3.745","4.142","5.737","3.845","2.931","4.97","5.774","5.296","5.883","5.43","5.748","4.959","4.572","4.258","3.988","4.409"
"Income Quality","1.2627","0.7894","1.2682","1.9512","0.5584","0.5783","0.8569","-2.0221","-7.192","0.8155","0.9061","1.9375","-1.4213","0.7702","1.0581","2.1599","-0.4623","1.5546","1.8253","1.4965","0.5078","1.1947","1.5123","1.8447","-2.7552","1.3472","1.2783","1.3208","0.9141","1.5004","1.7432","1.2911","0.861","1.5191","0.9203","1.5629","1.2619","1.3667","1.5951"
"Payout Ratio","0.137","0.107","0.121","0.2","0.112","0.154","0.133","-0.207","-0.297","0.119","0.126","0.127","-0.132","0.111","0.025","0.179","-0.099","0.183","0.13","0.132","0.122","0.117","0.145","0.128","-0.327","0.118","0.122","0.133","0.13","0.136","0.156","0.129","0.142","0.143","0.107","0.145","0.195","0.195","0.152"
"Intangible Assets out of Total Assets","0.4179","0.4281","0.4279","0.4366","0.4479","0.4589","0.4459","0.4326","0.417","0.416","0.4212","0.427","0.4325","0.4594","0.4492","0.4351","0.4222","0.4456","0.4423","0.4308","0.439","0.4425","0.4497","0.3177","0.3234","0.3462","0.3619","0.3645","0.3332","0.3057","0.3144","0.3055","0.3055","0.3008","0.3085","0.3222","0.3375","0.3356","0.3123"
"Selling, General and Administrative Expense of Revenue","0.2933","0.304","0.2897","0.2894","0.299","0.3098","0.3207","0.2854","0.2908","0.2875","0.2969","0.2916","0.2965","0.2963","0.3206","0.2954","0.2978","0.2923","0.2793","0.272","0.2766","0.2771","0.2849","0.2632","0.2714","0.2775","0.2855","0.274","0.2812","0.2761","0.2718","0.2579","0.272","0.2755","0.2826","0.2928","0.293","0.2892","0.2909"
"Research and Development Expense of Revenue","0.076","0.0746","0.0817","0.0788","0.0765","0.0782","0.0797","0.0753","0.0744","0.0739","0.0913","0.0881","0.1033","0.0804","0.0896","0.1311","0.087","0.0801","0.0691","0.0722","0.0675","0.066","0.058","0.0652","0.0647","0.0685","0.0728","0.07","0.0669","0.0624","0.0864","0.0675","0.0668","0.061","0.0631","0.0569","0.0619","0.1469","0.0627"
