"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","54.673","53.242","56.048","55.356","52.048","47.176","42.507","45.533","53.432","49.646","45.864","44.145","40.401","38.586","36.494","34.273","33.272","30.988","29.403","28.162","26.229","26.302","26.466","25.647","24.66","23.202","22.535","21.138","20.048","22.046","21.893","22.72","21.525","20.925","20.014","19.795","19.021","18.681","17.523"
"Tangible Book Value per Share","65.301","62.525","71.095","67.681","65.633","62.789","57.85","60.888","43.817","38.368","36.177","34.008","30.862","28.012","26.061","23.028","20.852","31.129","30.822","28.522","26.075","25.594","25.929","24.69","23.917","22.421","21.603","18.928","17.676","19.474","19.503","20.631","19.611","18.647","17.768","17.662","16.138","15.563","15.828"
"FCF per Share","4.561","-3.85","6.433","3.225","4.062","3.93","3.833","2.842","3.899","2.703","3.385","3.605","3.915","0.213","3.346","2.496","2.405","0.615","1.854","2.046","2.354","0.584","1.662","2.138","1.55","0.917","1.596","1.623","1.467","1.107","0.788","0.789","0.672","0.917","1.212","1.535","0.706","0.949","0.746"
"Interest Debt per Share","30.7404","30.2143","30.0896","29.8515","29.8635","29.8789","29.5977","28.1415","2.4627","2.4848","2.4754","2.4858","2.4908","2.511","2.5229","2.9455","3.0721","3.864","4.8183","4.7009","4.5802","4.502","4.3829","4.381","4.9302","4.9698","5.0258","4.5029","4.1541","4.0579","3.8707","3.8118","3.8124","3.856","3.8187","3.6123","3.615","3.6239","4.9487"
"Cash per Share","5.5191","4.2857","10.741","9.524","6.2163","5.1654","5.932","17.6098","5.4487","6.2896","5.1125","5.022","3.6474","3.4994","2.551","1.8046","1.6528","2.8007","2.4106","1.9102","1.9114","1.2435","2.1194","2.368","2.8779","3.2735","3.172","2.613","2.7736","2.3694","2.0476","2.0275","2.7261","2.6559","2.1352","3.4683","1.6066","2.3247","2.0886"
"Debt to Equity Ratio","0.5623","0.5675","0.5368","0.5393","0.5738","0.6334","0.6963","0.618","0.0461","0.0501","0.054","0.0563","0.0617","0.0651","0.0691","0.0859","0.0923","0.1247","0.1639","0.1669","0.1746","0.1712","0.1656","0.1708","0.1999","0.2142","0.223","0.213","0.2072","0.1841","0.1768","0.1678","0.1771","0.1843","0.1908","0.1825","0.19","0.194","0.2824"
"Total Debt To Total Assets","0.2994","0.3073","0.2849","0.2956","0.3041","0.3164","0.3346","0.3152","0.0346","0.0384","0.0408","0.0428","0.0456","0.0486","0.0502","0.0621","0.0673","0.09","0.1126","0.1154","0.1195","0.1184","0.1176","0.1209","0.1386","0.1447","0.1487","0.1461","0.1439","0.1333","0.1286","0.122","0.1254","0.1294","0.1313","0.1233","0.1284","0.1314","0.1811"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","2.103","2.292","2.553","3.237","2.96","2.594","2.599","3.52","2.198","2.702","2.045","2.253","2.048","2.211","1.811","1.741","1.935","4.158","1.957","2.009","2.002","2.002","3.259","3.205","2.817","2.685","2.419","2.585","2.984","3.531","3.47","3.566","3.414","3.071","2.662","2.677","2.441","3.027","1.082"
