"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","181.874","178.853","178.041","176.105","173.393","171.681","171.891","169.448","166.706","163.835","163.685","161.41","159.33","156.599","156.57","153.105","149.951","147.955","148.128","145.377","139.382","141.34","140.325","138.113","130.005","138.057","136.573","133.337","130.666","129.948","159.816","97.999","97.343","92.715","92.917","87.201","89.414","87.155","85.777"
"Tangible Book Value per Share","1149.927","1227.697","1160.686","1195.57","1162.398","1163.88","1174.558","1155.655","1240.237","1270.64","1253.013","1146.1","1193.18","1099.251","1120.678","1073.342","958.249","995.156","992.104","942.671","859.56","866.588","838.927","804.815","824.038","772.409","775.357","757.59","691.399","726.465","970.744","69.988","63.508","54.386","61.205","74.548","76.986","75.811","81.651"
"FCF per Share","7.963","-1.288","7.104","6.33","2.61","-3.598","6.61","7.98","5.816","-3.633","7.447","7.61","4.262","-1.307","6.698","6.666","6.516","1.004","1.895","5.79","5.141","-0.799","4.728","6.574","4.242","-1.246","5.433","5.643","2.367","-1.097","3.646","4.037","2.925","-1.09","5.813","4.954","4.6","-1.202","1.554"
"Interest Debt per Share","30.5842","34.4689","30.0732","30.2262","30.044","30.0384","29.7309","29.8111","29.6909","53.277","49.7109","52.5567","51.1818","48.3791","43.2432","41.2575","41.5063","46.8121","47.7512","47.1631","43.6359","35.3977","35.6528","35.6132","35.0242","23.7334","24.2695","24.1214","25.7677","28.3642","37.2327","8.5843","8.7376","8.8007","8.792","8.8347","9.6207","9.6751","9.7081"
"Cash per Share","34.3502","35.6651","37.7828","34.2109","31.7859","30.7398","37.5767","34.6231","29.835","27.3627","35.894","37.6579","32.5821","27.1171","26.9294","24.0266","22.2269","24.7049","28.5901","26.1953","20.5581","14.7858","19.944","17.0525","15.2286","15.1827","18.1092","14.3153","11.7502","14.7251","30.9266","20.7329","17.605","13.7694","15.6439","13.8165","11.0174","9.2641","12.8922"
"Debt to Equity Ratio","0.1682","0.1927","0.1689","0.1716","0.1733","0.175","0.173","0.1759","0.1781","0.3252","0.3037","0.3256","0.3212","0.3089","0.2762","0.2695","0.2768","0.3164","0.3224","0.3244","0.3131","0.2504","0.2541","0.2579","0.2694","0.1719","0.1777","0.1809","0.1972","0.2183","0.233","0.0876","0.0898","0.0949","0.0946","0.1013","0.1076","0.111","0.1132"
"Total Debt To Total Assets","0.0229","0.0244","0.0223","0.0219","0.0223","0.0223","0.0219","0.0223","0.0209","0.0367","0.0347","0.0396","0.0373","0.0378","0.0332","0.0329","0.0366","0.0399","0.0409","0.0422","0.0423","0.0342","0.0354","0.0366","0.0356","0.0255","0.026","0.0263","0.0303","0.032","0.0318","0.0535","0.0561","0.0596","0.0573","0.0529","0.0566","0.0572","0.0553"
"Interest Coverage","26.6875","18.4","24.2745","24.2308","23.3922","19.1373","23.3529","24.7","23.8846","22.1765","19.8103","19.8361","19.4167","21.3774","23.0769","19.25","18.7547","17.963","18.1579","16.6491","16.0577","18.0408","17.3958","15.0816","21.4634","22.5","28.6","21.3243","18.5","17.275","18.6522","28.8667","21.8","8.6","4.0","19.5556","24.3889","21.6111","24.1245"
"Income Quality","1.5519","-0.2216","1.4007","1.2114","0.5919","-0.86","1.3438","1.6026","1.2271","-0.6192","1.5633","1.4002","0.9134","-0.2725","1.3864","1.5699","1.5638","0.3006","0.513","1.5903","1.7455","-0.1783","1.573","2.0773","1.4103","-0.2746","1.6332","2.0054","1.0972","-0.3877","2.2188","1.7571","1.8349","-1.5","14.6154","3.1106","2.2299","-0.5394","0.7049"
