"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","231.378","226.971","222.011","212.444","211.92","208.754","207.039","201.35","202.887","199.545","199.732","198.438","200.183","195.16","191.747","181.666","181.515","179.396","174.058","173.892","168.052","167.974","158.18","153.462","157.054","155.135","156.855","153.429","152.116","186.306","170.775","164.47","149.61","134.246","144.686","155.921","155.876","158.077","161.609"
"Tangible Book Value per Share","420.153","414.464","393.76","381.546","380.817","376.257","384.576","386.785","389.143","381.584","374.723","378.782","376.749","370.068","365.514","346.563","347.281","344.309","338.807","340.264","331.278","333.765","317.775","311.065","314.112","309.218","311.164","312.405","309.435","377.221","330.956","324.751","304.318","284.721","297.267","322.077","322.69","327.752","321.655"
"FCF per Share","4.206","12.219","2.976","5.124","3.589","3.676","2.447","4.202","3.738","2.051","2.334","6.809","3.049","1.808","3.081","4.173","3.812","3.416","2.006","3.713","2.257","2.32","1.85","3.53","4.255","1.908","2.286","5.355","2.063","2.628","3.378","4.227","2.008","4.105","1.129","2.302","0.186","3.062","-0.344"
"Interest Debt per Share","41.4351","42.1585","41.2153","41.3174","41.1191","41.0515","34.304","34.4271","34.2582","34.0276","32.4556","30.3282","30.0294","29.6623","29.2653","26.6853","25.9412","25.6943","25.2978","25.2148","24.6235","24.9751","24.3878","24.3607","22.9319","22.8316","23.6927","23.7535","23.4794","23.3384","16.3223","16.1387","16.5012","15.869","15.6383","16.1329","15.5821","15.5896","14.5356"
"Cash per Share","10.7033","39.1202","11.3731","34.4325","29.4686","23.5873","29.1927","26.8651","26.971","25.8719","25.7033","25.2884","22.4774","19.8286","19.5251","17.0785","14.4789","19.9419","18.9491","19.2718","16.378","15.2779","15.0643","14.0065","19.3633","16.6265","15.4625","13.9538","11.3217","10.3961","13.1572","11.4263","10.4286","10.7224","10.8287","14.3336","13.3993","15.3263","19.0489"
"Debt to Equity Ratio","0.3363","0.3509","0.355","0.3734","0.3809","0.3878","0.3259","0.3379","0.3394","0.3422","0.3287","0.3113","0.3129","0.318","0.3217","0.311","0.312","0.3129","0.3275","0.3306","0.3364","0.343","0.3574","0.3691","0.3401","0.3442","0.3595","0.3795","0.393","0.3793","0.2792","0.2909","0.3264","0.3537","0.3244","0.3126","0.3071","0.3031","0.2802"
"Total Debt To Total Assets","0.1537","0.1588","0.1637","0.1685","0.1711","0.1732","0.1526","0.1557","0.1564","0.1578","0.1519","0.1446","0.1469","0.1479","0.1489","0.1435","0.1432","0.143","0.1468","0.1474","0.1486","0.1503","0.1538","0.1569","0.1482","0.1502","0.1574","0.1612","0.166","0.1617","0.1276","0.1302","0.1407","0.1451","0.1379","0.1333","0.1304","0.1287","0.1238"
"Interest Coverage","5.024","6.2568","17.6877","10.9616","11.0289","6.4459","10.0495","17.1538","6.9483","9.6606","7.9614","9.1346","11.7439","9.3504","10.9708","11.3088","10.8698","11.4519","10.991","9.3844","7.454","7.9609","7.3837","5.8296","8.7674","4.2523","10.6742","7.5928","5.4207","9.3794","9.974","10.7955","10.4412","-4.2213","0.8958","3.6284","9.7688","3.8319","9.7304"
"Income Quality","1.9526","4.5086","1.1715","1.3698","1.5617","1.3337","1.3392","1.0832","1.9885","1.1547","1.89","2.6693","1.0797","1.0474","1.3962","1.5488","1.5098","1.2377","1.0525","1.6967","1.5634","1.433","1.4744","2.6335","1.8967","2.3177","0.9285","2.3322","1.8023","0.9119","1.25","1.3987","0.8665","-3.0261","24.1368","3.2517","0.5688","3.567","0.4069"
"Intangible Assets out of Total Assets","0.1704","0.1733","0.182","0.1894","0.1929","0.1951","0.1301","0.1149","0.1161","0.1184","0.133","0.1134","0.1166","0.1177","0.1176","0.1195","0.1218","0.123","0.1276","0.1277","0.1292","0.1292","0.1355","0.1383","0.1284","0.1304","0.1317","0.1352","0.1406","0.1367","0.1143","0.1163","0.1231","0.1296","0.1263","0.119","0.1207","0.1194","0.1203"
