"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","107.831","105.681","103.742","104.008","101.675","99.415","89.873","89.952","90.495","90.737","89.188","89.416","89.799","87.237","84.763","82.965","80.239","82.348","81.019","79.515","76.063","75.429","72.24","70.273","71.467","69.666","67.692","67.414","63.22","61.315","58.46","55.726","49.304","44.117","43.306","46.08","49.044","50.729","50.6"
"Tangible Book Value per Share","301.922","298.222","295.894","299.6","295.557","288.702","298.052","284.267","287.426","283.746","278.907","274.448","272.209","266.731","262.026","262.023","259.553","260.97","257.704","261.044","253.549","251.781","245.0","248.257","250.135","242.863","231.86","231.595","225.37","224.169","220.11","220.279","214.05","208.001","204.777","214.071","222.777","215.697","210.119"
"FCF per Share","1.343","2.175","3.127","3.621","2.439","2.209","3.594","2.495","2.499","3.284","3.84","3.354","2.505","3.713","3.782","2.728","2.631","2.691","2.855","4.842","2.395","1.697","1.401","2.767","3.142","2.989","2.272","3.199","2.563","2.445","2.981","3.005","2.263","1.685","2.881","3.175","3.205","3.077","2.497"
"Interest Debt per Share","30.6366","30.7269","31.8499","31.8978","31.9584","32.1593","34.2401","20.2869","20.1107","21.4394","18.7437","18.5196","18.4098","17.8757","17.6937","17.6938","17.6881","17.7356","14.9202","14.9546","14.9694","15.4232","14.607","14.5546","15.0236","15.1039","14.6351","10.6883","10.6714","10.747","10.7842","11.3934","11.4529","10.722","10.75","10.9349","13.1178","11.4099","7.561"
"Cash per Share","2.7777","2.2822","2.1167","1.8706","2.1766","2.3632","5.4753","3.2056","2.4189","2.8961","1.9745","2.401","1.759","2.5159","1.7026","2.258","1.996","2.5198","1.8098","2.0348","1.8217","2.1207","1.8229","2.2665","2.4689","3.323","2.2747","1.4371","1.9725","2.1571","1.9886","2.2073","1.947","2.5299","2.5991","1.4374","1.7482","1.549","1.5474"
"Debt to Equity Ratio","0.2841","0.2908","0.307","0.3067","0.3143","0.3235","0.381","0.2255","0.2222","0.2363","0.2102","0.2071","0.205","0.2049","0.2087","0.2133","0.2204","0.2154","0.1842","0.1881","0.1968","0.2045","0.2022","0.2071","0.2102","0.2168","0.2162","0.1585","0.1688","0.1753","0.1845","0.2045","0.2323","0.243","0.2482","0.2373","0.2675","0.2249","0.1494"
"Total Debt To Total Assets","0.0878","0.0889","0.0928","0.0917","0.0927","0.0948","0.1085","0.0672","0.0658","0.0713","0.0633","0.0637","0.0638","0.0632","0.0637","0.0636","0.0642","0.0644","0.0548","0.0542","0.0559","0.0579","0.0563","0.0554","0.0568","0.0588","0.0596","0.044","0.0451","0.0456","0.0465","0.0492","0.0508","0.0489","0.0498","0.0485","0.0561","0.0509","0.0346"
"Interest Coverage","11.2381","8.9286","13.1364","11.7697","6.7582","4.8562","9.0645","10.7059","16.2817","12.7794","12.7463","14.7286","13.6667","12.6479","16.5143","15.875","14.7808","18.9167","11.0","13.4921","8.6774","18.4677","14.5714","3.0323","12.5323","6.4921","18.8226","15.3966","16.75","17.9038","21.7321","10.8","12.3571","14.0566","2.9815","1.6912","15.2419","12.5217","17.5814"
"Income Quality","0.4805","0.9268","0.9037","1.2382","1.5606","2.3235","1.7057","1.5303","0.8662","1.5786","2.2955","1.4344","1.086","1.703","1.2886","1.0131","1.0045","0.958","1.268","2.5656","2.4726","0.5879","0.6422","-23.9744","1.7845","4.012","0.7883","1.6059","1.2821","1.0901","1.0525","2.0445","1.4206","0.9912","48.05","19.5926","1.4303","2.6923","1.4388"
