"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","10.504","9.534","8.95","8.741","8.521","8.436","8.127","7.652","7.408","6.806","6.809","6.495","6.46","6.028","5.746","5.355","4.948","4.821","4.73","4.159","3.911","3.78","3.591","3.394","3.409","3.148","2.875","2.465","2.051","1.956","2.105","1.058","1.029","0.244","0.494","5.175","5.243","5.022","4.439"
"Tangible Book Value per Share","18.136","16.338","18.964","18.813","16.311","15.823","19.417","15.123","13.073","13.765","13.353","13.315","13.086","11.237","11.72","10.591","11.33","12.979","15.775","12.887","12.391","12.179","14.334","13.544","11.147","9.85","10.968","10.92","10.644","10.385","11.413","10.066","10.619","11.846","13.639","18.119","18.119","17.805","16.452"
"FCF per Share","0.342","-1.086","1.326","0.302","0.218","-1.084","1.364","0.45","0.319","-0.598","1.551","0.767","0.018","-0.859","1.312","0.337","0.409","-0.271","1.049","0.124","0.208","-0.957","0.638","0.666","-0.239","-0.403","0.763","0.679","0.287","0.013","0.484","0.458","-0.28","-0.054","0.385","0.666","-0.379","-1.624","1.419"
"Interest Debt per Share","10.6993","9.9159","11.2906","12.9911","10.9313","10.9868","13.2726","11.1662","7.5131","8.8824","7.102","8.883","9.0007","7.9104","7.5417","7.0262","8.1736","9.7402","11.6951","10.3653","10.4845","10.4548","11.483","10.9644","8.636","7.3393","7.9631","9.1194","9.7591","9.4088","10.0758","10.3182","11.2304","12.6127","12.5906","16.7976","15.8415","15.3913","12.0078"
"Cash per Share","1.8114","1.7581","2.4685","1.54","1.499","1.6545","1.837","1.5256","1.2121","1.3125","2.317","2.0306","1.299","1.4516","1.6763","1.6773","1.6644","1.7971","3.574","2.6087","2.4794","2.385","3.6185","3.295","2.5223","1.4979","1.769","2.6137","2.4956","2.2955","2.6384","1.3045","1.3275","1.7465","0.8414","2.3297","1.3517","1.6644","1.7393"
"Debt to Equity Ratio","1.0186","1.0401","1.2615","1.4862","1.2829","1.3024","1.6332","1.4593","1.0141","1.3052","1.043","1.3678","1.3932","1.3122","1.3125","1.3121","1.6519","2.0204","2.4724","2.4925","2.6808","2.7656","3.1978","3.2301","2.5334","2.3315","2.7698","3.7","4.7581","4.8091","4.7855","9.7538","10.9108","51.626","25.4617","3.2458","3.0216","3.0649","2.705"
"Total Debt To Total Assets","0.3399","0.3365","0.3528","0.4048","0.3691","0.3731","0.4021","0.3888","0.3344","0.3867","0.3115","0.3898","0.3977","0.3815","0.3555","0.3734","0.4216","0.4621","0.4873","0.4936","0.5115","0.5127","0.5101","0.545","0.5194","0.4848","0.4912","0.5639","0.6193","0.6048","0.5974","0.6519","0.6752","0.7095","0.6178","0.5336","0.5005","0.4955","0.4283"
"Interest Coverage","8.4944","6.3181","12.0349","5.174","6.0209","4.8026","9.2275","8.2311","8.7045","6.716","11.7084","7.3361","6.9563","4.7682","7.6085","6.4195","4.0832","2.3339","6.9493","2.4174","3.9419","2.1912","4.5118","3.8428","4.1435","2.7135","4.7125","2.9116","2.621","1.0135","2.7052","1.386","0.9593","-0.4005","-26.3725","2.8462","1.8877","1.6259","6.0386"
"Current Ratio","1.27","1.222","1.132","1.107","1.135","1.106","1.062","1.104","1.288","1.209","1.151","1.293","1.161","1.161","1.105","1.389","1.312","1.318","1.374","1.416","1.43","1.396","1.324","1.448","1.459","1.245","1.155","1.353","1.472","1.502","1.391","1.192","1.254","0.935","1.023","0.971","0.973","1.004","0.959"
