"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","39813.0","",""
"Book Value per Share","25.127","29.874","3.911","3.562","3.269","3.031","3.153","3.14","2.726","2.903","2.966","2.882","3.075","3.316","3.268","3.713","3.548","3.148","2.74","3.157","2.753","2.623","2.643","2.72","2.521","2.253","1.798","4.399","4.601","2.324","2.073","4.206","",""
"Tangible Book Value per Share","6.591","7.329","5.432","4.243","3.845","3.682","3.86","3.982","3.663","3.809","3.893","3.679","3.889","4.218","4.545","4.531","4.431","4.203","3.393","3.84","3.446","3.524","3.196","3.341","3.062","3.08","2.142","4.822","5.254","6.539","5.867","5.034","",""
"FCF per Share","1.588","-0.273","0.584","0.593","0.012","1.082","0.47","0.955","0.207","0.845","0.811","0.602","0.195","0.881","0.495","0.557","0.171","1.018","0.647","0.536","0.135","0.629","0.371","0.737","0.035","0.789","0.425","0.091","0.051","0.615","0.087","0.102","0.195","0.398"
"Interest Debt per Share","12.5897","16.1774","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","",""
"Cash per Share","1.3256","1.6681","1.197","0.8951","0.642","1.314","1.2419","1.4703","1.0762","1.6385","1.7547","1.4876","1.6907","2.3026","2.5424","2.5828","2.3788","2.4118","1.5537","1.8366","1.4588","1.6889","1.5095","1.6297","1.1817","1.2842","0.5499","3.1628","3.5136","4.8438","4.2292","3.3899","",""
"Debt to Equity Ratio","0.501","0.5415","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","",""
"Total Debt To Total Assets","0.2616","0.2781","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","",""
"Interest Coverage","9.488","3.3544","14.6528","382.9548","0.0","-114.2857","2951.5185","6341.6875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","255.0631","330.9336","253.4215","253.8533","223.0267","155.2133","186.5714","173.982","258.1455","149.9818","218.8578","187.1244"
"Current Ratio","1.381","1.747","2.615","2.547","2.269","2.216","2.758","2.831","2.686","2.961","3.314","3.262","3.534","3.707","2.874","4.724","4.222","3.212","3.891","4.251","3.16","2.6","3.628","3.182","2.914","2.093","2.252","7.073","4.858","1.244","1.207","3.973","",""
"Income Quality","2.8202","-1.1722","1.2326","1.4704","0.3452","1.9797","1.0192","1.3138","0.613","1.8645","1.6","1.305","0.7728","1.8199","1.1396","1.3552","0.4742","2.2804","1.5193","1.1965","0.6171","1.9275","1.2416","1.767","0.4398","2.4377","1.6289","0.6756","0.3611","2.7488","0.4713","0.9365","1.0194","2.0479"
"Payout Ratio","0.417","1.563","0.455","0.5","0.371","0.383","0.377","0.284","0.389","0.42","0.356","0.368","0.36","0.321","1.308","0.383","0.288","0.313","2.0","0.288","0.273","0.324","0.343","0.267","0.278","0.278","0.313","0.5","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.8631","0.874","0.0738","0.2186","0.2312","0.2373","0.174","0.1709","0.1574","0.1491","0.145","0.1475","0.1348","0.1166","0.104","0.0998","0.0996","0.1045","0.1261","0.1123","0.1265","0.1211","0.1286","0.1244","0.1356","0.1352","0.1754","0.0721","0.0746","0.062","0.0693","0.0793","",""
"Selling, General and Administrative Expense of Revenue","0.111","0.1839","0.3502","0.335","0.264","0.2534","0.2707","0.2332","0.264","0.2793","0.244","0.2605","0.2821","0.2707","0.1662","0.3096","0.3184","0.3395","0.3377","0.3418","0.3229","0.3256","0.3538","0.2756","0.3239","0.3098","0.3343","0.4522","0.3645","0.3792","0.2971","0.3978","0.3424","0.3431"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","143400000.0","194800000.0","145200000.0","125461000.0","97240000.0","101337000.0","130121000.0","144037000.0","122155000.0","138673000.0","170442000.0","154443000.0","174906000.0","201565000.0","201403000.0","243532000.0","226405000.0","189672000.0","150759000.0","182359000.0","138039000.0","132235000.0","137395000.0","142173000.0","116629000.0","93479000.0","61118000.0","332378000.0","300566000.0","97212000.0","74328000.0","270297000.0","",""
"Tangible Asset Value","738800000.0","673500000.0","441500000.0","344877000.0","312614000.0","301153000.0","317822000.0","329516000.0","305108000.0","319764000.0","328228000.0","312938000.0","333788000.0","364687000.0","395650000.0","397128000.0","387045000.0","366836000.0","296137000.0","335146000.0","300329000.0","310637000.0","285699000.0","301784000.0","276109000.0","277461000.0","209547000.0","492340000.0","484580000.0","593298000.0","532318000.0","456772000.0","",""
"Net Current Asset Value","-2059200000.0","-2131400000.0","76300000.0","67406000.0","45591000.0","50388000.0","78975000.0","85098000.0","59527000.0","77323000.0","110273000.0","100764000.0","122045000.0","149858000.0","151789000.0","193178000.0","176720000.0","140525000.0","103173000.0","136443000.0","98048000.0","92635000.0","98084000.0","108377000.0","85422000.0","61159000.0","31696000.0","305623000.0","279161000.0","73805000.0","49249000.0","246746000.0","",""
"Invested Capital","1625200000.0","1746000000.0","254300000.0","190996000.0","183789000.0","110317000.0","141572000.0","129175000.0","143010000.0","111494000.0","106636000.0","118136000.0","119648000.0","91165000.0","66851000.0","105353000.0","109008000.0","70598000.0","108390000.0","118776000.0","109284000.0","79129000.0","98476000.0","89418000.0","108643000.0","76236000.0","106942000.0","114677000.0","82598000.0","-244495000.0","-210147000.0","58264000.0","",""
"Average Receivables","154740500.0","148744500.0","72458500.0","70451000.0","74607000.0","62482000.0","68650000.0","69144500.0","67742000.0","64403500.0","63920000.0","62257000.0","64561000.0","62709500.0","54819500.0","56339000.0","60313500.0","57623000.0","46827500.0","53423500.0","54504000.0","56711000.0","44167000.0","48396000.0","47226500.0","51671500.0","43527500.0","40580500.0","","","","","",""
"Average Payables","182076500.0","141722500.0","76522500.0","71292000.0","61305000.0","55679000.0","68023500.0","64781000.0","58810500.0","53029500.0","88016500.0","58640500.0","55417000.0","51078000.0","78593500.0","51793000.0","50031000.0","47661000.0","51396000.0","48844500.0","43436000.0","43367000.0","50134500.0","46627000.0","47409000.0","194877500.0","203432500.0","53689000.0","","","","","",""
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","",""
