"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42371.0","42280.0","42189.0","42098.0","42007.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40544.0","40453.0","40362.0","40271.0","40180.0","40089.0","39998.0","39907.0","39816.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","13.156","12.464","11.727","12.631","12.003","11.535","11.353","11.154","11.218","10.811","10.432","9.954","9.537","9.445","9.222","8.972","8.583","8.426","8.247","7.873","7.523","7.189","6.816","6.525","6.328","6.052","5.74","5.479","5.185","5.02","4.838","4.634","4.425","4.215","4.076","3.919","3.793","3.661","3.538"
"Tangible Book Value per Share","11.786","11.101","10.451","11.272","10.853","10.305","10.302","10.13","10.18","9.871","10.716","10.364","10.004","9.831","9.606","9.314","8.997","8.802","8.899","8.559","8.089","7.654","7.269","6.957","6.618","6.321","5.959","5.794","5.483","5.264","5.296","5.013","4.811","4.636","4.55","4.368","4.243","4.135","4.058"
"FCF per Share","0.36","0.438","0.408","0.167","0.185","0.476","0.547","0.324","-0.134","0.201","0.293","0.314","0.421","0.121","-0.121","0.096","0.138","0.377","0.289","0.306","0.314","0.333","0.349","0.25","0.212","0.253","0.228","0.24","0.199","0.161","0.146","0.09","0.078","0.113","0.143","0.033","0.138","0.008","0.13"
"Interest Debt per Share","1.6415","1.6672","1.6832","1.6905","1.7308","1.7538","1.7751","1.8331","1.8081","1.8244","0.3813","0.4303","0.4546","0.4669","0.4827","0.5333","0.5291","0.5301","0.5709","0.5742","0.5157","0.449","0.3733","0.3957","0.3407","0.3035","0.2794","0.3605","0.3531","0.3593","0.3689","0.4427","0.4598","0.4502","0.4399","0.5379","0.5727","0.5958","0.5995"
"Cash per Share","1.3908","1.1469","0.5101","1.274","1.1179","0.8706","1.1795","0.7608","0.8535","1.1373","1.8582","1.4552","0.9224","0.6399","0.5892","0.8383","0.7876","0.818","0.923","0.8412","0.8868","0.8272","0.7172","0.6834","0.6359","0.5522","0.6462","0.6413","0.7767","0.7327","0.7399","1.1326","1.0965","1.012","0.8409","0.564","0.9036","0.7791","0.5715"
"Debt to Equity Ratio","0.1248","0.1338","0.1435","0.1338","0.1442","0.152","0.1564","0.1644","0.1612","0.1688","0.0365","0.0432","0.0477","0.0494","0.0523","0.0594","0.0616","0.0629","0.0692","0.0729","0.0686","0.0625","0.0548","0.0606","0.0538","0.0501","0.0487","0.0658","0.0681","0.0716","0.0762","0.0955","0.1039","0.1068","0.1079","0.1372","0.151","0.1627","0.1694"
"Total Debt To Total Assets","0.0897","0.0948","0.1001","0.0962","0.1011","0.1064","0.1088","0.1142","0.1135","0.117","0.0288","0.0334","0.0364","0.0383","0.0405","0.0461","0.0473","0.0484","0.0529","0.0567","0.0534","0.0486","0.0422","0.0471","0.0422","0.0396","0.0383","0.0505","0.0518","0.0544","0.0561","0.0701","0.0752","0.0758","0.0752","0.0951","0.1036","0.111","0.1135"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","2.391","2.191","1.915","2.413","2.372","2.228","2.35","2.149","2.422","2.412","3.703","3.331","2.83","3.131","2.751","2.911","2.83","3.018","3.086","3.52","3.571","3.588","3.424","3.77","3.742","3.824","3.746","3.501","3.666","3.743","3.201","3.3","3.086","2.738","2.517","2.794","2.674","2.597","2.841"
"Income Quality","1.6264","1.7527","2.2262","1.414","1.5646","2.236","2.1257","1.8435","0.9446","1.9313","1.5111","1.7017","1.9241","1.3034","2.3555","1.4238","1.5633","1.9415","1.6149","1.8426","1.869","1.8342","1.8476","1.6386","1.6952","1.9596","1.7236","1.9542","1.9871","2.0981","1.7874","1.5168","1.5529","2.3959","1.3724","1.0579","2.42","1.3744","2.2348"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
