"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41639.0","",""
"Book Value per Share","39.623","38.958","38.573","38.85","38.237","37.807","37.239","36.913","36.424","35.812","35.244","34.613","34.995","34.279","",""
"Tangible Book Value per Share","285.403","281.497","278.633","269.779","261.466","252.241","248.942","242.137","242.455","237.344","230.438","222.26","220.363","205.854","",""
"FCF per Share","-0.81","1.57","0.311","0.83","0.522","0.614","0.565","0.475","0.653","0.081","0.018","0.248","0.5","1.166","1.638","0.27"
"Interest Debt per Share","30.7817","30.6899","33.4979","29.4807","28.9186","26.6044","25.2445","21.2944","26.8462","28.0601","27.7501","24.9304","29.0019","15.084","",""
"Cash per Share","9.0842","8.5268","8.0927","6.9977","8.284","4.524","6.5225","3.9907","5.6813","10.2857","6.6691","5.6804","10.1161","5.3393","",""
"Debt to Equity Ratio","0.7769","0.7878","0.8684","0.7588","0.7563","0.7037","0.6779","0.5769","0.7371","0.7835","0.7874","0.7203","0.8287","0.44","",""
"Total Debt To Total Assets","0.1029","0.104","0.1147","0.1042","0.1054","0.1003","0.0964","0.0835","0.1052","0.1123","0.1142","0.1063","0.1247","0.0692","",""
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","-0.9937","2.7252","1.0355","1.7034","1.358","1.7315","1.8009","1.4836","2.1947","0.4689","0.9289","0.9841","1.0256","4.2169","6.6645","1.6736"
"Payout Ratio","0.222","0.23","0.222","0.214","0.261","0.244","0.244","0.25","0.286","0.263","0.278","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.0455","0.0458","0.046","0.0468","0.0474","0.0491","0.0498","0.0508","0.0501","0.0504","0.0518","0.0524","0.0528","0.0563","",""
"Selling, General and Administrative Expense of Revenue","0.506","0.5311","0.5266","0.5232","0.5539","0.5748","0.567","0.556","0.5922","0.5698","0.5845","0.5996","0.5225","0.6057","0.6267","0.6339"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","144520000000.0","143409000000.0","142644000000.0","140139000000.0","138307000000.0","133201000000.0","131332000000.0","128571000000.0","130375000000.0","129659000000.0","125981000000.0","124465000000.0","123403000000.0","115278000000.0","",""
"Invested Capital","155507000000.0","154700000000.0","155650000000.0","151818000000.0","149222000000.0","144861000000.0","141209000000.0","137759000000.0","141756000000.0","139369000000.0","137506000000.0","135245000000.0","133979000000.0","120735000000.0","",""
"Average Receivables","331000000.0","80500000.0","0.0","0.0","535500000.0","80500000.0","0.0","1033500000.0","469500000.0","223000000.0","","","","","",""
"Average Payables","43000000.0","138000000.0","0.0","0.0","43000000.0","168500000.0","0.0","1043500000.0","0.0","30500000.0","","","","","",""
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","",""
