"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40725.0","40634.0","40543.0","40452.0","40361.0","40270.0","40178.0","40081.0","39990.0","39899.0","39813.0","39717.0","39626.0","39535.0","39447.0"
"Book Value per Share","7.399","7.618","7.714","8.217","7.828","7.42","7.752","7.817","7.531","7.23","7.849","7.806","7.492","7.657","8.279","8.035","7.749","7.539","7.403","7.376","7.115","7.133","7.14","7.256","7.11","6.831","6.573","6.394","6.137","5.919","5.671","5.482","5.242","4.949","4.744","4.88","4.507","4.271","4.087"
"Tangible Book Value per Share","6.287","5.779","5.765","5.905","5.99","5.832","6.255","6.041","6.047","6.403","6.579","6.424","5.866","6.043","6.599","6.333","5.78","5.816","5.853","7.472","4.861","4.805","4.706","4.755","4.431","4.294","4.27","5.309","5.024","5.325","5.26","5.262","4.837","4.454","4.084","4.184","4.539","4.219","4.459"
"FCF per Share","0.441","0.506","0.541","0.729","0.426","0.654","0.69","0.571","0.352","0.463","0.363","0.684","0.347","0.348","0.31","0.74","0.285","0.224","0.657","0.419","0.181","0.347","0.29","0.453","0.263","0.255","0.398","0.52","0.143","0.222","0.155","0.3","0.236","0.252","0.211","0.237","0.215","0.213","0.29"
"Interest Debt per Share","6.0985","5.0319","4.369","3.6035","4.2113","4.4478","4.023","3.7414","4.1012","4.647","4.0575","3.9405","2.9774","2.9098","2.8916","2.8945","2.9036","3.085","3.2443","3.2394","1.0115","0.8781","0.8828","0.8824","0.8712","0.8743","1.1936","2.3138","2.4679","2.6308","2.8904","2.9663","3.019","3.101","3.0506","3.2226","2.7778","2.8181","3.2389"
"Cash per Share","0.9512","0.549","0.7324","0.8996","0.8202","0.7508","1.2644","0.8032","0.7762","1.1352","1.5795","1.3844","0.7303","1.087","1.7887","1.6048","0.9895","0.9385","1.232","3.1943","0.6602","0.8166","0.8796","0.9569","0.5701","0.5571","0.6648","1.5946","1.2826","1.577","1.5833","1.4884","1.2688","0.9975","0.7055","0.6421","0.9611","0.784","0.9452"
"Debt to Equity Ratio","0.8242","0.6605","0.5664","0.4385","0.5379","0.5994","0.519","0.4786","0.5446","0.6427","0.517","0.5048","0.3974","0.38","0.3493","0.3602","0.3747","0.4092","0.4383","0.4392","0.1422","0.1231","0.1236","0.1216","0.1225","0.128","0.1816","0.3619","0.4021","0.4444","0.5097","0.5411","0.5759","0.6266","0.643","0.6604","0.6164","0.6599","0.7924"
"Total Debt To Total Assets","0.3264","0.2849","0.2573","0.2171","0.2511","0.2682","0.2467","0.2326","0.2539","0.2824","0.2493","0.2436","0.2013","0.1965","0.1886","0.1914","0.1987","0.2099","0.2204","0.2354","0.0906","0.0797","0.0809","0.0807","0.0817","0.0846","0.1153","0.2056","0.2253","0.2378","0.2618","0.2676","0.2827","0.3003","0.3056","0.3102","0.2899","0.3034","0.338"
"Interest Coverage","13.5591","24.1951","25.2143","29.2941","25.0845","26.4412","22.6974","26.0946","16.1266","22.75","24.1884","26.1014","20.5652","24.3881","21.7761","24.3143","19.8857","24.3143","21.6667","57.1538","52.2917","54.037","99.3333","58.2727","46.7692","49.7407","12.2222","14.2375","22.9623","16.2927","10.4385","14.0876","11.2897","12.371","6.7882","7.4473","8.0924","7.9894","4.2782"
"Current Ratio","0.724","0.647","0.755","1.024","0.882","0.776","1.038","1.088","0.958","0.887","1.125","1.081","1.339","1.448","1.713","1.664","1.57","1.391","1.287","2.201","1.746","1.874","1.969","2.029","1.894","1.84","1.453","1.9","1.88","1.819","1.637","1.629","1.672","1.647","1.718","1.681","2.024","1.983","1.606"
"Income Quality","1.6159","1.0","1.452","1.6008","1.0636","1.5735","1.8084","1.3322","1.4138","1.3451","1.2345","1.742","1.1757","0.9981","1.3341","1.9981","1.0242","0.6713","2.5705","1.3493","0.9496","1.1889","1.8589","1.853","1.1162","0.951","2.9745","2.3727","0.6972","0.9","1.7455","1.6285","1.7677","1.4701","2.5784","1.8736","1.4776","1.1162","2.8228"
"Payout Ratio","0.655","0.365","0.419","0.375","0.419","0.409","0.405","0.37","0.607","0.415","0.375","0.349","0.455","0.405","0.424","0.359","0.452","0.359","0.414","0.353","0.429","0.353","0.409","0.321","0.31","0.31","0.25","0.167","0.154","0.143","0.211","0.16","0.095","0.091","0.125","0.111","0.118","0.095","0.167"
