"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","-1.033","-1.61","-1.64","-1.533","-0.044","1.963","3.23","6.459","13.532","19.785","25.649","24.727","24.586","24.834","24.608","24.689","24.556","24.117","24.213","23.8","27.145","25.749","25.975","25.545","24.383","23.651","24.19","24.166","23.479","19.39","18.165","19.351","19.904","19.796","29.595","29.616","19.724","23.266","25.919"
"Tangible Book Value per Share","13.128","12.913","14.638","16.117","18.628","22.99","26.154","32.106","43.199","52.002","61.838","61.391","62.408","64.749","64.28","64.463","64.541","65.255","64.714","70.918","74.028","71.011","65.367","62.887","57.726","54.89","58.921","54.324","50.981","48.076","47.483","48.011","50.529","49.683","67.118","72.235","72.981","67.874","65.671"
"FCF per Share","-0.837","0.529","-0.373","-0.133","0.47","-1.036","-0.551","-0.189","-1.092","-1.582","6.408","-0.035","0.871","0.088","0.222","1.361","1.887","-1.343","6.35","-3.182","-3.593","-5.072","0.292","-2.784","-1.483","4.648","-2.732","-1.343","-1.239","0.213","-0.924","1.759","-0.786","-1.839","-14.534","8.114","-0.987","-0.3","-4.722"
"Interest Debt per Share","10.8513","10.5121","11.7315","12.4556","13.3273","15.5763","16.1511","17.4465","17.4381","17.41","17.5038","17.5636","17.525","19.7097","19.8246","19.4146","19.9954","20.659","19.6267","25.1832","22.3193","20.3769","16.6031","21.0455","19.3984","19.7334","20.0317","19.6804","18.2092","20.5032","20.8079","19.9628","23.0813","22.2965","23.2209","27.1444","39.025","29.428","24.641"
"Cash per Share","0.0143","0.2748","0.991","0.0051","0.0055","0.024","1.2462","2.6531","3.1556","4.4554","6.2914","0.1939","2.3323","1.6398","1.4031","1.6189","1.1608","0.1751","0.619","0.4627","1.9439","0.8084","0.6172","0.174","0.1717","1.3391","0.1616","0.9636","0.9525","0.819","0.4873","0.8401","0.9187","0.139","3.0417","3.5451","0.0","0.002","0.0021"
"Debt to Equity Ratio","-10.5043","-6.5278","-7.1514","-8.1259","-301.5313","7.9367","5.0009","2.7013","1.2887","0.88","0.6824","0.7103","0.7128","0.7936","0.8056","0.7864","0.8143","0.8566","0.8106","1.0581","0.8222","0.7914","0.6392","0.8238","0.7956","0.8343","0.8281","0.8144","0.7756","1.0574","1.1455","1.0316","1.1596","1.1263","0.7846","0.9166","1.9786","1.2649","0.9507"
"Total Debt To Total Assets","0.8266","0.8141","0.8014","0.7728","0.7154","0.6775","0.6175","0.5434","0.4037","0.3348","0.2831","0.2861","0.2808","0.3044","0.3084","0.3012","0.3098","0.3166","0.3033","0.3551","0.3015","0.287","0.254","0.3347","0.336","0.3595","0.34","0.3623","0.3572","0.4265","0.4382","0.4158","0.4568","0.4488","0.346","0.3758","0.5347","0.4336","0.3752"
"Interest Coverage","6.3226","2.4842","-6.7273","-14.8219","-27.6452","-16.2258","-25.486","-62.5114","-78.0704","-99.2157","133.1429","65.6471","13.2963","19.0769","-1.5714","9.725","10.2692","6.7619","38.0714","-89.8889","117.7857","-1.5","113.0","378.75","34.4","-37.0","53.0","303.3333","0.0","49.0","-12.4918","8.1395","0.0","657.0","-17.9529","159.8529","-46.9259","-1.1414","5.0574"
"Current Ratio","0.578","0.488","0.587","0.296","0.319","0.527","0.673","0.785","0.825","1.006","1.32","0.559","0.754","0.718","0.663","0.703","0.639","0.499","0.47","0.559","0.722","0.589","0.449","0.56","0.546","0.759","0.727","0.794","0.826","1.068","0.91","0.998","0.991","0.849","1.185","1.142","0.435","0.461","0.506"
"Income Quality","-0.334","1.32","0.261","-0.3141","-0.0523","0.3789","-0.0803","-0.0677","-0.0756","-0.1118","1.4147","6.8757","9.3241","3.4519","-6.6323","8.8526","2.8031","61.6","3.3424","-0.4618","0.8127","-3.8592","5.0793","1.8555","2.9443","-3.5024","6.3315","1.9282","7.6383","1.6161","-2.3157","6.0914","3.1097","-0.2195","-0.9681","0.4828","-0.7809","-10.669","9.784"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.014","-0.016","0.101","6.808","0.409","0.158","-0.391","0.375","0.129","4.5","0.225","-0.028","0.062","-0.818","0.0","0.065","0.122","-0.219","0.25","0.086","0.189","0.06","-0.089","0.233","0.179","-0.007","-0.036","0.012","-0.022","-0.241","0.212"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.0307","0.0236","0.0336","0.0277","0.0376","0.0246","0.023","0.0145","0.0196","0.0174","0.0129","0.0105","0.0175","0.0157","0.0198","0.0247","0.0227","0.0321","0.028","0.0488","0.0457","0.0562","0.0506","0.038","0.0392","0.0806","0.0572","0.0484","0.0527","0.039","0.0405","0.0525","0.0442","0.0451","0.0299","0.0144","-0.222","0.049","0.0359"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-911000000.0","-1428000000.0","-1506000000.0","-2539000000.0","-2573000000.0","-1341000000.0","-1205000000.0","-978000000.0","-897000000.0","32000000.0","1812000000.0","-2473000000.0","-1422000000.0","-1683000000.0","-1859000000.0","-1684000000.0","-2028000000.0","-2901000000.0","-3318000000.0","-2845000000.0","-1743000000.0","-2740000000.0","-3905000000.0","-2725000000.0","-2602000000.0","-1125000000.0","-1224000000.0","-850000000.0","-637000000.0","212000000.0","-242000000.0","-6000000.0","-26000000.0","-509000000.0","671000000.0","510000000.0","-4122000000.0","-2274000000.0","-1365000000.0"
"Tangible Asset Value","11920000000.0","11699000000.0","13028000000.0","12523000000.0","13487000000.0","15357000000.0","17314000000.0","21286000000.0","28598000000.0","34373000000.0","40751000000.0","40518000000.0","41127000000.0","42605000000.0","41782000000.0","42288000000.0","42145000000.0","42481000000.0","41611000000.0","45671000000.0","47526000000.0","45589000000.0","41835000000.0","40122000000.0","36656000000.0","34800000000.0","37179000000.0","34333000000.0","32169000000.0","30288000000.0","29914000000.0","29719000000.0","30469000000.0","29661000000.0","38593000000.0","40018000000.0","38023000000.0","33462000000.0","30734000000.0"
"Net Current Asset Value","-11357000000.0","-11542000000.0","-12089000000.0","-12388000000.0","-12054000000.0","-12294000000.0","-12437000000.0","-13161000000.0","-14124000000.0","-14602000000.0","-15078000000.0","-19758000000.0","-18432000000.0","-19853000000.0","-19986000000.0","-19946000000.0","-20349000000.0","-21583000000.0","-20767000000.0","-24369000000.0","-23222000000.0","-22771000000.0","-20697000000.0","-20354000000.0","-18047000000.0","-16261000000.0","-18649000000.0","-15787000000.0","-14336000000.0","-14737000000.0","-15127000000.0","-14382000000.0","-15519000000.0","-14990000000.0","-17284000000.0","-19500000000.0","-24572000000.0","-20046000000.0","-17208000000.0"
"Invested Capital","19602000000.0","18186000000.0","18939000000.0","18591000000.0","19355000000.0","22913000000.0","23496000000.0","26537000000.0","32925000000.0","37570000000.0","42484000000.0","46380000000.0","45347000000.0","48537000000.0","48241000000.0","48284000000.0","48824000000.0","50031000000.0","47567000000.0","55135000000.0","54348000000.0","51488000000.0","44984000000.0","47243000000.0","43137000000.0","41793000000.0","45227000000.0","42039000000.0","39403000000.0","39566000000.0","40028000000.0","39042000000.0","40859000000.0","39527000000.0","46575000000.0","49491000000.0","51058000000.0","43749000000.0","39504000000.0"
"Average Receivables","985500000.0","940000000.0","1093000000.0","1084000000.0","1226500000.0","1290000000.0","1682500000.0","1861000000.0","1905500000.0","2118000000.0","2229000000.0","2443500000.0","2363500000.0","2487500000.0","2233500000.0","2365500000.0","2270000000.0","2489000000.0","2375000000.0","2514000000.0","2415500000.0","2456500000.0","2239500000.0","2095500000.0","2033500000.0","1868000000.0","1649500000.0","1376000000.0","1240500000.0","1302000000.0","1324500000.0","1314000000.0","1362500000.0","1231500000.0","1199000000.0","1103000000.0","1254000000.0","1084000000.0","959500000.0"
"Average Payables","710000000.0","700500000.0","808000000.0","865000000.0","993000000.0","1176500000.0","1496500000.0","1664000000.0","1607000000.0","1708000000.0","1822500000.0","1994000000.0","1858500000.0","1847500000.0","1653000000.0","2043500000.0","2169500000.0","2381500000.0","2510500000.0","2600500000.0","2576000000.0","2540500000.0","2690000000.0","2671000000.0","2410500000.0","2119000000.0","1513000000.0","1911000000.0","1781500000.0","1916000000.0","1524000000.0","1788000000.0","1749000000.0","1954500000.0","1914000000.0","1818000000.0","1756000000.0","1670500000.0","1472500000.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","29000000.0","146000000.0","79500000.0","53500000.0","72500000.0","202000000.0","127000000.0","98000000.0","72500000.0"
