"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","56.817","55.343","53.451","54.465","52.068","49.557","46.72","45.725","43.867","42.338","41.188","42.291","40.711","38.587","38.229","34.91","34.259","33.782","34.17","33.049","31.292","29.88","29.583","28.723","27.897","25.896","24.528","23.767","21.599","21.097","19.811","18.911","16.457","14.135","13.219","16.889","16.929","17.188","17.008"
"Tangible Book Value per Share","217.714","214.606","207.916","213.411","208.523","206.653","198.249","197.553","198.514","201.565","190.692","188.199","185.728","179.639","174.764","169.736","167.68","171.178","166.963","165.253","165.937","164.245","175.903","165.39","162.239","159.943","157.105","157.464","150.187","149.053","146.787","145.861","142.142","141.523","141.791","137.952","137.379","139.971","137.131"
"FCF per Share","2.32","5.789","3.322","6.899","0.795","3.163","3.816","1.953","1.224","2.407","2.152","1.349","1.388","1.437","1.805","2.21","-0.151","-3.109","2.497","-1.529","2.806","3.002","0.433","2.073","1.53","-0.081","1.362","1.547","1.124","1.244","1.415","0.275","-0.132","0.044","1.943","1.601","0.523","1.014","1.809"
"Interest Debt per Share","18.6044","18.5293","19.5997","19.6866","19.8391","20.292","20.066","20.214","20.1891","23.452","19.5964","19.5021","19.1438","19.1252","18.9825","18.5229","18.1654","18.8666","18.1433","18.0744","18.0736","18.2083","18.8511","11.8913","11.875","11.8458","10.4828","10.5038","10.3334","9.3138","9.3733","9.3948","9.407","9.1648","8.8583","8.8009","9.0131","8.401","6.4801"
"Cash per Share","14.1047","16.164","12.4056","12.5658","9.5668","9.3875","7.6398","9.2468","7.6506","10.1376","5.4286","6.1444","7.3218","8.3197","10.1117","10.8012","11.2469","11.5613","10.4166","7.7541","10.5611","7.3678","17.356","7.0393","6.5565","6.1054","5.9243","5.1582","5.2372","4.7242","3.3792","3.0656","3.7467","5.0731","4.9388","3.922","2.8667","10.1755","7.0568"
"Debt to Equity Ratio","0.3274","0.3348","0.3667","0.3615","0.381","0.4095","0.4295","0.4421","0.4602","0.5539","0.4758","0.4611","0.4702","0.4956","0.4965","0.5306","0.5302","0.5585","0.531","0.5469","0.5776","0.6094","0.6372","0.414","0.4257","0.4574","0.4274","0.442","0.4784","0.4415","0.4731","0.4968","0.5716","0.6484","0.6701","0.5211","0.5324","0.4888","0.381"
"Total Debt To Total Assets","0.0771","0.0779","0.0848","0.0831","0.0855","0.0881","0.0905","0.0915","0.0909","0.1043","0.0917","0.0924","0.092","0.0948","0.0966","0.0969","0.0963","0.0982","0.0965","0.0974","0.0973","0.0988","0.1005","0.0672","0.0683","0.0691","0.0622","0.0622","0.0643","0.0584","0.0596","0.0601","0.0616","0.0602","0.0581","0.0593","0.0611","0.0574","0.0452"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","0.8573","2.6405","2.4921","4.1184","0.6784","1.7746","2.6667","1.1225","0.7585","1.3827","1.469","0.8801","0.8935","0.928","1.6953","1.5009","0.1624","-14.1228","1.9532","-0.6867","2.4632","2.5364","0.9084","3.6284","1.3504","0.1235","1.1646","1.6612","1.2891","1.3922","1.4424","0.4772","0.092","0.3462","-2.8995","2.8713","0.761","6.069","2.1901"
