"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","37.022","35.276","34.428","33.436","32.417","42.193","18.052","17.218","16.302","15.465","14.824","13.929","12.779","12.287","11.236","10.786","10.253","9.413","9.189","9.344","9.234","9.581","9.259","8.965","8.656","8.332","8.042","8.025","7.767","7.758","6.975","6.677","6.345","6.109","5.835","5.523","5.3","5.09","4.762"
"Tangible Book Value per Share","90.911","88.02","81.412","78.103","77.275","100.077","53.075","52.988","50.948","48.651","42.075","38.95","34.268","32.216","28.517","25.064","24.282","24.94","24.079","23.391","21.069","19.316","18.613","17.149","16.925","17.063","16.578","15.464","14.904","15.649","16.895","16.191","15.643","15.22","14.785","13.545","12.24","11.319","11.149"
"FCF per Share","-2.345","6.77","8.766","2.126","-2.744","1.203","1.272","0.16","2.681","0.152","2.856","3.532","1.177","2.035","1.354","1.046","0.17","0.309","-0.383","2.947","-0.197","-0.46","1.536","0.146","-0.589","0.775","1.702","0.449","-1.02","-0.652","0.358","1.186","0.233","0.142","0.965","0.252","0.522","0.079","0.291"
"Interest Debt per Share","27.3976","27.0058","27.186","26.8717","26.3487","34.0919","10.2184","10.7537","9.6132","9.4962","7.4716","8.1453","7.7133","7.107","6.0912","4.7639","5.057","5.1202","5.1955","3.8316","3.9674","3.4268","3.4792","3.4889","3.3851","3.0689","3.3491","2.6826","2.5725","2.4621","3.5725","3.2247","3.3575","3.3705","3.0833","2.891","2.5601","2.4833","2.3795"
"Cash per Share","25.6853","28.1216","22.9518","17.4616","15.889","27.3691","14.7292","13.9773","16.5289","14.0255","13.6851","13.5035","10.897","11.0535","9.451","6.7784","6.3151","6.9789","8.1372","7.7215","4.0948","4.2346","5.6772","4.4856","4.7287","4.9451","4.3977","4.0382","2.7027","3.7038","4.6873","4.581","4.4708","3.9731","4.4127","3.1837","4.1208","3.0293","3.0818"
"Debt to Equity Ratio","0.74","0.7656","0.7897","0.8037","0.8128","0.808","0.5661","0.6246","0.5897","0.614","0.504","0.5848","0.6036","0.5784","0.5421","0.4417","0.4932","0.5439","0.5654","0.4101","0.4296","0.3577","0.3758","0.3892","0.3911","0.3684","0.4165","0.3343","0.3312","0.3174","0.5122","0.4829","0.5292","0.5517","0.5284","0.5234","0.4831","0.4879","0.4996"
"Total Debt To Total Assets","0.2161","0.2175","0.2305","0.2337","0.2305","0.2295","0.1664","0.175","0.1629","0.1685","0.1509","0.1753","0.1903","0.1838","0.1896","0.166","0.1811","0.1857","0.1943","0.1469","0.1669","0.1535","0.1605","0.1724","0.1689","0.1524","0.1701","0.1472","0.1458","0.1345","0.1808","0.1696","0.182","0.187","0.1825","0.1841","0.1828","0.1898","0.1849"
"Interest Coverage","7.8226","4.6452","7.5067","6.5439","7.8654","1.0","20.6364","17.3636","16.6364","13.6","20.6","13.1111","11.4444","10.7143","13.9402","13.366","10.3061","6.6894","12.1058","-0.1798","-8.2017","8.5151","11.7532","11.3775","9.5242","7.6853","8.7691","8.3744","11.3456","10.5796","10.1276","9.2908","8.6969","8.3515","9.3536","7.9438","8.2733","11.16","1.3779"
"Current Ratio","1.076","1.022","0.97","0.859","0.891","0.959","0.993","1.009","1.11","1.074","1.018","1.051","1.098","1.129","1.155","0.987","1.016","1.052","1.144","1.075","1.038","1.036","1.122","1.049","1.033","0.91","0.858","1.023","0.857","0.835","0.861","0.867","1.034","0.935","1.04","1.063","1.117","0.95","0.917"
"Income Quality","-1.2047","8.9784","6.0226","3.3103","-2.4647","-12.25","1.8108","0.6667","3.9773","0.7143","3.4579","5.378","3.2653","7.6364","3.2052","2.6478","0.961","1.8691","-3.0735","83.0537","-0.6342","-1.3386","5.7128","1.2598","-1.4392","3.9583","7.6627","3.202","-2.624","-1.604","3.0031","5.4005","1.913","1.2687","4.4561","2.1831","3.294","1.0427","25.4501"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
