"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","8.267","8.206","8.028","8.056","7.882","8.153","8.049","9.437","10.581","10.637","10.577","10.402","10.291","10.289","10.114","9.932","9.769","10.213","10.073","9.97","10.145","10.061","9.911","9.876","7.777","7.685","7.525","7.415","7.652","6.893","6.784","6.995","6.355","5.963","6.018","6.024","5.986","5.743","5.634"
"Tangible Book Value per Share","49.137","48.872","48.647","47.387","46.754","46.893","47.558","48.693","50.609","50.767","52.0","49.321","49.023","49.939","49.136","48.333","48.527","48.836","50.124","49.201","48.663","48.486","46.965","45.2","42.209","42.113","43.329","41.95","44.563","44.924","46.47","45.83","48.355","49.32","53.512","50.716","49.899","48.386","50.353"
"FCF per Share","0.056","0.016","0.253","0.067","0.172","0.709","-0.247","-0.053","0.198","0.756","-0.235","0.091","0.019","0.184","0.25","0.037","-0.135","0.612","0.204","0.37","0.569","0.376","0.225","-0.035","0.493","0.692","-0.125","-0.382","-0.215","0.45","0.136","0.205","1.077","0.499","-0.777","-1.044","0.21","1.161","0.059"
"Interest Debt per Share","21.9049","21.8237","21.5986","21.1439","20.9977","20.8744","21.4233","21.1698","21.2744","21.1372","21.8558","21.1209","20.8581","20.9207","20.5888","20.4266","20.8485","22.264","23.5667","23.7541","23.9391","24.0681","22.0282","21.669","21.9296","22.1365","22.8565","22.5569","24.5125","24.9669","26.4216","25.9838","28.9972","30.389","32.1429","30.6386","30.7404","30.1424","31.6634"
"Cash per Share","0.5754","0.5893","0.7912","0.6265","0.6288","0.507","0.614","0.5279","0.5698","0.5442","0.693","0.5349","0.4791","0.8834","0.486","0.5105","1.1585","0.5724","1.5129","1.6909","2.63","2.5728","0.5164","0.2418","0.446","0.2235","0.4682","0.2346","1.4575","0.8372","1.9023","0.1649","0.429","0.1873","0.497","0.2457","0.4569","0.2138","0.4016"
"Debt to Equity Ratio","2.6497","2.6593","2.6905","2.6247","2.6641","2.5602","2.6617","2.2432","2.0105","1.9871","2.0664","2.0304","2.0269","2.0333","2.0356","2.0566","2.1341","2.1801","2.3397","2.3827","2.3596","2.3922","2.2226","2.1942","2.8198","2.8806","3.0375","3.0422","3.2032","3.622","3.8947","3.7148","4.5628","5.0967","5.3412","5.0864","5.1354","5.2484","5.6199"
"Total Debt To Total Assets","0.4283","0.4289","0.4265","0.4281","0.4307","0.4273","0.4327","0.418","0.4047","0.4009","0.4051","0.4119","0.4092","0.4031","0.4029","0.4062","0.413","0.426","0.44","0.4513","0.4548","0.4587","0.4324","0.4406","0.4748","0.4801","0.483","0.4907","0.5023","0.5071","0.5198","0.5154","0.5453","0.5606","0.5489","0.5503","0.5583","0.5627","0.5692"
"Interest Coverage","3.7403","4.8333","2.9756","4.3253","1.093","3.7586","-8.5116","-6.2159","2.2809","3.3483","105.5","2.8051","2.4202","3.5789","2.5351","2.9407","2.2101","2.7519","2.5108","1.9078","2.4085","2.4898","2.089","9.1172","2.3287","2.5772","2.0861","2.2839","1.8025","2.3671","1.9383","1.962","1.7963","1.7099","1.9744","2.42","2.0872","2.3154","1.8363"
"Current Ratio","0.943","1.096","0.949","1.055","1.014","0.921","1.094","0.752","0.803","0.844","1.17","0.856","0.836","0.966","0.88","0.894","0.927","0.756","0.804","0.818","0.922","1.085","0.901","0.855","0.865","0.915","0.985","0.744","0.776","0.745","0.956","0.863","0.921","0.945","1.066","0.988","0.924","0.716","0.735"
