"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","101.74","99.95","98.515","95.268","93.943","90.46","88.872","87.91","85.39","82.906","81.035","78.419","76.656","74.721","72.208","71.326","70.256","70.925","69.624","68.3","64.086","80.43","64.537","63.952","62.466","60.239","58.086","57.055","55.352","53.536","59.099","57.636","63.987","68.255","67.948","68.164","66.423","66.007","58.049"
"Tangible Book Value per Share","695.84","694.962","710.166","653.198","633.904","598.912","600.641","552.546","542.666","529.824","529.145","509.928","497.463","482.751","490.768","471.489","483.841","491.651","514.049","495.976","487.14","611.408","418.613","406.107","405.443","406.044","402.498","401.381","402.819","410.984","346.836","340.64","400.475","419.345","393.07","377.893","368.576","369.404","329.165"
"FCF per Share","7.452","6.119","3.575","6.143","4.444","7.524","1.881","8.25","4.171","3.336","2.709","4.678","2.869","5.29","2.34","5.711","4.006","3.665","0.523","8.42","3.598","3.659","3.248","3.146","5.227","3.94","0.015","6.861","5.938","4.283","-1.84","-0.024","3.298","3.502","-1.747","4.02","3.315","2.833","10.525"
"Interest Debt per Share","103.4311","100.7798","125.3573","118.2035","115.5654","95.7507","111.109","78.8638","83.7554","74.383","87.1575","75.2567","68.4314","52.5791","70.5119","54.4042","62.0221","64.3917","85.8026","66.0703","61.8152","71.5812","86.0626","74.6994","82.1854","87.0171","91.4721","97.0569","105.1792","115.6882","46.7056","46.8937","58.9942","58.3632","59.1804","64.516","74.1178","84.4755","89.6645"
"Cash per Share","13.9036","19.3803","20.6842","17.9696","13.9602","9.9264","15.0795","12.6044","13.096","16.1188","13.0259","10.9528","11.7779","10.7924","10.9114","9.7687","7.9652","11.5861","19.0103","10.2763","10.3025","66.7293","12.7002","13.8406","14.4682","17.4288","11.4876","10.8194","11.388","16.4693","19.3032","9.0715","12.0547","19.7902","19.1272","14.9593","12.0594","12.9496","11.5204"
"Debt to Equity Ratio","1.0166","1.0083","1.2725","1.2407","1.2302","1.0585","1.2502","0.8971","0.9809","0.8972","1.0756","0.9597","0.8927","0.7037","0.9765","0.7628","0.8828","0.9079","1.2324","0.9674","0.9646","0.89","1.3335","1.1681","1.3157","1.4445","1.5748","1.7011","1.9002","2.161","0.7903","0.8136","0.922","0.8551","0.871","0.9465","1.1158","1.2798","1.5446"
"Total Debt To Total Assets","0.1425","0.139","0.1693","0.1734","0.1745","0.1529","0.177","0.1364","0.1474","0.134","0.1572","0.1407","0.1311","0.1037","0.1369","0.1099","0.1222","0.1249","0.1595","0.1271","0.121","0.1117","0.192","0.1714","0.1889","0.1997","0.2116","0.2251","0.2431","0.2624","0.1239","0.1266","0.1358","0.1289","0.1397","0.1566","0.184","0.2092","0.2492"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","4.0717","4.2061","2.8099","3.4231","2.8312","4.2289","1.3231","4.316","2.8373","1.7874","1.6458","2.6335","1.4962","2.7808","1.8503","3.2337","2.341","2.2832","0.6313","4.2523","23.8478","1.3159","4.0394","1.9127","2.7355","1.8396","0.175","3.9963","4.5839","3.1824","-2.125","0.0635","-4.9691","-8.5895","0.4112","4.216","2.9713","2.1113","19.9873"
"Payout Ratio","0.204","0.256","0.268","0.208","0.235","0.216","0.248","0.2","0.263","0.148","0.17","0.159","0.145","0.151","0.205","0.16","0.16","0.028","0.036","0.025","0.313","0.018","0.06","0.028","0.025","0.022","0.032","0.028","0.037","0.035","0.057","0.057","-0.076","-0.864","-0.097","0.38","0.314","0.257","0.048"
"Intangible Assets out of Total Assets","0.0414","0.0417","0.0407","0.042","0.0427","0.0439","0.0433","0.0446","0.045","0.0456","0.0454","0.0465","0.0469","0.0481","0.0471","0.048","0.0469","0.0463","0.0444","0.046","0.0467","0.0462","0.066","0.0679","0.0681","0.0682","0.0688","0.069","0.0688","0.0677","0.0801","0.0803","0.0778","0.0737","0.0721","0.0828","0.0849","0.0852","0.0852"
"Selling, General and Administrative Expense of Revenue","0.5832","0.6324","0.6319","0.5658","0.5845","0.5704","0.5995","0.5387","0.6005","0.5346","0.5727","0.525","0.505","0.5122","0.5572","0.4956","0.4912","0.4944","0.6025","0.4572","0.6347","0.4402","0.9019","0.4261","0.3967","0.4045","0.7407","0.4233","0.4021","0.4408","0.4964","0.4885","0.5377","0.7079","1.1928","0.5142","0.5053","0.4716","0.536"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
