"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","35.417","18.304","16.887","15.997","16.215","15.161","14.452","14.205","15.511","14.728","14.015","14.007","14.401","13.631","12.759","12.012","8.878","8.223","7.547","8.866","8.877","9.103","8.402","9.954","10.839","10.194","9.486","9.452","10.025","9.504","8.791","8.219","10.975","10.316","9.405","8.872","9.832","9.268","9.233"
"Tangible Book Value per Share","42.68","39.572","39.118","39.361","39.069","37.676","37.1","35.583","35.503","34.977","34.579","33.546","34.763","33.461","33.95","32.168","31.97","31.468","30.409","29.88","28.452","28.281","27.333","28.111","26.086","25.392","24.544","25.459","23.344","22.928","22.794","23.416","21.677","20.968","21.113","21.027","20.568","20.087","19.312"
"FCF per Share","2.149","0.489","-1.173","3.387","1.062","0.696","-1.058","2.674","1.196","1.036","-0.925","2.669","0.954","0.332","-0.385","2.042","0.79","0.698","0.165","2.155","0.9","0.589","-0.722","2.464","0.527","0.233","0.161","1.569","0.865","1.038","0.369","1.374","1.272","0.55","-0.152","1.601","0.88","0.41","-0.068"
"Interest Debt per Share","49.1719","16.8755","17.454","16.2741","19.2231","19.1361","18.8356","16.1212","18.2589","18.6309","18.8045","16.1115","18.6243","18.6273","19.0459","7.4165","8.5978","8.5022","8.0488","5.4859","6.8271","5.9658","5.5147","3.451","3.7971","3.4802","3.3676","3.5013","3.4202","3.3546","3.7619","3.3842","4.0949","3.9089","4.2758","3.2451","4.0986","3.6872","2.566"
"Cash per Share","3.6536","2.1467","2.362","2.6174","2.3615","2.2936","2.5419","1.9091","2.2256","2.1483","2.3684","2.4015","3.3284","3.0258","3.247","2.9027","2.6125","2.4743","2.4175","2.3592","1.848","2.0342","1.9118","3.4641","1.7425","1.5295","1.6902","2.7742","1.9263","1.5659","1.3113","1.4949","1.3797","1.2018","1.265","1.1027","1.1666","1.2291","1.0497"
"Debt to Equity Ratio","1.3884","0.922","1.0336","1.0173","1.1855","1.2622","1.3033","1.1349","1.1772","1.265","1.3417","1.1502","1.2933","1.3665","1.4928","0.6174","0.9684","1.0339","1.0665","0.6187","0.769","0.6554","0.6563","0.3467","0.3503","0.3414","0.355","0.3704","0.3412","0.353","0.428","0.4118","0.3731","0.3789","0.4546","0.3658","0.4169","0.3979","0.2779"
"Total Debt To Total Assets","0.4239","0.2839","0.2952","0.2746","0.3256","0.3319","0.3313","0.2913","0.3336","0.3434","0.3503","0.3068","0.3472","0.3563","0.363","0.185","0.2159","0.2163","0.2112","0.1466","0.1902","0.1673","0.1596","0.098","0.1142","0.107","0.1069","0.1084","0.1136","0.113","0.1271","0.1145","0.148","0.1482","0.1612","0.1243","0.1597","0.1506","0.1086"
"Interest Coverage","3.8701","10.32","11.15","19.5","16.4375","14.7647","11.6","17.625","16.8","16.6667","15.4","16.4375","15.9333","14.5","16.0833","36.5714","34.2857","25.625","32.3333","31.7143","33.8571","31.4286","33.3333","48.2","46.6","55.5","39.4","45.0","41.8","50.0","31.1667","32.0","44.0","81.0","56.5","41.1667","50.6","47.4","47.4"
"Current Ratio","1.703","1.59","1.49","1.488","1.382","1.356","1.338","1.565","1.442","1.411","1.391","1.458","1.444","1.424","1.379","1.562","1.522","1.466","1.458","1.935","1.854","1.897","1.995","1.932","1.913","1.842","1.935","1.852","1.776","1.733","1.671","1.738","1.676","1.412","1.344","1.344","1.274","1.34","1.397"
"Income Quality","2.3184","0.6071","-0.6966","2.4038","0.8318","0.7953","-0.6741","2.2174","1.1742","1.1401","-0.3653","2.4371","1.1013","0.5203","-0.1069","1.76","0.7927","0.7205","0.4773","2.25","0.8855","0.677","-0.4923","2.3486","0.7532","0.4667","0.3775","1.8067","1.1268","1.3243","0.6942","1.8806","1.6828","0.7073","0.1391","1.7033","1.0345","0.5833","0.2078"
"Payout Ratio","0.292","0.258","0.297","0.206","0.2","0.252","0.32","0.236","0.244","0.252","0.238","0.242","0.256","0.275","0.309","0.231","0.248","0.254","0.316","0.28","0.259","0.436","0.276","0.211","0.233","0.247","0.247","0.25","0.267","0.255","0.312","0.282","0.261","0.231","0.25","0.209","0.22","0.154","0.168"
"Intangible Assets out of Total Assets","0.6321","0.3342","0.3383","0.3359","0.3382","0.3465","0.3475","0.3569","0.3513","0.3553","0.3559","0.3612","0.352","0.3599","0.3529","0.1976","0.1973","0.1993","0.2021","0.2015","0.2075","0.207","0.2088","0.2019","0.2153","0.2195","0.2212","0.2117","0.2247","0.2279","0.2297","0.2075","0.2166","0.2052","0.2039","0.1947","0.1988","0.1793","0.1824"
"Selling, General and Administrative Expense of Revenue","0.1017","0.1177","0.1333","0.1087","0.1184","0.122","0.1394","0.1156","0.1214","0.1133","0.1117","0.117","0.1171","0.1176","0.1271","0.0993","0.1148","0.1114","0.1168","0.1279","0.1095","0.118","0.1133","0.1096","0.1101","0.1118","0.1123","0.1023","0.0985","0.1042","0.1061","0.1098","0.0996","0.1037","0.0992","0.1057","0.0997","0.1012","0.0998"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","2021000000.0","1328000000.0","1148000000.0","1144000000.0","999000000.0","917000000.0","871000000.0","1164000000.0","1036000000.0","962000000.0","925000000.0","1006000000.0","1079000000.0","1017000000.0","943000000.0","1113000000.0","1010000000.0","914000000.0","878000000.0","1347000000.0","1268000000.0","1304000000.0","1343000000.0","1394000000.0","1314000000.0","1212000000.0","1230000000.0","1237000000.0","1060000000.0","986000000.0","925000000.0","1003000000.0","965000000.0","675000000.0","591000000.0","598000000.0","491000000.0","576000000.0","625000000.0"
"Tangible Asset Value","6752000000.0","5180000000.0","5101000000.0","5113000000.0","5079000000.0","4928000000.0","4875000000.0","4697000000.0","4690000000.0","4624000000.0","4599000000.0","4512000000.0","4700000000.0","4534000000.0","4590000000.0","4333000000.0","4332000000.0","4286000000.0","4239000000.0","4243000000.0","4080000000.0","4129000000.0","4089000000.0","4301000000.0","4012000000.0","3918000000.0","3819000000.0","3992000000.0","3672000000.0","3602000000.0","3581000000.0","3681000000.0","3425000000.0","3315000000.0","3338000000.0","3337000000.0","3297000000.0","3236000000.0","3146000000.0"
