"","42945.0","42854.0","42763.0","42672.0","42581.0","42490.0","42392.0","42301.0","42210.0","42119.0","42028.0","41937.0","41846.0","41755.0","41664.0","41573.0","41482.0","41391.0","41300.0","41209.0","41118.0","41027.0","40936.0","40845.0","40754.0","40663.0","40572.0","40481.0","40390.0","40299.0","40201.0","40110.0","40019.0","39928.0","39837.0","39746.0","39655.0","39564.0","39473.0","39382.0"
"Book Value per Share","13.241","13.063","12.724","12.613","12.636","12.392","12.006","11.806","11.738","11.529","11.28","11.093","11.059","10.847","10.591","10.951","11.013","10.656","10.439","9.939","9.62","9.532","9.174","8.748","8.616","8.563","8.252","7.985","7.78","7.648","7.231","6.936","6.686","6.418","6.29","5.957","5.821","5.577","5.46","5.565"
"Tangible Book Value per Share","19.522","18.727","19.404","19.329","18.388","17.716","16.837","16.653","17.013","15.521","15.201","14.974","15.138","14.451","13.345","13.593","14.134","13.518","13.44","12.969","13.656","13.366","13.074","12.564","12.358","11.94","11.288","10.741","10.753","10.326","10.333","9.396","9.256","8.689","8.036","7.542","7.498","7.156","6.751","6.763"
"FCF per Share","0.76","0.628","0.703","0.489","0.712","0.548","0.713","0.494","0.753","0.526","0.512","0.432","0.654","0.55","0.495","0.463","0.699","0.53","0.578","0.42","0.533","0.499","0.525","0.383","0.471","0.49","0.413","0.24","0.514","0.467","0.39","0.23","0.307","0.308","0.509","0.401","0.537","0.456","0.357","0.459"
"Interest Debt per Share","6.7502","6.4875","6.9635","6.9204","5.6922","5.6826","4.8519","4.8467","4.9851","4.1168","4.0106","4.1025","4.0689","4.0622","3.2389","3.0171","3.0199","3.049","3.0634","3.08","3.0628","3.038","3.149","3.1244","3.0691","3.0408","2.7556","2.7307","2.6861","2.6603","2.6466","1.7813","1.7811","1.7773","1.171","1.1683","1.1679","1.1637","1.1399","1.0813"
"Cash per Share","2.3439","1.6216","2.1731","1.7074","1.5165","1.7677","1.2454","1.1335","1.3521","0.7585","0.9375","0.8582","1.3129","1.2135","1.0085","0.9769","1.4763","0.9612","1.2875","0.9004","1.8381","1.1991","1.5948","0.8801","1.3979","1.2046","0.8903","0.6785","0.8051","0.6912","0.8204","0.8278","0.9893","1.2677","0.7139","0.7137","0.8795","1.0357","0.8656","0.725"
"Debt to Equity Ratio","0.5098","0.4966","0.5473","0.5487","0.4505","0.4586","0.4041","0.4105","0.4247","0.3571","0.3556","0.3698","0.3679","0.3745","0.3058","0.2755","0.2742","0.2861","0.2935","0.3099","0.3184","0.3187","0.3433","0.3571","0.3562","0.3551","0.3339","0.342","0.3453","0.3478","0.366","0.2568","0.2664","0.2769","0.1862","0.1961","0.2007","0.2087","0.2088","0.1943"
"Total Debt To Total Assets","0.2597","0.2578","0.2766","0.2755","0.2355","0.241","0.2184","0.2203","0.2236","0.1978","0.1956","0.2017","0.1984","0.2051","0.1742","0.1611","0.1602","0.1674","0.169","0.1762","0.1779","0.1796","0.1894","0.1938","0.1931","0.1962","0.1859","0.1909","0.1884","0.1923","0.1989","0.1496","0.1511","0.1595","0.1116","0.1167","0.1174","0.1211","0.1239","0.1182"
"Interest Coverage","15.3243","15.5708","14.3468","15.9141","19.8556","18.6171","21.4074","20.7296","20.6846","22.8345","21.6691","17.9784","20.5634","19.0959","13.9044","19.1429","21.0769","21.3103","19.9116","18.777","17.2313","19.404","19.3267","16.1689","10.9122","15.3987","11.7453","15.6084","15.3077","14.2033","15.9051","20.6404","14.4474","17.0667","30.6508","41.7031","9.4201","0.0","0.0","0.0"
"Current Ratio","3.035","3.52","3.672","3.581","3.16","3.273","3.29","3.346","3.134","2.983","3.388","3.311","3.388","3.472","2.645","2.89","2.979","2.916","3.383","3.384","3.493","3.575","3.37","3.28","3.269","3.427","2.814","2.782","2.674","2.699","3.481","3.396","3.235","3.214","2.793","2.632","2.576","2.556","2.661","2.738"
