"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","33.51","32.856","34.618","33.665","32.492","32.995","33.637","33.375","33.036","32.797","33.213","32.938","32.731","32.383","31.881","31.637","31.708","31.014","30.341","29.183","29.666","29.294","29.225","28.143","28.224","27.841","27.639","26.939","26.396","25.753","25.53","24.965","24.812","24.337","24.03","23.501","23.055","22.487","21.753"
"Tangible Book Value per Share","40.276","39.822","40.133","39.677","38.242","37.334","36.576","37.453","32.796","31.957","31.733","30.744","29.666","29.404","29.794","26.0","24.509","24.152","24.233","22.587","22.905","22.922","21.671","21.62","21.231","20.169","19.587","19.238","19.06","18.451","18.44","18.232","17.334","17.103","17.389","15.207","14.157","14.198","14.147"
"FCF per Share","1.547","2.991","1.428","3.213","1.077","1.688","2.442","1.154","0.463","1.395","2.385","0.952","0.34","1.516","0.777","0.968","0.344","1.077","0.836","0.338","0.617","1.855","0.092","1.13","0.586","1.152","0.85","0.583","0.136","0.484","0.737","0.172","-0.05","0.21","0.745","0.18","0.067","0.238","0.545"
"Interest Debt per Share","26.265","26.634","25.875","25.0309","26.7626","25.1548","24.8318","24.4363","11.6948","11.3138","11.2773","11.2844","11.4773","11.3644","11.2622","8.3785","7.6414","7.8442","7.9194","7.9368","7.3654","7.0908","7.6912","8.0841","8.1801","7.1769","7.3732","8.1919","8.8013","8.2056","7.9764","8.3696","7.575","7.6742","8.1693","6.776","6.5481","6.8109","7.2796"
"Cash per Share","2.055","2.1524","3.1682","2.0496","1.0533","1.6291","2.2233","2.5943","1.1068","1.3457","2.1706","0.9784","1.3837","2.3441","3.4361","1.2356","0.9568","1.2589","1.108","0.9747","1.4264","1.7021","1.0853","1.2815","1.6443","1.5874","1.0462","0.7199","0.8146","0.7554","0.7752","0.7912","0.841","0.6879","0.9397","0.8933","0.43","0.5722","0.7338"
"Debt to Equity Ratio","0.7838","0.8106","0.7474","0.7435","0.8237","0.7624","0.7382","0.7322","0.354","0.345","0.3395","0.3426","0.3507","0.3509","0.3533","0.2648","0.241","0.2529","0.261","0.272","0.2483","0.2421","0.2632","0.2872","0.2898","0.2578","0.2668","0.3041","0.3334","0.3186","0.3124","0.3353","0.3053","0.3153","0.34","0.2883","0.284","0.3029","0.3347"
"Total Debt To Total Assets","0.2893","0.296","0.2915","0.2839","0.3088","0.2965","0.2971","0.2947","0.176","0.1726","0.1738","0.1774","0.1842","0.1841","0.1874","0.1505","0.1415","0.1463","0.1484","0.1549","0.1435","0.1395","0.1552","0.165","0.1693","0.1556","0.1618","0.1805","0.1944","0.1856","0.1813","0.1933","0.1808","0.1835","0.1928","0.1738","0.1721","0.1785","0.1915"
"Interest Coverage","8.5466","7.0476","12.376","10.7273","6.4571","7.6855","9.8804","8.9655","13.6265","15.9104","17.7099","11.2745","13.9747","12.8101","16.4148","17.6066","15.6429","13.4444","12.1063","13.5","12.9394","10.6364","13.0816","10.2258","10.0473","9.7687","12.8978","10.7445","11.1111","11.0078","14.303","12.7154","12.4766","9.662","11.4871","12.2751","12.4621","10.4668","10.7233"
"Current Ratio","1.095","1.079","1.183","1.157","1.108","1.199","1.258","1.435","1.295","1.3","1.366","1.391","1.452","1.509","1.642","1.42","1.566","1.495","1.425","1.423","1.469","1.483","1.555","1.533","1.622","1.603","1.599","1.485","1.507","1.391","1.426","1.37","1.314","1.399","1.225","1.515","1.544","1.423","1.314"
