"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","19.799","19.334","18.366","18.245","17.557","16.898","16.12","16.07","15.355","14.828","14.15","14.036","15.268","13.432","12.712","12.571","12.117","11.642","11.002","11.25","10.958","8.521","8.196","8.293","8.115","8.168","8.026","8.209","8.256","8.129","8.032","7.543","7.881","8.357","8.626","8.952","11.58","12.923","16.993"
"Tangible Book Value per Share","31.677","31.71","30.6","30.834","30.319","30.324","29.508","30.165","29.366","29.059","27.553","27.685","29.581","28.84","26.916","27.312","25.595","25.499","22.27","22.579","20.86","17.26","16.543","16.906","17.187","17.554","17.706","18.606","19.471","20.266","20.777","21.258","21.342","20.4","22.35","25.062","26.496","28.113","32.346"
"FCF per Share","-0.256","-0.382","-0.146","1.366","0.099","0.022","-0.057","1.513","0.922","-0.144","-0.377","-0.379","-0.999","-0.842","-0.079","-0.342","-0.966","-0.607","-2.043","-0.401","-0.355","-0.255","-0.013","0.287","-0.184","-0.235","0.142","0.373","0.476","0.637","0.677","0.124","0.386","0.502","2.543","1.521","1.219","1.427","1.738"
"Interest Debt per Share","7.792","8.6296","8.4645","8.7871","8.9002","9.9054","9.9342","10.3918","10.4224","10.7976","10.024","10.0575","10.5921","11.936","10.4861","10.8692","9.5688","10.1859","7.9036","7.8081","6.5813","5.544","5.3466","5.394","5.888","6.2766","6.3581","6.8228","7.4395","8.2705","9.0755","9.919","10.5946","9.1931","10.8059","11.8392","11.6127","11.8826","11.689"
"Cash per Share","1.3933","2.6895","3.0492","3.5261","2.4765","3.3413","3.4009","3.7993","2.2293","1.9378","1.481","1.8432","1.8296","3.187","2.7297","3.2685","2.1927","3.7501","1.8945","3.4357","2.9726","2.2738","2.4213","2.4736","2.7912","3.5264","3.9292","4.2819","4.561","5.3152","6.1909","6.3466","6.5137","4.7835","5.9725","4.3881","2.6948","1.7798","0.4052"
"Debt to Equity Ratio","0.3935","0.4463","0.4609","0.4816","0.5069","0.5862","0.6163","0.6466","0.6788","0.7282","0.7084","0.7165","0.6937","0.8886","0.8249","0.8646","0.7897","0.8749","0.7184","0.6941","0.6006","0.6506","0.6523","0.6505","0.7256","0.7684","0.7922","0.8311","0.9011","1.0174","1.13","1.315","1.3443","1.1","1.2528","1.3225","1.0028","0.9195","0.6879"
"Total Debt To Total Assets","0.2443","0.2703","0.2747","0.283","0.2913","0.3241","0.334","0.3418","0.3517","0.3683","0.3605","0.3599","0.3546","0.4121","0.3878","0.3962","0.3721","0.3976","0.353","0.344","0.3148","0.3203","0.3222","0.3181","0.3416","0.3566","0.3581","0.3657","0.3811","0.4071","0.4358","0.4655","0.4953","0.4495","0.4824","0.4715","0.4334","0.4182","0.3581"
"Interest Coverage","-184.2083","-65.7736","-87.3611","-31.0815","-81.3043","-84.8571","-49.2708","-13.6667","0.0","0.0","0.0","-13.0899","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.0769","-44.125","53.875","33.4444","-47.4286","97.3333","-307.0","-65.3333","-2.4","67.1429","61.5","86.6","-762.6667","-816.0","-342.3333","-86.5714","-1164.2","-630.8333","-1104.75","-155.0769"
"Income Quality","-0.173","-0.469","-0.1609","1.8661","0.247","0.1456","-0.0095","2.1423","1.6143","-0.2691","-0.9053","-0.5277","-2.7224","-1.9702","-0.0625","-0.6667","-2.0274","-1.6559","-9.902","-1.1808","-0.1201","-1.9138","-0.0614","2.6313","-1.8885","-2.5396","-2.4265","-13.8977","3.1545","18.2281","1.1458","-0.1669","-0.863","-1.4816","-13.0511","-0.5989","-0.9704","-0.3464","-4.33"
"Payout Ratio","0.13","0.164","0.182","0.105","0.119","0.151","0.186","0.092","0.1","0.15","0.154","0.128","0.125","0.1","0.0","0.0","0.0","0.0","0.905","0.129","0.016","0.308","0.444","0.333","0.444","0.444","-0.667","-1.333","0.25","1.0","0.067","-0.054","-0.089","-0.118","-0.2","-0.028","-0.056","-0.036","-0.366"
"Intangible Assets out of Total Assets","0.0067","0.0067","0.0068","0.0069","0.0077","0.0077","0.0078","0.0078","0.0089","0.0088","0.0092","0.0093","0.0098","0.0044","0.0046","0.0044","0.0047","0.0047","0.0053","0.0054","0.0024","0.0029","0.003","0.003","0.0029","0.0028","0.0028","0.0027","0.0026","0.0025","0.0024","0.0024","0.0023","0.0025","0.0022","0.002","0.0113","0.0106","0.0092"
