"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","23.454","22.503","23.496","26.101","26.043","23.211","22.959","21.32","20.747","19.58","19.551","22.045","22.693","22.46","22.601","20.216","19.569","17.778","17.762","20.321","19.767","19.835","19.301","20.96","21.038","20.203","19.279","19.42","18.207","18.27","18.471","18.702","19.217","14.173","14.616","20.599","21.398","20.963","20.067"
"Tangible Book Value per Share","50.335","49.535","52.634","52.865","53.658","47.724","47.201","47.209","46.573","45.776","45.59","45.33","43.955","43.854","44.021","44.682","44.656","44.054","44.372","43.989","43.642","44.484","44.381","42.302","43.475","43.827","45.102","42.0","40.984","43.519","42.091","43.711","46.413","43.175","44.625","49.416","51.347","49.107","47.005"
"FCF per Share","0.424","-0.263","0.817","0.183","1.108","-0.617","1.317","1.398","0.358","0.313","1.44","0.724","0.45","-0.081","1.134","0.704","2.727","0.086","0.461","0.41","0.762","-0.39","1.407","0.509","0.201","-0.509","2.445","0.432","0.8","-0.276","0.755","0.309","-0.18","-0.336","1.957","0.452","0.4","0.093","0.716"
"Interest Debt per Share","17.748","17.8545","19.3156","19.1406","19.2116","15.3921","15.5718","17.2943","17.3517","17.4245","17.1541","16.9483","15.1251","14.9614","15.0912","15.6805","15.8722","17.0062","17.8552","17.3975","17.6601","17.725","18.711","17.0121","17.4739","18.7749","21.0337","18.7332","19.0537","20.7624","20.1051","21.3686","23.1634","14.0091","12.8256","13.4101","12.2521","10.9681","10.2739"
"Cash per Share","5.1312","4.8632","5.9738","6.3215","6.5782","5.9933","7.7606","6.6792","5.4688","5.5367","4.9298","4.9417","3.2598","3.683","4.9912","4.44","4.1169","2.9752","3.6736","3.3129","3.5291","3.1079","4.7159","1.9144","1.9337","3.1259","6.2138","2.8573","2.9261","2.6157","2.5575","2.3286","2.5806","3.1943","3.029","2.4438","2.2704","1.7758","1.8359"
"Debt to Equity Ratio","0.7567","0.7934","0.8221","0.7333","0.7377","0.6632","0.6783","0.8112","0.8364","0.8899","0.8774","0.7688","0.6665","0.6661","0.6677","0.7756","0.8111","0.9566","1.0053","0.8561","0.8934","0.8936","0.9694","0.8117","0.8306","0.9293","1.091","0.9646","1.0465","1.1364","1.0884","1.1426","1.2053","0.9884","0.8775","0.651","0.5726","0.5232","0.512"
"Total Debt To Total Assets","0.2615","0.2656","0.2687","0.2641","0.2618","0.248","0.2533","0.2824","0.2848","0.2919","0.2864","0.2843","0.2593","0.2573","0.2584","0.2652","0.2684","0.2898","0.3015","0.2941","0.3001","0.2957","0.312","0.2928","0.2935","0.3126","0.3424","0.3202","0.332","0.3435","0.3389","0.3533","0.3592","0.2936","0.2607","0.2473","0.2184","0.204","0.1991"
"Interest Coverage","8.8584","6.0274","-0.0044","5.8864","17.0481","1.7164","18.2042","9.5923","7.625","9.9793","5.1908","6.6438","6.4174","6.9919","6.3664","4.447","12.5412","5.1858","-1.3548","3.566","4.1346","3.076","2.0151","4.5607","4.9848","3.2016","2.75","2.9641","3.1308","2.7394","1.3564","3.0492","-0.1276","0.9935","-7.4219","4.8","7.6358","9.5517","3.677"
"Current Ratio","1.931","1.868","1.877","1.958","2.043","1.997","2.154","1.882","1.94","1.969","2.094","2.129","2.044","2.05","2.086","2.085","2.008","1.949","2.061","1.834","1.837","1.776","1.718","1.688","1.826","1.77","1.736","1.571","1.504","1.43","1.491","1.543","1.652","1.6","1.225","1.391","1.483","1.502","1.499"
