"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","14.518","13.268","11.713","11.987","12.346","11.062","9.685","10.083","10.727","9.857","8.64","8.53","8.668","7.788","6.485","7.422","8.197","7.532","6.441","6.816","8.05","7.426","6.822","7.674","8.308","7.77","7.102","8.018","8.39","8.32","7.997","8.198","9.291","9.703","9.511","12.627","13.604","13.688","13.66"
"Tangible Book Value per Share","18.317","19.618","19.822","17.126","16.13","17.208","15.084","13.484","12.572","14.036","13.897","13.307","11.47","12.27","11.819","10.045","8.714","10.286","9.905","9.918","8.713","10.284","10.777","10.027","9.332","11.133","10.422","9.824","9.055","10.21","11.16","12.318","11.455","11.3","12.96","14.232","13.623","14.644","17.581"
"FCF per Share","0.463","1.235","3.597","0.266","-0.525","1.192","2.791","-0.029","-0.305","0.539","2.145","0.518","-0.073","0.852","2.126","-0.097","-0.911","0.691","1.112","-0.168","-0.868","0.734","1.298","-0.716","-0.924","0.703","1.006","-0.444","-0.485","0.704","0.631","-0.781","-1.04","0.588","0.576","-0.489","-1.013","0.83","1.029"
"Interest Debt per Share","3.2071","3.2353","3.2673","3.289","3.7375","3.7524","1.0932","1.3942","2.0354","2.0552","2.0354","1.8882","1.8722","1.865","1.8608","1.8506","1.8553","1.8571","1.8224","1.7373","1.7161","1.6284","1.6084","1.5982","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cash per Share","7.2751","8.3824","8.1947","5.8007","6.7841","8.1205","7.2765","5.1218","5.8199","6.7143","6.9646","5.1885","4.9649","5.7299","5.6505","3.539","3.4737","4.2924","3.8092","2.7563","2.8991","3.9063","3.741","2.8097","3.5438","4.7848","4.0753","3.2097","3.2226","3.8811","3.4277","3.216","3.7307","5.0186","4.296","4.0658","3.7704","4.8991","5.9619"
"Debt to Equity Ratio","0.2209","0.2438","0.279","0.2744","0.3027","0.3392","0.1129","0.1383","0.1897","0.2085","0.2356","0.2213","0.216","0.2395","0.2869","0.2493","0.2263","0.2466","0.2829","0.2549","0.2132","0.2193","0.2358","0.2083","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Total Debt To Total Assets","0.1344","0.1283","0.1283","0.1436","0.1703","0.1634","0.0526","0.0725","0.1106","0.103","0.1026","0.098","0.107","0.1015","0.1032","0.1132","0.1225","0.1103","0.1099","0.1058","0.1127","0.0982","0.0938","0.0973","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-62.3333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","3.009","2.153","1.737","2.078","2.407","1.801","1.32","1.444","1.639","1.354","1.223","1.48","1.641","1.313","1.099","1.264","1.537","1.213","1.039","1.14","1.46","1.231","1.171","1.385","1.922","1.515","1.352","1.585","1.912","1.642","1.487","1.687","2.521","2.746","2.034","2.5","3.491","3.022","2.801"
