"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","10.664","10.706","9.555","6.056","5.641","5.45","5.526","5.365","16.274","16.067","16.184","15.95","15.079","15.368","18.303","17.581","16.693","16.303","16.112","15.413","14.649","14.526","13.803","12.531","12.498","12.293","11.642","11.486","10.816","10.855","10.647","9.858","9.25","8.658","8.664","8.297","8.668","8.518","8.653"
"Tangible Book Value per Share","21.121","18.536","17.447","13.906","13.49","12.948","11.104","11.41","30.791","29.108","32.787","27.87","25.087","23.889","24.211","23.659","22.537","22.025","21.165","17.628","14.383","14.325","13.51","11.71","11.663","12.319","11.618","10.115","9.325","9.112","8.879","6.518","6.064","5.988","6.121","5.897","6.055","5.913","6.293"
"FCF per Share","0.48","0.413","0.439","0.548","0.538","0.417","0.766","0.367","0.785","0.868","1.172","1.101","1.017","0.759","1.551","0.785","0.507","0.493","0.841","0.613","0.318","0.224","0.533","0.407","0.419","0.425","0.5","0.443","0.396","0.204","0.462","0.436","0.467","0.45","0.41","0.421","0.47","0.474","0.491"
"Interest Debt per Share","10.6561","8.2789","8.1233","8.0204","7.9143","7.7964","5.6714","6.1479","6.2629","6.3018","6.2008","6.1159","4.2297","3.2351","3.1912","3.4988","3.495","3.4873","3.4896","3.4969","1.6127","1.6188","1.6089","1.9721","1.9628","1.3836","1.3651","0.0","0.0","0.0","0.0","0.1546","0.3104","0.3116","0.7817","0.0","0.0","0.0","0.1479"
"Cash per Share","2.4498","1.8273","1.6464","1.5568","1.7491","2.3175","1.5395","1.9727","4.0846","4.5008","3.3374","3.8567","3.0477","3.46","3.4783","4.0772","5.2853","5.0425","5.2641","5.6741","3.1278","3.2329","3.6112","2.3248","2.518","4.2132","4.2435","3.1942","3.0819","2.7612","3.0888","1.9775","1.9969","2.3813","2.4927","2.5934","2.8171","2.673","3.1206"
"Debt to Equity Ratio","0.9993","0.7733","0.8502","1.3244","1.4031","1.4304","1.0263","1.1459","0.3849","0.3922","0.3832","0.3834","0.2805","0.2105","0.1744","0.199","0.2094","0.2139","0.2166","0.2269","0.1101","0.1114","0.1166","0.1574","0.157","0.1125","0.1173","0.0","0.0","0.0","0.0","0.0157","0.0336","0.036","0.0902","0.0","0.0","0.0","0.0171"
"Total Debt To Total Assets","0.4172","0.3614","0.3757","0.4405","0.4529","0.4608","0.3801","0.4057","0.1669","0.1709","0.169","0.1708","0.1278","0.1018","0.0994","0.1131","0.1176","0.1188","0.1219","0.139","0.0737","0.0739","0.0765","0.1022","0.1025","0.078","0.0815","0.0","0.0","0.0","0.0","0.0115","0.0241","0.0264","0.0641","0.0","0.0","0.0","0.013"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-66.1197"
"Current Ratio","2.373","1.916","2.307","2.6","4.494","4.605","3.493","1.867","1.673","1.506","1.513","1.556","1.276","1.42","1.842","1.952","2.009","1.906","1.959","2.466","1.953","1.879","1.88","1.589","1.605","2.417","2.45","2.482","2.434","2.308","2.323","1.775","1.675","1.95","1.697","2.105","2.169","2.096","2.298"
"Income Quality","25.8889","0.5623","0.1044","1.9419","1.754","1.3299","2.1803","1.2727","13.9277","1.8387","1.6041","2.0327","2.2101","-0.5047","2.0153","1.9361","1.5797","1.384","1.8467","1.933","1.1098","0.9316","0.4967","1.6477","2.7633","1.4706","1.5275","1.7297","1.7622","1.0518","0.5687","2.1109","2.2323","1.872","1.8626","1.4087","1.604","1.6668","1.4933"
