"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","47.446","47.519","46.987","46.854","46.64","44.92","44.501","44.52","43.66","43.568","42.936","43.383","42.523","42.424","41.806","41.536","40.57","40.591","40.522","40.43","39.532","39.416","39.771","39.833","39.166","39.192","38.796","38.314","37.564","37.498","37.728","36.143","32.783","35.549","36.238","35.589","35.497","34.034","33.441"
"Tangible Book Value per Share","158.988","156.719","156.763","153.98","156.6","153.725","154.146","152.062","151.311","148.668","148.989","137.368","136.152","136.729","137.296","141.792","141.649","141.021","139.222","133.837","135.258","134.07","132.407","123.26","121.582","122.445","123.593","123.746","120.447","120.917","120.534","122.835","110.907","123.428","120.958","105.805","109.413","103.802","102.623"
"FCF per Share","0.956","-1.259","-3.746","-0.371","0.629","-1.059","0.777","-0.475","0.57","-0.113","1.256","-0.461","2.028","-1.417","2.731","-1.386","1.137","-2.434","1.226","-1.065","0.86","-0.266","1.536","0.386","2.193","-0.188","2.939","-1.173","0.975","-1.528","1.251","-1.694","0.889","0.591","-0.497","-6.497","6.036","0.206","0.243"
"Interest Debt per Share","53.6215","51.452","52.0145","48.2562","50.8225","48.2125","48.6669","45.8928","46.5347","43.3902","44.0628","43.0898","43.2264","42.5196","42.4206","41.6456","42.2636","40.9082","38.6104","37.9344","40.536","37.8047","36.4459","36.4493","36.481","38.1644","36.7619","40.7279","39.078","39.1862","38.2221","39.1603","34.4554","39.0617","36.9068","35.6918","34.7635","34.3975","34.2004"
"Cash per Share","2.757","0.3343","2.7276","0.4926","2.882","0.2077","3.2185","0.3107","2.4206","0.3995","2.3865","0.6999","2.6425","0.3482","2.3011","0.2526","2.5504","0.4507","1.3452","0.2356","4.7149","2.6255","2.2124","1.3588","1.6809","1.7671","1.1631","0.6996","0.6312","0.3092","0.9376","0.2726","1.0565","2.3768","0.2706","0.2526","6.4466","0.5327","0.7738"
"Debt to Equity Ratio","1.1302","1.0828","1.107","1.0299","1.0897","1.0733","1.0936","1.0308","1.0658","0.9959","1.0262","0.9932","1.0165","1.0023","1.0147","1.0026","1.0417","1.0078","0.9528","0.9383","1.0254","0.9591","0.9164","0.9151","0.9314","0.9738","0.9476","1.063","1.0403","1.045","1.0131","1.0835","1.051","1.0988","1.0185","1.0029","0.9793","1.0107","1.0227"
"Total Debt To Total Assets","0.3335","0.3246","0.328","0.3106","0.3216","0.3107","0.3127","0.2989","0.3046","0.289","0.2928","0.3103","0.3141","0.3077","0.3057","0.2907","0.2953","0.2871","0.2744","0.2803","0.2965","0.2789","0.2722","0.2922","0.2965","0.308","0.2939","0.3251","0.3205","0.3201","0.3132","0.3149","0.3107","0.3126","0.3013","0.3325","0.3133","0.3266","0.3284"
"Interest Coverage","2.5389","4.3978","2.6872","5.5562","3.0941","3.8047","2.3952","5.179","2.9753","4.5342","1.5833","5.6333","3.0933","5.1103","3.3403","5.8904","2.5695","1.8925","3.0537","5.6118","3.0915","3.76","3.1644","5.2431","2.6513","4.1776","3.2876","4.5541","2.9597","3.3557","2.7628","4.4452","2.5032","2.9236","2.5894","2.964","6.8594","4.7222","3.4264"
"Current Ratio","0.758","0.877","0.886","0.878","0.896","0.718","0.813","0.791","0.935","0.997","0.989","0.909","0.9","0.974","0.823","0.847","0.911","0.927","0.875","0.87","0.937","1.017","1.218","1.169","1.298","1.342","1.45","1.236","1.181","0.962","1.093","0.919","1.066","1.324","1.051","1.112","1.147","0.713","0.662"
"Income Quality","6.4343","1.1546","5.4515","1.4185","4.7716","1.6903","6.125","1.6659","4.2329","1.5108","13.1707","1.133","4.8726","0.6205","5.6154","0.8039","5.5174","-0.4375","4.6425","0.8886","3.9486","1.4513","5.1099","1.4935","7.4364","1.164","6.0386","0.5114","4.3388","0.0044","4.9356","0.0774","5.32","3.5833","3.6875","-6.8132","1.3225","1.8482","3.087"
"Payout Ratio","1.211","0.543","0.985","0.411","0.859","0.638","1.083","0.445","0.867","0.516","2.25","0.423","0.863","0.512","0.772","0.386","1.034","0.924","0.857","0.4","0.822","0.632","0.923","0.458","1.053","0.561","0.738","0.476","0.908","0.738","0.808","0.484","5.455","0.894","1.0","0.879","0.287","0.523","0.763"
"Intangible Assets out of Total Assets","0.0111","0.0114","0.0114","0.0091","0.0091","0.0095","0.0094","0.0096","0.0097","0.0098","0.0098","0.0106","0.0107","0.0107","0.0107","0.0103","0.0103","0.0103","0.0105","0.0109","0.0108","0.0109","0.011","0.0118","0.012","0.0119","0.0119","0.0122","0.0123","0.0123","0.0124","0.0123","0.0","0.0122","0.0124","0.0142","0.0138","0.0143","0.0145"
"Selling, General and Administrative Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-1049000000.0","-424000000.0","-437000000.0","-437000000.0","-404000000.0","-1251000000.0","-884000000.0","-924000000.0","-256000000.0","-9000000.0","-41000000.0","-354000000.0","-382000000.0","-92000000.0","-839000000.0","-669000000.0","-401000000.0","-309000000.0","-494000000.0","-484000000.0","-278000000.0","64000000.0","651000000.0","499000000.0","736000000.0","914000000.0","1139000000.0","743000000.0","483000000.0","-132000000.0","274000000.0","-285000000.0","143000000.0","917000000.0","164000000.0","338000000.0","582000000.0","-1075000000.0","-1301000000.0"
"Tangible Asset Value","48555000000.0","47815000000.0","47703000000.0","46887000000.0","46839000000.0","45149000000.0","45211000000.0","44539000000.0","44319000000.0","43545000000.0","43639000000.0","40235000000.0","39879000000.0","40048000000.0","40214000000.0","41531000000.0","41489000000.0","41305000000.0","40778000000.0","39201000000.0","39617000000.0","39269000000.0","38782000000.0","36103000000.0","35587000000.0","35754000000.0","35916000000.0","35020000000.0","33966000000.0","34026000000.0","33424000000.0","33792000000.0","30444000000.0","33807000000.0","33082000000.0","28906000000.0","29837000000.0","28255000000.0","27852000000.0"
"Net Current Asset Value","-31321000000.0","-30842000000.0","-30543000000.0","-29887000000.0","-29813000000.0","-29194000000.0","-28745000000.0","-28417000000.0","-28275000000.0","-27809000000.0","-27770000000.0","-24432000000.0","-24399000000.0","-24571000000.0","-24511000000.0","-26094000000.0","-25936000000.0","-25913000000.0","-25889000000.0","-24551000000.0","-24368000000.0","-24252000000.0","-23927000000.0","-21410000000.0","-21346000000.0","-21152000000.0","-21405000000.0","-20719000000.0","-20638000000.0","-20511000000.0","-20168000000.0","-21042000000.0","-19133000000.0","-20739000000.0","-20218000000.0","-16247000000.0","-16043000000.0","-16732000000.0","-16636000000.0"
"Invested Capital","59760000000.0","59970000000.0","58858000000.0","57840000000.0","57275000000.0","54812000000.0","53821000000.0","53461000000.0","53305000000.0","52730000000.0","52089000000.0","48778000000.0","47927000000.0","48824000000.0","47235000000.0","49282000000.0","48617000000.0","48912000000.0","47748000000.0","46519000000.0","45729000000.0","45733000000.0","45822000000.0","43422000000.0","43300000000.0","43706000000.0","43731000000.0","43201000000.0","42133000000.0","41448000000.0","40823000000.0","40978000000.0","37443000000.0","41024000000.0","39897000000.0","35574000000.0","33610000000.0","33729000000.0","33073000000.0"
"Average Receivables","1574000000.0","1755500000.0","1732000000.0","1754000000.0","1631500000.0","1890500000.0","1775000000.0","1873500000.0","1808000000.0","2140500000.0","1919500000.0","1944500000.0","1962000000.0","2100500000.0","1985500000.0","1970500000.0","1881500000.0","1833000000.0","1933000000.0","1969500000.0","1812500000.0","1809500000.0","1999500000.0","2082000000.0","1993500000.0","1959000000.0","2052000000.0","1982000000.0","1709000000.0","1858000000.0","1714000000.0","1653000000.0","1394000000.0","1556000000.0","1415000000.0","1515000000.0","1469000000.0","1450000000.0","1501500000.0"
"Average Payables","971000000.0","936000000.0","1077500000.0","1102500000.0","907000000.0","923000000.0","1021500000.0","1032000000.0","906000000.0","1008000000.0","1026000000.0","948500000.0","982000000.0","1072000000.0","1116000000.0","946500000.0","905000000.0","954500000.0","1085000000.0","1015000000.0","923000000.0","905500000.0","1053000000.0","1065000000.0","1063500000.0","972500000.0","1162000000.0","998000000.0","915000000.0","944500000.0","1167000000.0","980000000.0","1061500000.0","1011000000.0","1174000000.0","1067000000.0","1253000000.0","1062500000.0","1156500000.0"
"Average Inventory","339000000.0","327500000.0","344500000.0","336500000.0","321000000.0","337000000.0","361000000.0","340500000.0","321500000.0","317500000.0","367500000.0","355500000.0","321500000.0","286500000.0","346500000.0","361500000.0","329000000.0","297500000.0","343000000.0","365000000.0","323500000.0","285000000.0","352000000.0","369500000.0","319000000.0","274000000.0","351500000.0","381000000.0","321000000.0","318500000.0","435500000.0","488000000.0","377000000.0","326000000.0","460500000.0","521000000.0","410500000.0","309500000.0","435500000.0"
