"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","11.913","11.223","10.338","9.981","9.685","10.327","9.751","9.37","9.666","10.185","10.047","9.901","10.068","9.506","9.963","9.272","8.474","8.248","8.028","7.801","7.021","7.305","6.789","6.339","6.674","6.345","6.068","5.391","4.905","5.243","5.022","4.663","4.171","4.198","4.205","4.394","4.256","4.016","3.554"
"Tangible Book Value per Share","22.622","22.251","21.6","21.231","20.746","19.612","19.258","18.681","17.924","17.484","17.494","17.329","17.807","17.093","17.481","16.68","15.71","15.557","15.737","15.302","14.18","14.196","13.577","12.898","13.12","12.876","12.304","11.428","11.263","12.426","12.257","11.569","10.851","10.703","11.177","10.848","10.583","10.703","9.923"
"FCF per Share","0.978","0.872","2.319","-0.609","0.765","0.658","2.221","-0.22","0.968","0.79","1.993","0.128","0.518","0.677","1.6","-0.144","0.352","0.462","1.731","-0.569","0.278","0.436","1.411","-0.3","0.437","0.355","1.169","-0.246","0.124","0.313","1.408","-0.109","0.828","0.08","0.843","-0.697","0.165","0.172","1.068"
"Interest Debt per Share","9.7065","10.6158","10.9921","6.8231","6.0792","5.2162","5.3617","5.5468","4.3112","3.8383","3.6558","3.4914","3.5077","3.4891","3.4478","3.4569","3.4656","3.4845","3.5005","3.4933","3.3088","3.1167","3.1347","3.1104","3.0916","3.1052","3.1294","3.1396","3.0926","3.5798","3.5573","3.5813","3.615","3.9248","4.2093","3.6659","3.0816","3.2942","3.2907"
"Cash per Share","3.087","3.1035","3.4396","1.8122","2.4783","1.5072","2.3488","1.0966","2.71","3.4037","3.2663","3.6548","4.2546","3.9663","4.5017","3.4095","3.8559","3.7154","3.4166","2.7171","3.4619","3.0726","2.583","1.8425","3.1802","2.7802","2.6515","1.7628","2.8215","3.4879","3.1009","2.0315","2.1986","1.6284","1.8538","0.8418","1.0342","1.0572","0.8264"
"Debt to Equity Ratio","0.8148","0.9459","1.0633","0.6836","0.6277","0.5051","0.5499","0.592","0.446","0.3769","0.3639","0.3526","0.3484","0.3671","0.3461","0.3728","0.409","0.4224","0.436","0.4478","0.4713","0.4266","0.4617","0.4907","0.4633","0.4894","0.5158","0.5823","0.6305","0.6828","0.7084","0.768","0.8667","0.935","1.0009","0.8342","0.724","0.8203","0.9259"
"Total Debt To Total Assets","0.3088","0.3404","0.3597","0.2674","0.2431","0.2184","0.2309","0.2452","0.1975","0.1795","0.1768","0.1739","0.1707","0.1761","0.1707","0.1783","0.1881","0.1902","0.1891","0.1933","0.1954","0.1833","0.1912","0.198","0.1942","0.1981","0.2058","0.2191","0.2302","0.2447","0.2458","0.2577","0.2746","0.3016","0.311","0.2763","0.2388","0.2529","0.2686"
"Interest Coverage","7.4375","15.4643","28.1818","20.0952","7.7895","21.5","37.1176","26.7059","15.5467","26.2961","42.3067","23.5473","25.1382","22.92","44.9178","33.2148","7.1455","19.4444","50.1866","13.8596","5.1571","14.5241","36.494","26.875","3.9308","13.2089","32.0311","18.6025","0.9681","6.9176","19.804","11.3929","-1.0","3.3592","13.6224","6.1438","14.0286","9.9317","19.9781"
"Current Ratio","1.758","1.738","1.074","1.623","1.576","1.747","1.805","1.786","1.964","2.112","2.165","2.435","2.346","2.301","2.416","2.331","2.221","2.237","2.115","2.136","1.813","1.895","1.856","1.809","1.897","1.879","2.006","1.896","1.985","2.15","2.083","2.054","1.996","2.008","1.832","1.593","1.64","1.592","1.524"
