"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","28.053","28.042","28.005","27.705","30.573","30.346","28.778","28.821","28.89","28.453","28.64","28.716","28.519","28.786","29.188","29.456","28.701","29.994","23.481","19.881","19.605","19.484","19.152","19.388","19.516","18.023","17.801","16.796","17.282","17.894","18.318","18.124","18.061","18.298","18.081","19.072","18.885","18.874","18.814"
"Tangible Book Value per Share","56.258","56.214","56.684","58.333","58.157","58.425","63.519","63.284","63.503","63.424","63.395","63.662","63.722","63.499","63.433","66.178","65.292","70.497","55.406","55.315","55.679","55.157","56.281","53.263","55.65","54.884","56.598","56.901","55.366","55.296","55.954","57.705","58.347","58.884","60.947","60.542","59.654","59.568","58.308"
"FCF per Share","0.778","0.606","1.131","0.717","0.453","16.855","-0.008","0.588","0.537","0.782","0.932","0.664","0.123","0.093","0.162","2.439","2.235","9.051","1.418","0.741","0.195","0.626","-1.994","0.671","2.441","0.886","1.916","-0.925","-0.181","-1.064","0.269","1.524","1.023","0.571","0.086","1.223","-0.296","0.843","0.195"
"Interest Debt per Share","24.4373","24.3584","24.6053","23.2774","23.3148","23.5436","30.0174","29.7138","29.7899","29.9079","29.9562","30.3191","30.7144","30.3584","29.9081","32.5371","32.5969","36.0123","27.4733","30.8929","31.2941","31.5007","32.8412","29.6695","32.0659","33.0375","34.7894","35.9955","34.2269","33.8318","34.0881","35.9395","36.548","37.0244","38.6431","37.3649","36.6077","36.6965","35.3375"
"Cash per Share","0.1028","0.1149","0.2114","1.4176","1.3638","1.0095","0.1162","0.1028","0.2534","0.1361","0.1107","0.0871","0.211","0.1032","0.1487","2.7035","0.4242","0.1662","1.9732","0.1514","0.1485","0.735","1.297","0.1554","2.0524","1.045","1.5087","0.1544","0.17","0.2145","0.7015","2.3299","2.4459","1.5738","3.2834","1.9606","1.0148","1.8701","0.1889"
"Debt to Equity Ratio","0.8711","0.8686","0.8786","0.8402","0.7626","0.7758","1.0431","1.031","1.0312","1.0511","1.0459","1.0558","1.077","1.0546","1.0247","1.1046","1.1357","1.2007","1.17","1.5539","1.5962","1.6167","1.7148","1.5303","1.6431","1.8331","1.9544","2.143","1.9805","1.8907","1.8609","1.983","2.0235","2.0234","2.1372","1.9591","1.9384","1.9443","1.8783"
"Total Debt To Total Assets","0.4344","0.4333","0.4341","0.399","0.4009","0.403","0.4726","0.4695","0.4691","0.4716","0.4725","0.4763","0.482","0.4781","0.4715","0.4917","0.4992","0.5108","0.4959","0.5585","0.562","0.5711","0.5835","0.557","0.5762","0.6019","0.6147","0.6326","0.6182","0.6118","0.6092","0.6228","0.6264","0.6288","0.634","0.6172","0.6137","0.616","0.606"
"Interest Coverage","3.1514","2.3558","3.8945","3.4173","3.5355","17.8068","2.8518","2.7237","3.5864","2.6783","2.9775","2.8774","1.9777","1.7021","1.7418","4.1464","3.6449","6.2353","4.343","2.9993","1.9027","2.2327","1.9387","1.9616","5.6345","2.058","2.6839","1.2401","1.0863","1.4876","1.3389","2.1261","1.8685","1.6714","0.6924","2.4483","2.1035","2.1807","1.8899"
"Income Quality","1.3149","2.0514","1.0568","1.6587","1.2551","0.0561","1.4442","1.9825","1.1455","1.9453","1.4296","1.7888","2.531","4.3135","0.9262","0.9285","0.6929","0.1903","0.5036","1.2677","3.5122","1.6516","1.8827","2.1227","0.371","1.514","0.8896","8.1036","32.2603","2.9331","3.3246","1.2591","2.3105","1.8458","-4.5903","1.053","1.7583","1.2378","1.8548"
"Payout Ratio","0.943","1.282","0.667","6.14","0.833","0.864","1.0","1.019","0.696","1.122","0.833","0.82","1.613","2.273","2.241","0.381","0.444","0.133","0.642","0.466","1.03","0.723","1.727","0.971","0.181","0.81","0.708","3.778","17.0","1.889","2.267","0.708","1.371","1.714","-3.2","0.75","1.021","0.96","1.116"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
