"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","14.234","13.858","14.548","27.066","26.84","29.394","29.434","29.851","29.692","29.33","29.362","30.243","30.198","30.076","30.364","30.01","30.62","31.091","31.301","32.213","32.367","31.873","31.619","31.211","31.096","37.219","29.553","28.674","29.076","28.112","28.155","27.934","29.516","27.138","27.247","30.595","30.332","29.576","29.627"
"Tangible Book Value per Share","84.93","84.862","87.483","109.042","107.725","109.144","108.237","109.326","110.396","109.508","106.927","106.681","107.071","106.945","105.278","105.179","104.569","105.208","105.376","101.424","99.77","98.677","97.345","94.026","96.093","117.731","98.539","95.829","95.036","93.76","94.503","95.72","94.51","92.046","91.928","92.036","91.905","88.188","88.132"
"FCF per Share","0.07","0.445","0.261","1.073","0.066","-0.113","1.069","1.863","-0.05","-1.128","0.324","1.074","-0.652","-2.179","0.749","1.507","-0.342","-1.856","0.124","1.053","0.194","-2.225","0.402","1.799","-0.069","0.123","2.27","2.451","-0.451","-0.007","1.227","-0.23","0.497","-0.632","0.27","1.816","-3.112","-1.158","-0.056"
"Interest Debt per Share","51.4009","51.149","52.5688","53.4659","53.1765","52.7311","52.0687","52.4208","53.9573","53.3872","51.487","51.281","51.7952","50.8473","49.4019","49.244","49.4139","48.4689","45.8062","44.8537","44.6667","43.9569","41.2786","42.256","45.945","56.7427","48.5691","48.3355","48.9967","47.75","49.0888","50.3947","48.6184","46.8355","45.9638","44.6546","45.1283","40.0132","38.8977"
"Cash per Share","0.2568","0.3702","0.4639","1.2965","0.4682","0.3443","0.3104","0.2033","0.2227","0.2138","0.2009","0.2595","0.181","0.2601","0.5215","0.5311","0.1699","0.1603","0.4115","0.3597","0.2254","0.177","0.481","0.6962","1.1388","3.2193","3.352","2.0789","0.9243","1.0197","2.875","2.7566","2.9605","1.3125","1.7928","0.5954","0.2303","0.2303","0.4257"
"Debt to Equity Ratio","3.6111","3.691","3.6135","1.9754","1.9812","1.794","1.769","1.7561","1.8172","1.8202","1.7535","1.6956","1.7152","1.6906","1.627","1.6409","1.6138","1.5589","1.4634","1.3924","1.38","1.3791","1.3055","1.3539","1.4775","1.5246","1.6435","1.6857","1.6851","1.6986","1.7435","1.8041","1.6472","1.7258","1.6869","1.4595","1.4878","1.3529","1.3129"
"Total Debt To Total Assets","0.5267","0.5244","0.5227","0.4373","0.4397","0.4243","0.4218","0.4211","0.4296","0.4279","0.4217","0.4205","0.4233","0.4159","0.4095","0.4086","0.4118","0.4018","0.3792","0.3838","0.3877","0.3853","0.3663","0.3785","0.4035","0.4054","0.4156","0.4234","0.4322","0.426","0.435","0.4418","0.4308","0.4243","0.4168","0.4045","0.409","0.3753","0.3648"
"Interest Coverage","2.8759","3.0976","-29.3707","4.1329","-2.3841","3.8507","0.4231","4.007","2.9291","3.276","-0.2545","3.6327","2.2137","2.9887","2.7918","3.0895","1.0547","3.2287","0.8845","5.3","2.9927","4.252","2.4","5.2172","3.1094","2.7316","2.9816","3.4231","3.7778","3.2113","1.1076","2.5606","5.1068","2.9794","4.6205","5.7396","4.2074","4.7877","4.4121"
"Current Ratio","0.593","0.36","0.414","0.494","0.455","0.506","0.543","0.652","0.606","0.641","0.604","0.633","0.678","0.592","0.525","0.447","0.473","0.491","0.495","0.627","0.593","0.602","0.691","0.738","0.743","0.9","0.786","0.682","0.617","0.584","0.64","0.657","0.586","0.449","0.43","0.398","0.397","0.384","0.433"
"Income Quality","4.0057","3.8293","-0.1365","2.9474","-0.7548","1.9817","-5.0","3.3595","4.262","0.8694","-3.1895","3.3483","11.1563","-0.4423","6.9789","5.4037","-2.7012","0.2551","-7.0541","2.8565","2.5401","-1.3497","8.5102","2.2519","2.6601","9.4423","7.014","6.7877","1.3283","3.2645","9.625","1.547","1.5459","3.8824","2.3886","2.3609","-0.1521","1.3007","1.8246"
"Payout Ratio","0.923","0.783","-0.026","0.404","-0.141","0.462","-0.667","0.383","0.818","0.679","-0.493","0.456","2.25","0.72","1.618","1.058","-1.41","1.17","-1.571","0.539","1.222","0.753","2.619","0.433","1.146","3.667","1.17","0.932","0.632","1.078","1.571","0.714","0.404","1.41","0.505","0.355","0.64","0.604","0.568"
"Intangible Assets out of Total Assets","0.1297","0.13","0.1302","0.1081","0.1093","0.1218","0.1232","0.1219","0.1211","0.1222","0.1243","0.1253","0.1249","0.1253","0.1273","0.1274","0.1285","0.1279","0.1277","0.1322","0.1341","0.1351","0.1361","0.1577","0.1561","0.1588","0.1569","0.1606","0.1618","0.1636","0.1625","0.1608","0.1625","0.1661","0.1663","0.1663","0.1671","0.1729","0.1735"
"Selling, General and Administrative Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-1892000000.0","-4897000000.0","-4176000000.0","-3563000000.0","-3683000000.0","-3159000000.0","-2562000000.0","-2043000000.0","-2676000000.0","-2251000000.0","-2203000000.0","-2194000000.0","-1990000000.0","-3160000000.0","-3624000000.0","-4396000000.0","-3973000000.0","-3633000000.0","-3837000000.0","-2211000000.0","-2474000000.0","-2296000000.0","-1500000000.0","-1272000000.0","-1426000000.0","-516000000.0","-1006000000.0","-1581000000.0","-1931000000.0","-2032000000.0","-1868000000.0","-1966000000.0","-2578000000.0","-3691000000.0","-4045000000.0","-4243000000.0","-4302000000.0","-3799000000.0","-2918000000.0"
"Tangible Asset Value","37709000000.0","37594000000.0","37530000000.0","46343000000.0","45783000000.0","46277000000.0","45676000000.0","46245000000.0","46587000000.0","46103000000.0","45230000000.0","44806000000.0","44970000000.0","44810000000.0","44006000000.0","43965000000.0","43710000000.0","43977000000.0","44047000000.0","42294000000.0","41604000000.0","41247000000.0","40885000000.0","39303000000.0","40167000000.0","40264000000.0","29956000000.0","29132000000.0","28891000000.0","28503000000.0","28729000000.0","29099000000.0","28731000000.0","27982000000.0","27946000000.0","27979000000.0","27939000000.0","26809000000.0","26704000000.0"
