"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","29.973","30.116","29.608","29.635","29.222","28.991","31.704","23.317","22.92","22.479","23.128","22.799","22.844","22.688","22.786","22.986","22.762","22.817","22.712","22.68","22.761","22.834","21.94","21.931","22.155","21.79","21.423","18.846","22.513","22.375","35.148","20.168","19.532","18.738","18.613","19.009","19.509","19.742","19.433"
"Tangible Book Value per Share","16.27","14.396","16.964","14.663","15.142","14.997","16.027","12.394","12.537","12.769","12.28","12.466","13.334","12.576","11.303","12.934","10.169","9.675","9.388","9.421","10.317","9.107","8.588","8.147","8.465","8.22","8.412","6.973","6.263","6.24","10.301","8.675","8.9","9.054","9.3","9.632","13.544","13.871","13.681"
"FCF per Share","-0.206","0.912","1.255","1.132","0.883","0.741","1.102","0.6","0.335","0.459","1.335","0.431","0.56","0.461","0.993","0.794","0.255","0.46","0.885","0.632","0.575","0.479","0.992","0.643","0.643","0.626","0.665","0.745","0.259","0.572","0.602","0.651","0.616","0.619","0.77","0.568","0.045","0.404","0.557"
"Interest Debt per Share","29.4303","28.9787","31.848","33.089","34.2185","34.8673","38.9252","17.7514","17.9477","18.3618","17.8755","17.5666","17.2452","16.5924","15.473","16.6708","16.407","15.8179","14.9983","15.4993","16.616","16.7211","16.2274","16.1715","16.0883","16.6242","17.3707","15.3411","7.8643","8.1771","13.7618","11.2177","12.0447","12.95","13.2482","13.9776","22.1933","21.4875","21.9732"
"Cash per Share","2.3818","2.1494","2.076","2.1503","2.3538","2.1667","2.3197","1.5768","1.5886","1.7279","1.7383","2.1611","2.78","2.5615","1.8958","2.8064","2.2528","2.0296","1.7702","1.972","1.8237","1.6628","1.4018","1.2855","1.4074","1.274","1.1308","1.1722","1.3333","1.2427","1.8228","1.0759","1.1976","1.4316","1.1639","1.2584","1.0755","1.6862","1.826"
"Debt to Equity Ratio","0.9819","0.9622","1.0757","1.1166","1.171","1.2027","1.2278","0.7613","0.7831","0.8169","0.7729","0.7705","0.7549","0.7313","0.6791","0.7253","0.7208","0.6933","0.6604","0.6834","0.73","0.7323","0.7396","0.7374","0.7262","0.7629","0.8109","0.814","0.3493","0.3655","0.3915","0.5562","0.6167","0.6911","0.7118","0.7353","1.1376","1.0884","1.1307"
"Total Debt To Total Assets","0.3889","0.3789","0.4025","0.4128","0.4215","0.4274","0.4368","0.3503","0.3526","0.3584","0.349","0.3509","0.3409","0.3348","0.3201","0.3327","0.3459","0.336","0.3237","0.3326","0.3488","0.3484","0.3467","0.3504","0.3449","0.3551","0.3663","0.376","0.2151","0.2207","0.2324","0.2885","0.3081","0.3318","0.3352","0.3508","0.4369","0.4251","0.4365"
"Interest Coverage","3.9011","3.3333","3.7227","3.9388","3.0108","1.9247","2.9","8.6389","12.0","5.5676","6.6692","6.9045","7.1862","6.7348","4.0929","7.1808","3.9555","5.2418","4.5041","4.0704","4.8145","3.2694","3.4667","4.3207","3.7918","3.1338","3.2101","3.6043","8.5648","6.3369","-1.0907","4.2421","3.853","2.6058","2.5856","2.4801","2.7248","2.9021","4.294"
"Current Ratio","1.488","1.086","1.359","1.2","1.052","1.092","1.484","1.556","1.48","1.475","1.547","1.744","1.666","1.577","1.406","1.577","1.795","1.504","1.467","1.549","1.924","1.6","1.234","1.058","1.056","1.047","1.287","1.25","1.335","1.266","1.349","1.193","1.242","1.415","1.428","1.672","1.422","1.438","1.459"
"Income Quality","0.5606","3.2899","2.8164","2.8216","3.595","7.0","4.0849","1.4571","0.8833","2.0811","2.4483","1.3821","1.4346","1.4408","5.3463","1.8056","1.501","1.44","2.4045","2.9412","1.7191","2.3398","3.1829","2.022","2.132","2.8039","2.5805","3.0861","1.931","2.9017","-3.8794","2.5725","2.8412","4.9364","6.8646","3.5757","1.0376","2.3858","1.9107"
"Payout Ratio","0.725","0.69","0.413","0.456","0.703","1.529","0.743","0.419","0.306","0.667","0.348","0.453","0.381","0.444","0.88","0.367","0.611","0.44","0.426","0.667","0.392","0.667","0.128","0.111","0.122","0.161","0.143","0.152","0.208","0.2","-0.128","0.143","0.161","0.294","0.333","71.957","0.135","0.139","0.089"
"Intangible Assets out of Total Assets","0.785","0.8118","0.7856","0.8171","0.8135","0.8162","0.8202","0.7554","0.7537","0.7508","0.7602","0.751","0.7364","0.7462","0.7662","0.7419","0.7856","0.7945","0.7974","0.7978","0.7834","0.8103","0.8165","0.8235","0.8185","0.8244","0.8226","0.8291","0.8287","0.8316","0.826","0.7769","0.7723","0.7681","0.7647","0.7582","0.7334","0.7256","0.7282"
"Selling, General and Administrative Expense of Revenue","0.1581","0.1831","0.1881","0.1663","0.1831","0.2036","0.2043","0.1387","0.1449","0.1736","0.131","0.129","0.1231","0.1248","0.1881","0.1248","0.1538","0.1319","0.1265","0.1254","0.1327","0.1425","0.1041","0.1142","0.1198","0.1254","0.129","0.1016","0.1524","0.1273","0.2115","0.1079","0.1122","0.1208","0.093","0.0904","0.1356","0.1338","0.1064"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0796","0.0255","0.0229","0.0232","-0.0619"
"Working Capital","1333000000.0","271000000.0","1131000000.0","586000000.0","182000000.0","307000000.0","1145000000.0","870100000.0","805300000.0","835900000.0","874200000.0","1093200000.0","1133600000.0","983900000.0","679200000.0","1036600000.0","908400000.0","644700000.0","587400000.0","664600000.0","1036300000.0","663000000.0","317700000.0","88300000.0","90100000.0","74400000.0","372600000.0","296500000.0","406000000.0","334500000.0","431400000.0","171400000.0","213000000.0","333200000.0","349700000.0","484711000.0","515499000.0","560293000.0","575300000.0"
"Tangible Asset Value","5369000000.0","4722000000.0","5581000000.0","4780000000.0","4921000000.0","4859000000.0","4712000000.0","3470300000.0","3522800000.0","3613500000.0","3481500000.0","3529000000.0","3806900000.0","3621800000.0","3264300000.0","3740600000.0","2948100000.0","2815400000.0","2745000000.0","2754700000.0","3019900000.0","2638200000.0","2545600000.0","2451300000.0","2570100000.0","2478200000.0","2514400000.0","2316400000.0","2358000000.0","2329300000.0","2435200000.0","1657800000.0","1693700000.0","1720200000.0","1765100000.0","1825269000.0","2607311000.0","2697922000.0","2662000000.0"
"Net Current Asset Value","-10903000000.0","-11687000000.0","-11904000000.0","-12855000000.0","-13099000000.0","-13312000000.0","-13284000000.0","-5147300000.0","-5289600000.0","-5420600000.0","-5355900000.0","-5017700000.0","-4905800000.0","-4880200000.0","-4870900000.0","-4852900000.0","-4948600000.0","-4977600000.0","-4911900000.0","-4973900000.0","-4980300000.0","-5369700000.0","-5548000000.0","-5530400000.0","-5561600000.0","-5739100000.0","-5941700000.0","-5651300000.0","-3469600000.0","-3683300000.0","-3812900000.0","-2341300000.0","-2456600000.0","-2556500000.0","-2637200000.0","-2675890000.0","-4210037000.0","-4141052000.0","-4169700000.0"
"Invested Capital","11566000000.0","10384000000.0","12225000000.0","11929000000.0","11781000000.0","12132000000.0","13110000000.0","6433000000.0","6442400000.0","6559800000.0","6457500000.0","6420600000.0","6235400000.0","5958300000.0","5512700000.0","5952700000.0","5908500000.0","5549400000.0","5356100000.0","5499300000.0","6228300000.0","5896000000.0","5583600000.0","5414600000.0","5411700000.0","5536000000.0","6068100000.0","5836300000.0","3604700000.0","3659200000.0","4022900000.0","2710000000.0","2876000000.0","3105900000.0","3242200000.0","3514785000.0","5450381000.0","5269470000.0","5327900000.0"
"Average Receivables","1922500000.0","2058500000.0","1984500000.0","1701100000.0","1774400000.0","1869300000.0","1717600000.0","1418800000.0","1441400000.0","1421000000.0","1304600000.0","1338300000.0","1245200000.0","1201500000.0","1195100000.0","1174250000.0","1115100000.0","1087600000.0","1074850000.0","1027650000.0","1052800000.0","1042850000.0","1054550000.0","898350000.0","930900000.0","946000000.0","988200000.0","735500000.0","752800000.0","770650000.0","806100000.0","686600500.0","935417500.0","918946500.0","942900000.0","879634500.0","1084858000.0","1036182000.0","985349500.0"
"Average Payables","1713500000.0","1897500000.0","1797000000.0","1585200000.0","1598600000.0","1604200000.0","1532800000.0","1266300000.0","1401600000.0","1430600000.0","1333200000.0","1356000000.0","1129500000.0","1146250000.0","1095450000.0","1175550000.0","789350000.0","811950000.0","863650000.0","820100000.0","790500000.0","756350000.0","844650000.0","706600000.0","749300000.0","741450000.0","768300000.0","582300000.0","604500000.0","599950000.0","623300000.0","494644000.0","610478000.0","622690500.0","632050000.0","551847500.0","642762500.0","641849000.0","649973000.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
