"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","19.408","19.726","18.81","17.091","18.235","16.101","15.882","16.312","16.672","16.752","16.834","16.87","16.632","15.552","14.623","14.892","14.493","14.496","14.539","14.667","14.071","14.04","13.412","13.774","13.539","12.968","12.397","11.793","10.887","10.457","9.988","9.628","8.883","8.133","8.649","8.51","8.687","6.821","6.026"
"Tangible Book Value per Share","27.346","27.865","26.835","25.503","26.298","23.223","22.351","21.934","22.125","21.456","22.168","21.814","21.514","20.026","18.612","18.6","18.189","18.412","18.865","19.139","18.344","18.157","17.131","17.371","17.162","16.462","16.071","15.37","14.014","13.505","13.25","12.908","12.424","11.496","12.192","11.841","11.986","10.134","9.46"
"FCF per Share","-0.126","-0.186","1.168","0.357","0.253","-0.315","0.552","0.325","0.19","0.211","0.605","0.662","0.391","1.071","0.654","0.169","0.098","0.291","0.483","0.142","0.085","0.231","0.249","0.174","0.033","0.026","1.036","0.13","0.343","0.301","0.482","0.19","0.098","-0.008","-0.248","0.299","0.186","-0.109","0.216"
"Interest Debt per Share","4.2377","4.2302","4.1021","3.7835","3.9029","3.9871","3.7718","3.2759","3.1878","2.5729","2.5455","2.8528","2.8185","2.6521","2.2754","1.944","1.9619","1.9893","2.3399","2.2847","2.1468","2.0826","1.5214","1.4696","1.4485","1.4505","1.4838","1.5465","1.25","1.2458","1.2878","1.2994","1.2987","1.0701","1.0326","0.9791","0.9842","1.004","0.9754"
"Cash per Share","4.5136","5.2193","5.5623","4.6495","6.6434","3.1811","3.8039","4.0891","4.3486","3.9856","4.7338","4.728","4.4984","4.0312","3.6173","3.7291","3.7089","3.9222","4.1574","4.2652","4.181","4.5025","3.7065","4.0869","4.0493","4.0257","4.063","3.2204","2.7288","2.4845","2.3026","1.8847","1.9789","1.6624","1.8117","2.0102","2.2268","2.1014","2.2312"
"Debt to Equity Ratio","0.2184","0.2144","0.2181","0.2214","0.214","0.2476","0.2375","0.2008","0.1912","0.1536","0.1512","0.1691","0.1695","0.1705","0.1556","0.1305","0.1354","0.1372","0.1609","0.1558","0.1526","0.1483","0.1134","0.1067","0.107","0.1118","0.1197","0.1311","0.1148","0.1191","0.1289","0.135","0.1462","0.1316","0.1194","0.1151","0.1133","0.1472","0.1619"
"Total Debt To Total Assets","0.1413","0.1387","0.1399","0.1362","0.1369","0.1588","0.1564","0.139","0.1342","0.1116","0.1085","0.1235","0.1236","0.125","0.1156","0.0989","0.1019","0.1024","0.1177","0.1157","0.1133","0.111","0.0859","0.082","0.0817","0.0852","0.0898","0.0979","0.0866","0.0894","0.0941","0.0974","0.1029","0.0915","0.0834","0.0814","0.0808","0.0972","0.101"
"Interest Coverage","16.5789","1.5405","65.973","7.2683","43.575","-15.3902","5.3333","6.7368","19.3636","17.4333","42.7813","46.4516","12.3667","17.0333","21.25","20.6071","30.6071","15.6667","6.2","20.5938","24.9167","30.6","34.5294","41.0435","40.9091","32.9259","43.4643","28.5517","37.3077","36.1154","30.3333","29.125","31.35","-2.7143","22.0909","48.8","56.3333","62.2778","35.85"
"Current Ratio","3.002","3.601","3.289","3.696","4.39","2.8","2.939","4.707","4.88","4.875","4.405","4.683","4.531","4.698","5.092","5.785","5.669","5.164","4.957","4.789","4.957","5.503","4.138","4.611","4.479","4.771","4.461","4.347","4.434","4.736","3.587","3.189","3.284","2.788","2.251","2.537","2.885","2.867","2.107"
"Income Quality","0.6378","2.2209","0.9071","2.2958","0.2424","0.2174","4.3036","3.2877","1.1028","1.4767","1.1255","1.1016","4.3964","5.7708","3.0499","1.2034","0.6097","1.2611","8.0","1.1895","1.2025","1.6076","2.3002","1.1258","0.7232","0.766","2.0038","0.5452","0.736","0.788","1.2338","0.8274","0.6023","18.8571","1.5261","0.9935","0.2149","0.2867","1.0209"
"Payout Ratio","0.326","2.143","0.089","0.519","0.068","-0.389","0.667","0.75","0.316","0.4","0.135","0.13","0.909","0.476","0.333","0.357","0.233","0.273","0.818","0.194","0.226","0.226","0.219","0.096","0.104","0.104","0.075","0.1","0.085","0.096","0.104","0.122","0.128","5.0","0.294","0.102","0.024","0.076","0.109"
"Intangible Assets out of Total Assets","0.088","0.0863","0.0851","0.0821","0.0774","0.0752","0.0731","0.0695","0.0684","0.0697","0.0548","0.0554","0.0564","0.0564","0.0541","0.054","0.0549","0.0519","0.0509","0.031","0.0319","0.0324","0.0333","0.0313","0.0317","0.0332","0.0277","0.0271","0.0297","0.031","0.0317","0.0328","0.0153","0.0166","0.0158","0.0161","0.0158","0.0188","0.0202"
"Selling, General and Administrative Expense of Revenue","0.1518","0.1331","0.1486","0.1205","0.2114","0.148","0.2456","0.1351","0.1438","0.1395","0.0923","0.1028","0.1297","0.1734","0.1718","0.1282","0.1342","0.1428","0.1664","0.1418","0.1499","0.1422","0.1473","0.1041","0.1416","0.13","0.1609","0.1561","0.1437","0.1513","0.1593","0.1481","0.1513","0.2093","0.1651","0.1415","0.1537","0.1497","0.1625"
"Research and Development Expense of Revenue","0.0829","0.0842","0.0699","0.0746","0.0814","0.0928","0.0932","0.0797","0.0815","0.0834","0.0874","0.0783","0.0838","0.0865","0.0864","0.089","0.0903","0.0981","0.1016","0.0893","0.097","0.0958","0.0922","0.08","0.0858","0.0811","0.0941","0.0924","0.0841","0.0934","0.0946","0.0886","0.0975","0.1527","0.1411","0.1029","0.0963","0.0934","0.0967"
"Working Capital","5623000000.0","6297000000.0","6297000000.0","6185000000.0","8299000000.0","4614000000.0","5455000000.0","7287000000.0","7846000000.0","7343000000.0","7914000000.0","7875000000.0","7687000000.0","7567000000.0","7145000000.0","7550000000.0","7456000000.0","7474000000.0","7739000000.0","7529000000.0","7486000000.0","8020000000.0","6580000000.0","7255000000.0","7246000000.0","7143000000.0","6873000000.0","5669000000.0","5003000000.0","4774000000.0","3982000000.0","3327000000.0","3497000000.0","2847000000.0","2567000000.0","3164000000.0","3690000000.0","3477000000.0","2782000000.0"
"Tangible Asset Value","25380000000.0","25861000000.0","25526000000.0","26443000000.0","28280000000.0","25843000000.0","26441000000.0","26890000000.0","27845000000.0","27278000000.0","28416000000.0","28162000000.0","28150000000.0","27879000000.0","26936000000.0","27163000000.0","26830000000.0","27110000000.0","27879000000.0","28498000000.0","27838000000.0","27567000000.0","26922000000.0","27292000000.0","26942000000.0","25775000000.0","25117000000.0","24002000000.0","21872000000.0","21053000000.0","20619000000.0","20067000000.0","19305000000.0","17876000000.0","18951000000.0","18684000000.0","18877000000.0","15957000000.0","14907000000.0"
"Net Current Asset Value","-1319000000.0","-1208000000.0","-891000000.0","-2543000000.0","-234000000.0","-2780000000.0","-1395000000.0","425000000.0","1035000000.0","1287000000.0","1827000000.0","2048000000.0","1864000000.0","1788000000.0","1624000000.0","2212000000.0","2118000000.0","2064000000.0","1853000000.0","1992000000.0","2026000000.0","2679000000.0","1958000000.0","2782000000.0","2810000000.0","2732000000.0","2452000000.0","1160000000.0","961000000.0","678000000.0","-179000000.0","-882000000.0","-724000000.0","-1044000000.0","-1146000000.0","-292000000.0","197000000.0","-137000000.0","-379000000.0"
"Invested Capital","22316000000.0","22522000000.0","21386000000.0","23251000000.0","22885000000.0","24176000000.0","23589000000.0","23927000000.0","24362000000.0","23587000000.0","23287000000.0","23603000000.0","23775000000.0","23913000000.0","23248000000.0","22978000000.0","22656000000.0","22469000000.0","23237000000.0","23562000000.0","22859000000.0","22112000000.0","21391000000.0","21171000000.0","20776000000.0","19849000000.0","19100000000.0","19694000000.0","18107000000.0","17844000000.0","17501000000.0","17637000000.0","16717000000.0","15363000000.0","15688000000.0","14999000000.0","14962000000.0","12367000000.0","10416000000.0"
"Average Receivables","1592000000.0","1485500000.0","1426500000.0","1562000000.0","1544500000.0","1437500000.0","1436500000.0","1540000000.0","1595000000.0","1537500000.0","1377000000.0","1496500000.0","1470500000.0","1415500000.0","1277500000.0","1320000000.0","1226500000.0","1175500000.0","1192000000.0","1218500000.0","1204500000.0","1107500000.0","1027500000.0","1021500000.0","1095000000.0","983500000.0","863000000.0","844500000.0","864000000.0","726500000.0","632500000.0","831500000.0","874000000.0","790500000.0","684000000.0","851000000.0","875500000.0","884500000.0","787500000.0"
"Average Payables","1017000000.0","925500000.0","1006500000.0","921000000.0","934000000.0","854000000.0","965500000.0","812500000.0","853500000.0","802000000.0","884000000.0","678000000.0","749000000.0","747000000.0","775000000.0","770500000.0","825000000.0","804500000.0","878000000.0","919500000.0","990500000.0","898000000.0","887500000.0","829000000.0","785500000.0","704000000.0","674000000.0","595000000.0","510500000.0","500500000.0","698000000.0","714000000.0","666500000.0","621500000.0","727500000.0","726500000.0","652500000.0","626000000.0","620000000.0"
"Average Inventory","1558500000.0","1498500000.0","1428000000.0","1445000000.0","1443000000.0","1392000000.0","1353500000.0","1350500000.0","1382500000.0","1363000000.0","1296000000.0","1301000000.0","1310000000.0","1283000000.0","1160500000.0","1139000000.0","1119500000.0","1063000000.0","1013000000.0","971000000.0","958000000.0","898000000.0","856500000.0","825500000.0","762000000.0","722500000.0","658500000.0","665000000.0","627000000.0","667500000.0","688500000.0","686500000.0","686500000.0","711500000.0","714500000.0","710000000.0","701500000.0","688500000.0","635000000.0"
