"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40081.0","39990.0","39899.0","39780.0","39689.0","39598.0","39507.0","39416.0"
"Book Value per Share","213.433","210.708","209.33","206.226","200.31","196.999","196.217","195.33","194.183","187.794","183.912","180.626","176.801","168.799","167.988","167.492","164.926","160.191","157.25","150.014","145.274","140.282","138.514","135.253","136.033","134.053","142.961","139.795","136.753","133.597","132.971","124.271","122.181","133.123","139.902","106.639","104.837","98.496","101.086"
"Tangible Book Value per Share","2232.253","2167.44","2072.187","2083.303","2076.506","1991.915","1948.857","1961.156","1904.916","1909.239","1901.026","1907.647","1862.495","1954.044","1951.417","1992.281","1983.212","1989.676","1949.232","1932.425","1891.601","1861.652","1817.014","1831.164","1761.44","1726.395","1684.221","1679.008","1636.139","1612.689","1596.356","1677.477","1730.294","1938.186","1922.51","2529.871","2545.368","2747.241","2644.771"
"FCF per Share","-27.203","-10.0","7.307","-11.058","21.966","-6.59","16.253","1.857","-18.166","14.222","10.0","-19.862","0.747","-9.347","4.447","-7.587","23.648","-12.139","1.261","3.329","12.614","6.654","39.148","-20.579","19.808","3.019","-16.265","0.449","18.155","-14.201","47.149","13.139","24.256","6.173","22.715","10.774","19.743","-54.321","-13.762"
"Interest Debt per Share","1188.5373","1143.6994","1075.2999","1065.8239","1057.1104","1048.2804","1013.3326","1026.2762","1018.6021","1009.3095","1022.9187","1041.7431","1036.4306","1119.4537","1159.118","1170.3647","1173.7933","1176.5816","1154.3821","1157.4654","1119.2702","1147.0556","1134.9026","1132.0243","1101.4232","1097.2031","1062.4506","1059.4032","1021.9878","1014.0549","976.5344","1048.1993","1083.9914","1199.1349","1120.3564","1449.7428","1495.5743","1709.9792","1663.3585"
"Cash per Share","273.0559","298.2667","293.2089","364.7277","388.7775","311.833","211.4005","275.5969","213.0815","232.6318","242.8165","215.8946","211.5031","254.029","237.2169","257.5593","262.7388","216.5049","254.081","238.6726","230.5045","215.8125","236.7093","234.7086","201.0227","177.9412","172.8313","163.1948","164.9037","128.4194","140.944","125.4497","147.8117","219.9476","266.0378","260.9682","230.786","270.8202","307.5602"
"Debt to Equity Ratio","5.5687","5.4279","5.1369","5.1682","5.2774","5.3213","5.1643","5.2541","5.2456","5.3746","5.562","5.7674","5.8621","6.6319","6.9","6.9876","7.1171","7.3449","7.3411","7.7157","7.7045","8.1768","8.1934","8.3697","8.0967","8.1849","7.4318","7.5783","7.4733","7.5904","7.344","8.4348","8.872","9.0077","8.0081","13.5948","14.2657","17.3609","16.4548"
"Total Debt To Total Assets","0.5324","0.5277","0.5189","0.5116","0.5091","0.5263","0.52","0.5233","0.5347","0.5286","0.5381","0.5461","0.5565","0.5729","0.594","0.5874","0.5919","0.5913","0.5922","0.599","0.5917","0.6161","0.6246","0.6182","0.6253","0.6355","0.6308","0.631","0.6246","0.6288","0.6117","0.6249","0.6265","0.6187","0.5828","0.573","0.5876","0.6224","0.6289"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","-6.431","-1.556","1.7636","-1.8571","6.1714","-2.1183","13.4216","0.9549","-8.559","2.4512","2.2928","-4.1526","0.2709","-2.1657","1.0142","-2.359","6.0892","-2.6042","0.3","1.2277","6.972","1.8206","20.5225","23.8902","10.2234","2.0925","-3.8087","0.3892","21.9713","-2.2767","5.3317","2.4214","4.7178","1.9271","-4.7652","6.2815","4.4159","-15.7798","-1.6481"
"Payout Ratio","0.188","0.124","0.127","0.131","0.172","0.24","0.492","0.22","0.323","0.099","0.133","0.117","0.131","0.133","0.115","0.163","0.128","0.11","0.087","0.156","0.251","0.086","0.187","-0.417","0.179","0.211","0.086","0.11","0.427","0.058","0.038","0.061","0.066","0.135","-0.065","0.185","0.073","0.103","0.047"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.6819","0.6837","0.5842","0.6489","0.6895","0.7513","0.8526","0.7018","0.8097","0.6295","0.5825","0.6059","0.6908","0.6761","0.5955","0.6776","0.6929","0.6657","0.533","0.7248","0.7865","0.6803","0.7939","1.2035","0.7786","0.6603","0.598","0.6843","0.8362","0.5962","0.2328","0.6125","0.6345","0.7211","-1.2807","0.8411","0.6994","0.7429","0.5294"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","906518000000.0","894069000000.0","860165000000.0","879987000000.0","896843000000.0","878036000000.0","861395000000.0","880559000000.0","859879000000.0","865458000000.0","855842000000.0","868933000000.0","859914000000.0","915665000000.0","911507000000.0","923223000000.0","938456000000.0","959223000000.0","938555000000.0","949207000000.0","948638000000.0","950932000000.0","923225000000.0","948909000000.0","936910000000.0","933289000000.0","911332000000.0","908679000000.0","883188000000.0","880528000000.0","848942000000.0","882185000000.0","889544000000.0","925290000000.0","884547000000.0","1081773000000.0","1088145000000.0","1189006000000.0","1119796000000.0"
"Invested Capital","1278295000000.0","1242810000000.0","1184811000000.0","1176130000000.0","1185496000000.0","1202662000000.0","1215849000000.0","1217614000000.0","1223491000000.0","1217526000000.0","1207044000000.0","1245107000000.0","1240783000000.0","1321203000000.0","1342127000000.0","1346217000000.0","1369567000000.0","1422076000000.0","1372050000000.0","1400518000000.0","1394354000000.0","1426611000000.0","1379597000000.0","1413898000000.0","1415833000000.0","1430242000000.0","1392705000000.0","1393707000000.0","1345842000000.0","1364085000000.0","1293309000000.0","1367459000000.0","1370834000000.0","1392754000000.0","1277619000000.0","1590093000000.0","1628842000000.0","1811874000000.0","1693841000000.0"
