"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","12.167","12.474","11.854","19.638","19.87","19.805","20.091","21.945","22.155","22.334","23.371","23.481","23.481","23.534","23.498","23.367","23.309","23.325","23.55","22.158","22.611","22.255","22.14","22.423","22.515","24.394","24.517","19.599","20.728","19.523","19.732","20.609","21.141","20.247","20.59","20.628","19.287","17.133","17.45"
"Tangible Book Value per Share","29.208","30.8","32.649","44.159","44.03","44.23","44.861","46.69","47.136","44.624","45.392","44.171","42.916","42.394","42.919","42.565","42.965","42.312","43.219","41.198","41.483","42.352","41.754","41.883","42.572","45.98","40.101","38.518","40.316","40.128","40.348","41.88","42.77","44.68","44.909","46.933","49.514","54.905","55.156"
"FCF per Share","0.284","2.694","0.637","0.343","0.788","0.119","0.189","0.516","-1.906","0.185","0.676","0.065","0.06","0.507","0.729","0.495","0.629","0.311","-2.953","0.058","0.567","0.396","0.264","0.296","0.465","0.201","0.871","0.119","0.097","0.252","0.346","0.369","0.57","0.367","0.337","0.929","2.467","0.462","0.313"
"Interest Debt per Share","15.9722","17.3852","19.6362","23.353","23.0268","23.464","23.8011","24.0535","24.278","21.6689","21.1634","20.0843","18.9287","18.479","18.9803","18.8002","19.2841","18.8374","19.4079","18.4003","18.175","18.799","18.9431","18.8156","18.654","20.6852","14.3155","17.5141","18.2125","19.2993","19.3075","19.9552","20.7588","23.6218","23.5047","24.3296","28.0432","34.9257","34.8162"
"Cash per Share","0.9676","1.7615","0.2927","0.4376","0.6355","0.3024","0.8311","0.4019","0.3684","0.4002","0.5068","0.3007","0.1929","0.175","0.7402","0.2144","0.2157","0.1879","0.6373","0.3257","0.5052","0.9582","0.184","0.2277","0.7887","10.8318","3.306","0.2807","0.4615","0.2816","0.4958","0.6192","0.3083","0.3922","0.3667","0.6312","1.0598","0.8473","0.6151"
"Debt to Equity Ratio","1.3127","1.3938","1.6565","1.1892","1.1589","1.1847","1.1847","1.0961","1.0958","0.9702","0.9055","0.8553","0.8061","0.7852","0.8077","0.8046","0.8273","0.8076","0.8241","0.8304","0.8038","0.8447","0.8556","0.8391","0.8285","0.848","0.5839","0.8936","0.8787","0.9885","0.9785","0.9683","0.9819","1.1667","1.1415","1.1794","1.454","2.0385","1.9952"
"Total Debt To Total Assets","0.5308","0.548","0.5831","0.5154","0.5093","0.5158","0.516","0.5022","0.5018","0.475","0.4557","0.4442","0.4306","0.4255","0.4314","0.4304","0.4372","0.4331","0.4366","0.4372","0.4296","0.4349","0.444","0.4392","0.4283","0.4399","0.3485","0.4426","0.4386","0.4662","0.4632","0.4606","0.4675","0.5071","0.5011","0.4946","0.5394","0.6057","0.5998"
"Interest Coverage","1.2108","6.2467","1.1388","2.2645","3.4687","1.9817","-3.9338","1.9282","2.3514","-1.0611","2.6805","3.2261","3.0612","3.4434","3.6948","3.1722","2.9825","3.1217","3.2526","2.8916","2.9754","2.857","1.6902","2.6644","3.1783","1.6459","3.1548","1.3285","2.1777","2.0718","1.447","0.3651","2.3047","1.6491","1.2698","2.5989","3.8012","1.6063","1.7711"
"Income Quality","12.3663","0.4195","3.6875","2.1979","1.3216","2.3204","-0.5916","2.3788","2.2121","-0.9548","1.8639","1.1137","1.6508","0.9579","1.0431","1.1663","1.6771","0.9315","1.3083","1.2135","1.4746","1.064","2.2137","0.9263","1.269","2.3456","1.0996","9.0986","2.097","1.4627","4.77","-2.6647","1.45","2.7033","3.2365","1.5273","0.6243","2.9537","3.3934"
"Payout Ratio","9.25","0.378","3.083","1.781","0.877","2.28","-0.434","2.24","1.556","-1.077","1.279","1.019","1.146","0.982","0.828","1.039","1.128","1.039","0.926","1.087","1.042","1.163","3.429","1.171","0.873","2.824","1.068","9.4","1.741","1.808","5.111","-2.556","1.314","2.706","4.182","0.939","0.479","2.19","2.647"
