"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","47.06","45.947","44.748","48.341","47.178","45.659","43.07","43.881","43.405","45.319","43.385","42.062","43.203","44.302","42.285","41.597","41.705","47.916","51.448","52.733","49.813","48.324","48.203","51.143","48.678","47.217","45.69","47.058","42.537","45.314","46.657","49.02","41.309","24.501","30.852","41.704","53.975","56.839","61.296"
"Tangible Book Value per Share","613.282","607.314","590.005","590.368","577.343","572.243","556.261","556.725","572.769","585.488","566.687","550.704","565.309","610.35","620.435","622.92","645.629","679.167","682.681","706.853","687.219","703.125","676.635","683.732","710.648","722.875","713.758","704.159","705.015","802.84","800.504","886.032","886.589","857.643","953.805","1028.509","1065.294","1091.077","1144.702"
"FCF per Share","1.682","0.497","1.641","1.407","0.928","0.792","1.57","1.926","1.472","0.924","2.148","0.764","0.4","0.708","0.604","1.088","0.487","0.426","0.924","2.239","0.218","2.59","1.458","1.482","1.1","1.066","2.393","2.352","1.603","1.24","0.598","2.131","2.999","3.148","4.174","2.863","5.056","1.593","5.346"
"Interest Debt per Share","13.9835","13.8767","13.3745","13.7965","13.5338","13.419","13.0832","13.3206","13.157","13.8258","14.1582","13.6402","13.5826","14.2267","14.6371","14.0407","14.7733","14.7939","16.7015","16.787","16.7375","14.8329","14.6498","15.6385","15.6802","15.7218","15.7218","15.725","15.8792","19.5733","18.2162","19.736","21.6073","22.9988","24.737","22.4909","22.727","18.9707","16.9678"
"Cash per Share","0.9854","0.9103","2.335","2.0986","1.1719","1.2075","1.0937","1.603","1.174","1.1878","0.9247","0.9826","3.3623","2.879","3.194","3.125","3.8167","4.5465","5.5488","6.2068","5.3032","4.677","5.7904","5.8122","4.2625","5.2099","4.6385","3.8418","6.7507","5.2807","5.5941","6.7874","7.8611","5.77","6.0286","6.5194","6.6859","7.1638","6.4188"
"Debt to Equity Ratio","0.2971","0.302","0.2989","0.2854","0.2869","0.2939","0.3038","0.3036","0.3031","0.3051","0.3263","0.3243","0.3144","0.3211","0.3462","0.3375","0.3542","0.3087","0.3246","0.3183","0.336","0.3069","0.3039","0.3058","0.3221","0.333","0.3441","0.3342","0.3733","0.432","0.3904","0.4026","0.5231","0.9387","0.8018","0.5393","0.4211","0.3338","0.2768"
"Total Debt To Total Assets","0.0227","0.0228","0.0226","0.0233","0.0234","0.0234","0.0235","0.0239","0.0229","0.0236","0.0249","0.0247","0.024","0.0233","0.0235","0.0225","0.0228","0.0217","0.0244","0.0237","0.0243","0.021","0.0216","0.0228","0.022","0.0217","0.022","0.0223","0.0224","0.0243","0.0227","0.0222","0.0243","0.0267","0.0258","0.0217","0.0212","0.0173","0.0148"
"Interest Coverage","-0.716","6.8675","-2.3537","7.1395","3.0","5.4302","6.8605","5.4091","6.2809","7.6489","6.117","6.3333","-3.9681","7.7158","5.2917","4.9787","-0.86","-3.0935","0.367","0.7431","-1.3217","1.0081","1.2742","0.8906","-0.7969","5.2891","6.5469","8.1719","1.3409","5.4583","7.1429","-2.8729","1.1513","-15.8083","-9.0087","-48.7976","9.4675","2.3582","12.6567"
"Income Quality","-16.725","0.5952","-8.1605","1.3447","1.9352","1.2322","1.7957","2.3386","1.6029","0.9572","2.5942","0.9923","-0.3448","0.7051","1.0309","1.6894","-1.1684","-0.741","-8.2281","325.3333","-0.8571","13.2558","6.0748","13.2","22.2727","0.9654","1.8865","1.593","10.9538","-2.9756","0.4626","-2.6915","-54.2222","-0.8354","-1.5405","-0.2573","3.1197","3.9103","2.3933"
