"","42917.0","42826.0","42735.0","42637.0","42546.0","42455.0","42364.0","42273.0","42182.0","42091.0","42000.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41083.0","40992.0","40901.0","40810.0","40719.0","40628.0","40537.0","40446.0","40355.0","40264.0","40173.0","40082.0","39991.0","39900.0","39809.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","10.204","9.982","7.997","7.72","7.352","7.237","7.655","7.371","7.956","7.736","7.544","7.425","7.337","7.211","7.152","7.168","11.122","11.152","11.205","11.176","11.354","11.29","11.281","11.203","11.117","10.948","10.608","10.412","10.885","10.787","10.687","10.605","9.57","9.368","18.331","18.13","18.677","18.363","21.255"
"Tangible Book Value per Share","7.539","9.376","10.255","6.739","6.352","5.814","6.877","6.421","7.81","7.123","6.948","7.811","7.377","6.865","6.85","8.416","8.933","8.482","8.754","8.429","6.87","6.72","6.555","6.208","5.751","5.59","5.718","5.394","5.22","5.089","4.672","4.485","4.446","4.471","4.313","4.118","4.062","3.893","4.967"
"FCF per Share","-1.552","0.209","0.52","0.703","0.814","0.442","0.536","0.713","0.796","0.497","0.475","0.393","0.5","0.173","0.487","0.225","0.817","-0.037","0.498","0.228","0.196","0.312","0.369","0.403","0.401","0.258","0.471","0.411","0.407","0.318","0.449","0.544","0.539","0.418","0.417","0.408","0.27","0.301","0.152"
"Interest Debt per Share","11.5578","11.8066","11.9244","12.0534","12.3166","12.0567","12.8364","12.806","14.0204","14.0537","14.1916","15.3593","15.4257","15.5631","15.7743","17.7427","18.575","18.6621","18.908","19.0068","5.828","5.7864","5.7382","5.678","5.6171","5.5691","5.5278","5.5883","5.5191","5.6401","5.8661","6.039","7.8217","8.2489","8.4745","8.5953","6.7949","7.1587","9.3903"
"Cash per Share","2.0953","4.049","2.3182","1.9759","1.589","1.1197","2.2981","1.7467","3.1609","2.4082","1.9704","2.669","2.306","1.7859","1.6451","3.062","3.5794","2.8048","2.7054","2.1368","3.4224","3.2402","3.0208","2.7192","2.3468","2.1987","2.3456","1.993","1.8997","1.6709","1.3408","1.1442","0.9535","0.8605","0.6816","0.3878","0.4688","0.3832","0.873"
"Debt to Equity Ratio","1.1326","1.1828","1.491","1.5613","1.6753","1.6659","1.6768","1.7373","1.7622","1.8167","1.8811","2.0687","2.1023","2.1582","2.2054","2.4754","1.6701","1.6735","1.6875","1.7006","0.5133","0.5125","0.5087","0.5069","0.5053","0.5087","0.5211","0.5367","0.507","0.5229","0.5489","0.5694","0.8173","0.8806","0.4623","0.4741","0.3638","0.3898","0.4418"
"Total Debt To Total Assets","0.3998","0.38","0.4528","0.4572","0.4684","0.4674","0.473","0.4726","0.4849","0.4905","0.4896","0.5072","0.5077","0.511","0.507","0.5339","0.4843","0.4855","0.4811","0.4806","0.2559","0.2525","0.2493","0.2477","0.2477","0.2489","0.2533","0.2575","0.2495","0.2542","0.2664","0.2731","0.3509","0.3657","0.2668","0.2706","0.2223","0.2346","0.2578"
"Interest Coverage","2.9054","26.8027","3.8738","3.8364","3.5857","3.3504","3.926","1.4961","1.8912","2.2308","1.84","1.7352","1.4313","0.7831","0.9772","-15.7918","0.8958","0.0303","0.898","-0.7289","3.1493","-1.0556","2.3523","2.4308","2.5493","5.5708","1.4334","-4.8846","2.3594","1.9516","2.2921","2.3068","2.2902","-68.2036","2.6523","-1.3176","7.7298","5.5237","-10.1245"
"Current Ratio","0.847","0.864","1.811","1.471","1.339","1.299","1.516","1.342","1.37","1.356","2.199","2.527","2.396","2.296","1.953","1.492","1.391","1.591","1.07","2.363","2.755","2.511","2.809","2.636","2.586","2.849","2.717","2.487","2.662","2.245","2.598","2.486","2.679","2.589","2.367","2.035","2.288","2.397","3.007"
"Income Quality","-6.9193","0.1591","1.9607","2.4615","2.9175","2.1901","2.0188","9.2629","8.2415","3.3013","5.2568","4.6868","14.0177","-4.1071","-28.1698","-0.07","-22.3884","-0.2838","49.7194","-1.1008","3.043","-2.5105","5.3686","4.3131","3.3132","0.993","12.3694","-0.8671","4.2729","4.5898","4.8295","6.2285","5.0831","-0.0523","3.1514","-0.7064","1.467","1.7632","-0.1403"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.7392","0.6982","0.6106","0.7444","0.7585","0.7746","0.7466","0.763","0.7299","0.7514","0.7603","0.7421","0.7572","0.7746","0.7798","0.7467","0.7671","0.7793","0.7773","0.7869","0.6984","0.7068","0.7152","0.7291","0.7464","0.7502","0.738","0.7515","0.764","0.7707","0.7879","0.7972","0.8005","0.8018","0.8642","0.8704","0.8671","0.8725","0.8636"
"Selling, General and Administrative Expense of Revenue","0.2616","0.3086","0.2448","0.2355","0.2391","0.2354","0.2537","0.2362","0.2412","0.2186","0.2256","0.2299","0.2335","0.2253","0.2467","0.2005","0.229","0.2495","0.2357","0.3036","0.2547","0.2555","0.2622","0.2475","0.2499","0.2497","0.2505","0.232","0.2183","0.2361","0.2565","0.2151","0.2381","0.242","0.2325","0.2245","0.241","0.2505","0.2459"
"Research and Development Expense of Revenue","0.0775","0.0774","0.0741","0.086","0.082","0.0852","0.0744","0.0764","0.0807","0.0813","0.0797","0.0789","0.083","0.0798","0.0795","0.0783","0.0763","0.081","0.0816","0.0801","0.0558","0.0622","0.06","0.0618","0.065","0.0682","0.066","0.0636","0.0611","0.064","0.0597","0.0765","0.0581","0.0608","0.0554","0.0626","0.0488","0.0449","0.0542"
"Working Capital","-276800000.0","-323600000.0","1047400000.0","424700000.0","309200000.0","251600000.0","472300000.0","322400000.0","439600000.0","372100000.0","728800000.0","946200000.0","834500000.0","713877000.0","598682000.0","535800000.0","492422000.0","596942000.0","108483000.0","901665000.0","977877000.0","897209000.0","925552000.0","833450000.0","740658000.0","752141000.0","748985000.0","656969000.0","654632000.0","555058000.0","540610000.0","489335000.0","497653000.0","487936000.0","431367000.0","352703000.0","391531000.0","383700000.0","502479000.0"
"Tangible Asset Value","2117200000.0","2627400000.0","2857600000.0","1870500000.0","1764800000.0","1642400000.0","1945900000.0","1811100000.0","2196100000.0","1996900000.0","1936100000.0","2170300000.0","2042200000.0","1884984000.0","1867980000.0","2279600000.0","2406874000.0","2274781000.0","2331587000.0","2233079000.0","1817746000.0","1773459000.0","1722011000.0","1627643000.0","1505408000.0","1458039000.0","1484531000.0","1398039000.0","1352495000.0","1316342000.0","1205407000.0","1152699000.0","1140648000.0","1146170000.0","1105059000.0","1054485000.0","1038628000.0","993605000.0","1077201000.0"
"Net Current Asset Value","-3716400000.0","-3857700000.0","-2771100000.0","-3847700000.0","-4044000000.0","-4149300000.0","-4125500000.0","-4297500000.0","-4264600000.0","-4446900000.0","-4639100000.0","-4785900000.0","-4948300000.0","-5117732000.0","-5306838000.0","-5435100000.0","-5585224000.0","-5711394000.0","-5823943000.0","-5953063000.0","-1487559000.0","-1577742000.0","-1644999000.0","-1728985000.0","-1819134000.0","-1821886000.0","-1726363000.0","-1828404000.0","-1861944000.0","-1948952000.0","-2045815000.0","-2139624000.0","-2468974000.0","-2586604000.0","-2695949000.0","-2798785000.0","-2342804000.0","-2444860000.0","-2536007000.0"
