"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","39.144","40.044","41.338","42.202","43.513","44.273","44.786","45.442","46.646","46.471","45.578","45.191","44.565","43.532","42.638","41.715","40.355","39.263","37.693","36.286","33.963","33.544","32.148","30.541","30.106","29.357","27.948","26.532","25.586","26.438","26.104","25.44","24.605","23.605","22.674","21.531","20.723","19.388","18.491"
"Tangible Book Value per Share","59.042","60.224","61.672","63.164","64.569","65.039","66.112","66.338","68.144","68.225","62.993","62.1","61.894","60.248","59.829","58.81","58.232","56.547","56.054","54.132","51.565","50.669","49.054","46.735","45.914","44.367","42.116","40.309","38.524","39.784","40.119","39.454","38.699","37.789","35.991","34.101","32.321","30.381","29.551"
"FCF per Share","-0.324","-0.161","-0.106","0.931","0.776","1.095","1.796","1.088","1.202","0.253","0.216","0.016","-0.068","0.177","1.533","0.423","0.82","-0.627","1.157","0.605","-1.003","-0.313","-0.189","0.753","0.348","0.404","1.155","0.188","0.28","0.243","0.545","0.182","0.335","-0.376","0.04","-0.417","-0.067","-0.188","-0.376"
"Interest Debt per Share","4.5374","4.5353","4.545","4.551","4.9273","4.9259","4.9305","4.9336","5.3092","5.3148","0.7502","0.7312","1.8033","1.8107","1.8199","1.8305","2.208","2.2102","2.2198","2.2235","3.2705","3.2593","3.2654","3.2689","3.2722","3.2859","3.3009","3.4021","3.6882","4.1623","4.5939","4.9779","5.3118","5.3173","4.8932","4.7686","4.3744","4.6206","4.6856"
"Cash per Share","5.2756","6.8323","7.6277","8.3791","8.3948","8.3139","7.8648","6.7699","7.1612","6.6805","2.3305","3.3347","5.0855","5.432","5.4262","4.2043","4.5145","1.627","2.2778","0.9092","1.3911","3.0208","3.2454","3.402","2.6932","2.2596","1.6394","0.5956","0.735","1.1892","1.4497","0.9116","1.3441","1.2","1.3114","1.1549","0.9473","0.8734","0.942"
"Debt to Equity Ratio","0.1159","0.1133","0.1099","0.1078","0.1132","0.1113","0.1101","0.1086","0.1138","0.1144","0.0165","0.0162","0.0405","0.0416","0.0427","0.0439","0.0547","0.0563","0.0589","0.0613","0.0963","0.0972","0.1016","0.107","0.1087","0.1119","0.1181","0.1282","0.1441","0.1574","0.176","0.1957","0.2159","0.2253","0.2158","0.2215","0.2111","0.2383","0.2534"
"Total Debt To Total Assets","0.0756","0.0753","0.0737","0.072","0.0763","0.0757","0.0746","0.0744","0.0779","0.0779","0.0119","0.0118","0.0291","0.0301","0.0304","0.0311","0.0379","0.0391","0.0396","0.0411","0.0634","0.0643","0.0666","0.0699","0.0713","0.0741","0.0784","0.0844","0.0957","0.1046","0.1145","0.1262","0.1373","0.1407","0.136","0.1398","0.1353","0.1521","0.1586"
"Interest Coverage","-3.7737","-10.5611","-9.5373","-19.1513","-1.5219","7.5191","8.6751","-4.2803","22.2179","89.9496","560.9576","863.0165","206.6216","162.2829","221.2219","159.9683","194.9484","196.3457","189.3219","181.775","96.7545","85.5903","93.8176","46.0971","54.6545","29.8707","38.4163","30.5167","2.7975","19.6315","21.9088","19.5865","32.0041","74.2686","62.2224","44.1986","43.046","34.6975","35.7704"
"Current Ratio","3.744","4.525","5.042","4.764","4.708","3.933","3.612","4.133","4.334","4.01","2.704","2.518","2.889","3.168","2.906","2.782","2.958","3.06","2.293","2.349","2.279","2.591","2.34","2.295","3.37","3.725","3.354","2.806","2.603","3.009","1.812","1.732","1.65","1.645","1.989","2.235","2.247","2.578","2.341"
"Income Quality","-4.1183","-1.5505","-2.0155","-1.8973","-5.7968","8.6923","19.2598","-10.0383","3.6864","2.7566","1.9317","1.9887","1.3412","1.347","1.7603","1.474","1.0044","1.0087","2.1423","2.4654","1.1616","1.5586","1.6401","2.3152","2.228","2.157","2.2915","1.5564","-2.9287","2.2075","1.9343","3.1363","4.5993","2.2741","1.7524","1.1467","1.4384","1.493","1.0284"
"Payout Ratio","-3.333","-1.556","-2.121","-1.029","-3.45","3.632","4.6","-2.76","0.821","0.486","0.369","0.451","0.356","0.391","0.311","0.336","0.06","0.106","0.047","0.047","0.05","0.058","0.052","0.062","0.059","0.065","0.061","0.077","-0.143","0.114","0.083","0.102","0.1","0.051","0.036","0.042","0.033","0.041","0.038"
"Intangible Assets out of Total Assets","0.0159","0.0","0.0","0.0008","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.086","0.0827","0.093","0.1019","0.1269","0.0772","0.0657","0.0681","0.0442","0.0395","0.0309","0.035","0.0359","0.0385","0.0363","0.0346","0.037","0.0392","0.0384","0.0335","0.0312","0.0361","0.0357","0.0329","0.0374","0.0404","0.0334","0.0361","0.0416","0.0471","0.0521","0.0372","0.0369","0.0316","0.0243","0.0329","0.0282","0.0297","0.0304"
"Research and Development Expense of Revenue","0.0061","0.0067","0.0076","0.007","0.0074","0.0053","0.006","0.0068","0.005","0.0055","0.0039","0.0042","0.0041","0.0041","0.0048","0.0044","0.0052","0.0044","0.004","0.0056","0.0052","0.005","0.0044","0.0061","0.0068","0.006","0.0058","0.0069","0.0067","0.0077","0.0046","0.0085","0.0072","0.0042","0.0027","0.0031","0.001","0.0","0.0"
"Working Capital","916459000.0","1062470000.0","1158655000.0","1242566000.0","1211063000.0","1089049000.0","1067886000.0","1090997000.0","1155188000.0","1177224000.0","762536000.0","769840000.0","948310000.0","950496000.0","912553000.0","805938000.0","847636000.0","627439000.0","552199000.0","514064000.0","528988000.0","613636000.0","574579000.0","539584000.0","620700000.0","587839000.0","498604000.0","420166000.0","338272000.0","367437000.0","260149000.0","221026000.0","233282000.0","276298000.0","356268000.0","381690000.0","339291000.0","332989000.0","310083000.0"
"Tangible Asset Value","6410355000.0","6538184000.0","6677637000.0","6826382000.0","6976519000.0","7025105000.0","7130274000.0","7147242000.0","7335817000.0","7344150000.0","6801519000.0","6720998000.0","6693082000.0","6488281000.0","6410587000.0","6264827000.0","6197611000.0","6012452000.0","5934288000.0","5721085000.0","5518301000.0","5441072000.0","5257887000.0","5003891000.0","4911036000.0","4725712000.0","4465619000.0","4265370000.0","4073654000.0","4205639000.0","4235614000.0","4161024000.0","4079854000.0","3979816000.0","3788011000.0","3588045000.0","3378521000.0","3156118000.0","3058789000.0"
