"","42917.0","42826.0","42735.0","42637.0","42546.0","42455.0","42364.0","42273.0","42182.0","42091.0","42000.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40810.0","40719.0","40628.0","40537.0","40446.0","40355.0","40264.0","40173.0","40082.0","39991.0","39900.0","39809.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","18.55","17.672","17.593","17.895","18.094","17.861","17.533","17.737","17.238","16.42","16.839","16.757","16.844","16.604","16.368","15.814","15.141","14.877","15.092","14.701","14.062","14.317","13.705","14.067","14.176","13.501","13.31","13.101","12.59","12.241","12.149","11.332","11.802","10.997","9.992","10.95","10.766","10.568","9.99"
"Tangible Book Value per Share","27.183","26.546","25.759","25.123","25.075","24.962","24.341","23.261","21.87","20.918","21.612","21.347","21.065","20.576","20.995","18.752","18.07","18.125","18.887","17.429","16.311","16.252","15.966","15.939","16.105","15.653","14.997","15.306","14.678","14.827","14.867","14.157","14.019","13.127","13.884","13.576","12.972","12.594","12.372"
"FCF per Share","1.325","-0.443","1.504","0.987","1.618","-0.554","1.695","0.535","1.143","-0.253","1.512","0.902","1.062","-0.435","1.488","0.794","1.533","-0.288","1.047","0.383","0.957","-0.345","1.494","0.435","0.703","0.21","1.14","0.213","0.549","0.07","0.935","0.725","0.513","-0.225","1.034","0.199","0.645","-0.002","0.542"
"Interest Debt per Share","8.8898","8.8688","7.6773","6.6048","5.8622","6.7897","4.9223","4.8182","4.4289","4.9944","4.378","4.9076","4.4663","4.6677","2.8513","2.3807","2.7104","3.7654","3.0793","3.4836","3.0229","2.7268","2.487","2.3931","2.4422","2.8307","2.4357","3.3753","3.0487","3.0641","1.5056","1.5101","2.3504","2.3289","2.3569","2.4121","2.5355","2.5699","2.5625"
"Cash per Share","0.4732","0.3987","0.3929","0.4709","0.3901","0.439","0.4382","0.365","0.2834","0.3557","0.5355","0.4551","0.53","0.7612","1.1085","0.4082","0.4564","0.5225","0.7049","0.5107","0.4966","0.5771","0.8299","0.5921","0.8912","0.644","0.8298","1.1277","1.7836","1.9852","2.6482","1.7884","2.2174","1.7365","2.0839","1.6213","1.5149","1.1378","1.3896"
"Debt to Equity Ratio","0.4792","0.5018","0.4364","0.3691","0.324","0.3802","0.2807","0.2716","0.2569","0.3042","0.26","0.2929","0.2652","0.2811","0.1742","0.1505","0.179","0.2531","0.204","0.237","0.215","0.1905","0.1815","0.1701","0.1723","0.2097","0.183","0.2576","0.2421","0.2503","0.1239","0.1333","0.1991","0.2118","0.2359","0.2203","0.2355","0.2432","0.2565"
"Total Debt To Total Assets","0.1976","0.2044","0.1811","0.1611","0.144","0.1678","0.1245","0.1253","0.1205","0.14","0.1192","0.1346","0.1262","0.1346","0.0863","0.0773","0.0907","0.1254","0.1","0.1192","0.1106","0.1011","0.0931","0.09","0.0908","0.107","0.097","0.1324","0.1242","0.1287","0.0698","0.0724","0.1145","0.1204","0.1161","0.1223","0.1309","0.1353","0.1378"
"Interest Coverage","16.9338","16.6936","20.9854","26.4159","23.9486","24.472","27.4314","29.1034","28.2992","25.3612","29.0813","27.4455","31.2571","29.8555","37.9347","29.1208","34.3753","11.7904","21.2081","20.3596","19.8415","17.0461","21.3495","20.9944","18.9467","15.304","19.1814","17.6308","14.6566","11.248","26.8931","22.7144","18.5089","13.3963","12.347","12.022","11.5748","10.6591","11.1192"
"Current Ratio","1.553","1.484","1.446","1.611","1.715","1.646","1.505","1.736","1.775","1.812","1.637","1.717","1.886","1.783","1.828","1.822","1.958","2.081","1.836","1.734","1.816","2.025","1.787","1.929","1.899","1.832","1.857","1.746","2.156","2.189","2.047","2.021","1.975","1.918","1.745","1.83","2.095","2.106","1.965"
"Income Quality","1.6812","-0.3737","1.9","1.3318","2.3084","-0.6839","2.2956","0.841","1.7617","-0.2577","2.0608","1.5204","1.714","-0.5411","2.21","1.423","2.5343","-0.4159","1.7753","0.8117","1.8198","-0.6019","2.6528","0.9822","1.4607","0.6337","2.3513","0.5443","1.2775","0.3559","2.0791","1.4395","1.4523","-0.4946","3.5047","0.7406","1.9407","0.26","1.6092"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.3958","0.3883","0.3924","0.3872","0.3842","0.3831","0.3844","0.395","0.405","0.4137","0.4118","0.4144","0.405","0.4065","0.3648","0.3914","0.3956","0.3966","0.3868","0.4035","0.403","0.3976","0.4022","0.4004","0.4014","0.4084","0.4025","0.3995","0.4018","0.3773","0.3104","0.3211","0.3169","0.3213","0.3159","0.3114","0.3301","0.3367","0.3348"
"Selling, General and Administrative Expense of Revenue","0.2054","0.2152","0.2024","0.2036","0.209","0.2203","0.2056","0.2054","0.2131","0.2213","0.2078","0.2087","0.2094","0.222","0.2029","0.204","0.2065","0.2151","0.2002","0.2059","0.2118","0.2217","0.2091","0.2103","0.2164","0.2267","0.2139","0.2113","0.2204","0.2255","0.2182","0.2184","0.2202","0.2314","0.2133","0.2191","0.228","0.2401","0.2052"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","1233832000.0","1106825000.0","1022134000.0","1246300000.0","1366679000.0","1283499000.0","1084103000.0","1322892000.0","1268595000.0","1255415000.0","1133055000.0","1222403000.0","1368102000.0","1263645000.0","1284002000.0","1188975000.0","1258931000.0","1342846000.0","1231668000.0","1063221000.0","1047690000.0","1167874000.0","1000868000.0","1115780000.0","1112065000.0","1027308000.0","1001215000.0","960127000.0","1186348000.0","1205501000.0","1127279000.0","1050619000.0","1031678000.0","928431000.0","882401000.0","913564000.0","1009305000.0","983782000.0","908160000.0"
"Tangible Asset Value","4288080000.0","4186750000.0","4089476000.0","4064767000.0","4085093000.0","4072210000.0","4004176000.0","3854780000.0","3632664000.0","3482078000.0","3610948000.0","3590280000.0","3565019000.0","3490003000.0","3572498000.0","3212105000.0","3121363000.0","3141188000.0","3270769000.0","3048907000.0","2886772000.0","2867397000.0","2833424000.0","2876979000.0","2923556000.0","2836825000.0","2717209000.0","2765107000.0","2642731000.0","2654252000.0","2645145000.0","2514243000.0","2490199000.0","2329497000.0","2462165000.0","2414544000.0","2324273000.0","2247434000.0","2204370000.0"
"Net Current Asset Value","47973000.0","62421000.0","-9176000.0","126909000.0","168301000.0","116664000.0","155368000.0","275152000.0","233399000.0","172006000.0","155331000.0","168177000.0","271708000.0","298554000.0","495569000.0","543317000.0","492222000.0","422766000.0","421419000.0","349416000.0","345046000.0","443891000.0","368037000.0","476458000.0","464235000.0","340777000.0","338928000.0","310485000.0","402977000.0","434846000.0","707626000.0","450604000.0","615425000.0","529832000.0","472245000.0","455210000.0","390676000.0","370630000.0","314797000.0"
"Invested Capital","3385824000.0","3237180000.0","2955305000.0","3017527000.0","3065671000.0","3120738000.0","2594807000.0","2795466000.0","2684521000.0","2707408000.0","2472853000.0","2633307000.0","2687302000.0","2539340000.0","2318401000.0","2103542000.0","2196380000.0","2460637000.0","2209259000.0","2119997000.0","2050422000.0","2107538000.0","1855857000.0","2000710000.0","1968168000.0","1998923000.0","1840078000.0","1883489000.0","1844309000.0","1833514000.0","1365602000.0","1435677000.0","1456208000.0","1422744000.0","1326919000.0","1454500000.0","1585324000.0","1613463000.0","1472711000.0"
"Average Receivables","1352642500.0","1318891000.0","1241977500.0","1295620000.0","1230302500.0","1187111500.0","1178666500.0","1201403500.0","1176261500.0","1107887500.0","1091366500.0","1141221500.0","1114028500.0","1072332500.0","1035205000.0","1069400500.0","1006103000.0","992816500.0","951721000.0","1009294500.0","967682500.0","946211000.0","887016000.0","953043000.0","896495000.0","868998000.0","805590500.0","843655500.0","780456500.0","740118500.0","729712000.0","765794500.0","731247500.0","689856000.0","721167000.0","765947000.0","684364000.0","659973000.0","659163500.0"
"Average Payables","882170500.0","826453000.0","991523500.0","902437500.0","830207500.0","763049500.0","933397000.0","847926500.0","767373500.0","701445000.0","842745500.0","772986500.0","719301500.0","647471500.0","806076500.0","715773000.0","651270000.0","590184500.0","704563000.0","651558500.0","612860500.0","575407500.0","605748500.0","563875000.0","555016500.0","531386500.0","555554000.0","519868000.0","469913500.0","454682500.0","537926000.0","509558500.0","444689500.0","427378500.0","514391000.0","513242500.0","407415500.0","386091000.0","444035500.0"
"Average Inventory","1524833000.0","1562176000.0","1572853500.0","1446617500.0","1398363500.0","1399097000.0","1418876500.0","1354310500.0","1285727500.0","1272349000.0","1289099500.0","1203402500.0","1178123500.0","1191458000.0","1226955000.0","1096980500.0","1038004000.0","1055920000.0","1075678000.0","997270500.0","951859000.0","953069000.0","909027500.0","886614000.0","862162500.0","868228000.0","822702500.0","809955500.0","767779500.0","773531000.0","753426500.0","750942000.0","715756000.0","721357000.0","699220000.0","704035500.0","636515000.0","642501500.0","625444500.0"
