"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","19.702","19.447","19.235","17.83","16.433","15.519","14.709","13.633","13.931","12.287","11.983","14.373","17.384","16.042","21.25","18.221","16.129","17.143","16.767","18.942","17.817","17.86","17.18","18.754","19.196","18.549","18.582","17.717","16.47","16.933","17.171","13.937","11.598","10.118","9.994","20.242","20.538","20.604","19.941"
"Tangible Book Value per Share","85.356","81.443","80.733","77.908","79.889","83.353","77.34","77.529","80.684","80.129","84.422","85.192","89.197","84.751","85.001","76.047","75.292","75.992","76.615","73.816","71.749","72.675","74.072","69.167","70.269","68.915","68.396","64.869","62.842","62.789","65.476","62.101","62.09","60.368","65.624","69.144","71.23","71.776","72.87"
"FCF per Share","2.907","3.328","2.88","3.523","2.59","4.741","4.395","3.386","3.031","2.719","5.133","2.92","2.671","2.356","5.099","2.492","2.031","2.957","4.769","3.05","2.748","2.838","5.151","3.103","2.761","2.237","4.589","2.823","2.188","2.715","4.019","3.2","2.924","2.697","4.149","1.921","2.24","2.144","2.61"
"Interest Debt per Share","48.8534","45.3958","44.4533","44.5314","46.5062","47.3713","41.1406","40.6728","39.3648","39.2946","41.1171","46.0748","46.4886","42.4845","37.0315","33.1653","30.9946","29.9874","29.5768","29.6052","28.2289","27.6534","26.7189","25.3744","24.712","24.7562","23.0791","21.873","20.8431","20.2267","19.7978","19.2954","22.1492","23.0425","25.1787","25.313","24.8743","25.2356","24.7062"
"Cash per Share","12.5104","10.7131","8.2501","9.4748","10.4627","14.9257","7.9272","9.7221","8.5442","8.9019","8.5582","9.64","9.7189","9.0891","9.9912","9.2327","8.682","9.5044","9.2565","10.4722","9.4552","10.2105","10.1706","9.5095","9.7228","10.4426","8.5958","7.8545","8.0752","9.585","9.2412","7.2218","8.8063","9.1453","9.4562","7.1754","6.9946","7.7358","10.4998"
"Debt to Equity Ratio","2.4797","2.3343","2.3111","2.4975","2.83","3.0524","2.7969","2.9833","2.8258","3.198","3.4312","3.2057","2.6742","2.6483","1.7426","1.8202","1.9217","1.7493","1.764","1.5629","1.5844","1.5484","1.5553","1.353","1.2874","1.3346","1.242","1.2346","1.2655","1.1945","1.153","1.3844","1.9098","2.2775","2.5195","1.2505","1.2112","1.2248","1.239"
"Total Debt To Total Assets","0.379","0.3641","0.359","0.3675","0.3772","0.3833","0.361","0.365","0.343","0.3466","0.3472","0.3843","0.3738","0.3586","0.3147","0.307","0.2963","0.2848","0.2791","0.2908","0.2849","0.2779","0.269","0.2738","0.2624","0.2679","0.2523","0.2562","0.2577","0.2502","0.2394","0.2457","0.2834","0.3039","0.3097","0.2969","0.2831","0.2888","0.2929"
"Interest Coverage","17.6122","11.5259","32.7261","21.6456","19.2515","8.0136","40.8516","31.8462","37.0609","27.9722","61.359","8.3333","39.4779","29.9238","63.5575","51.2371","43.2857","39.3617","75.0734","41.9274","45.1111","35.8636","65.3717","47.9813","51.3608","42.043","69.8614","50.2316","51.8444","43.8659","79.7778","53.0595","43.198","23.9559","31.4136","25.4969","27.3034","18.9663","26.5302"
"Current Ratio","1.252","1.176","1.21","1.203","1.296","1.374","1.24","1.248","1.272","1.3","1.197","1.115","1.135","1.168","1.279","1.212","1.168","1.162","1.133","1.219","1.218","1.278","1.209","1.259","1.178","1.177","1.186","1.255","1.283","1.322","1.359","1.318","1.22","1.176","1.155","0.987","1.036","1.029","1.2"
