"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41274.0","",""
"Book Value per Share","26.9","26.524","26.415","26.071","25.701","25.291","26.49","22.436","22.36","21.959","22.27","22.13","23.031","22.461","26.557","9.984","",""
"Tangible Book Value per Share","98.511","95.631","99.65","90.635","88.546","94.834","98.658","90.356","84.454","89.643","93.584","89.581","90.334","81.79","98.731","94.46","",""
"FCF per Share","0.682","0.918","0.891","0.518","0.681","0.909","0.601","0.116","0.413","0.723","0.814","0.033","0.555","0.824","0.211","0.345","0.564","0.345"
"Interest Debt per Share","9.978","10.5185","10.6958","10.5966","10.9748","11.3714","13.0733","6.3636","5.8793","7.4875","7.7063","7.2561","6.8365","8.4887","10.8774","3.1014","",""
"Cash per Share","1.9746","1.8569","1.8252","1.8269","1.8689","1.8908","2.297","1.9","1.8721","1.875","1.7676","1.6702","4.1304","2.1791","2.6624","4.6548","",""
"Debt to Equity Ratio","0.3709","0.3966","0.4049","0.4065","0.427","0.4496","0.4935","0.2836","0.2629","0.341","0.346","0.3279","0.2968","0.3779","0.4096","0.3106","",""
"Total Debt To Total Assets","0.0734","0.0786","0.0776","0.0826","0.0868","0.0855","0.0937","0.0531","0.0517","0.0631","0.0627","0.0615","0.0574","0.074","0.0785","0.0304","",""
"Interest Coverage","13.3778","16.8889","12.8864","10.9318","12.5909","12.5652","13.9333","20.9524","18.0435","19.8261","18.6522","14.4545","14.8696","14.4074","-4.6667","22.0","22.3","19.9"
"Current Ratio","0.993","0.983","0.975","0.99","0.984","0.981","0.974","0.992","0.99","0.994","0.996","1.001","1.01","0.997","0.999","1.047","",""
"Income Quality","1.1651","1.2171","1.821","1.1773","1.4174","1.6179","1.1378","0.3922","1.0777","1.4762","1.8785","0.3981","1.646","1.9885","-0.983","1.2766","1.5065","1.1111"
"Payout Ratio","0.282","0.238","0.288","0.293","0.283","0.274","0.227","0.273","0.294","0.232","0.255","0.361","0.333","0.283","-0.245","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.2752","0.2851","0.277","0.2932","0.2996","0.2872","0.2928","0.2454","0.2572","0.2443","0.239","0.2411","0.2415","0.2866","0.2874","0.0735","",""
"Selling, General and Administrative Expense of Revenue","0.2858","0.305","0.2965","0.2987","0.2872","0.2748","0.2945","0.2376","0.25","0.2534","0.2462","0.3287","0.3366","0.3067","0.4746","0.2988","0.3065","0.3409"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-371000000.0","-933000000.0","-1484000000.0","-510000000.0","-808000000.0","-1082000000.0","-1430000000.0","-406000000.0","-447000000.0","-312000000.0","-204000000.0","41000000.0","521000000.0","-149000000.0","-52000000.0","1504000000.0","",""
"Tangible Asset Value","58220000000.0","56805000000.0","59292000000.0","53928000000.0","52685000000.0","56426000000.0","55150000000.0","49696000000.0","46872000000.0","50200000000.0","51939000000.0","51061000000.0","51942000000.0","47029000000.0","45910000000.0","34478000000.0","",""
"Net Current Asset Value","-7943000000.0","-8566000000.0","-9080000000.0","-8874000000.0","-9231000000.0","-9492000000.0","-9799000000.0","-5394000000.0","-5488000000.0","-5448000000.0","-5465000000.0","-5121000000.0","-4751000000.0","-7431000000.0","-7450000000.0","212000000.0","",""
"Invested Capital","6131000000.0","5944000000.0","5953000000.0","6792000000.0","6665000000.0","6431000000.0","6431000000.0","3693000000.0","3516000000.0","4545000000.0","4799000000.0","4908000000.0","3828000000.0","5254000000.0","5409000000.0","1665000000.0","",""
"Average Receivables","887000000.0","970000000.0","738500000.0","639500000.0","701500000.0","774500000.0","604000000.0","468000000.0","486500000.0","576000000.0","527000000.0","286500000.0","","","","","",""
"Average Payables","382500000.0","425000000.0","393000000.0","340000000.0","337000000.0","395500000.0","403500000.0","289500000.0","308500000.0","374500000.0","400500000.0","176000000.0","","","","","",""
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","",""
