"","42918.0","42827.0","42736.0","42645.0","42554.0","42463.0","42372.0","42274.0","42183.0","42092.0","42001.0","41910.0","41819.0","41728.0","41637.0","41546.0","41455.0","41364.0","41273.0","41182.0","41091.0","41000.0","40909.0","40818.0","40727.0","40636.0","40545.0","40454.0","40363.0","40272.0","40181.0","40083.0","39992.0","39901.0","39810.0","39719.0","39628.0","39537.0","39446.0"
"Book Value per Share","18.596","17.473","14.966","15.27","13.985","13.545","12.665","13.324","12.439","11.291","10.277","9.029","8.274","12.28","12.1","10.955","11.166","10.599","10.702","9.942","9.583","9.46","8.846","8.483","9.463","8.412","9.515","8.887","8.424","7.805","7.038","8.045","7.609","7.024","6.523","7.124","4.33","4.04","3.737"
"Tangible Book Value per Share","26.651","24.795","22.22","21.787","20.004","18.695","18.234","18.511","18.652","17.2","16.16","15.97","15.381","15.711","15.506","14.766","15.456","14.806","16.773","15.724","15.728","15.302","14.542","14.052","14.762","13.312","11.674","11.026","10.559","10.356","9.55","10.195","9.745","9.017","8.706","9.039","6.26","5.833","6.363"
"FCF per Share","0.747","0.582","1.353","0.557","1.184","0.313","1.403","1.043","0.9","0.21","0.535","0.784","1.185","0.136","0.718","0.512","0.601","0.532","0.494","0.181","0.612","0.427","0.663","0.556","0.438","0.602","0.548","0.298","0.504","0.397","0.419","0.009","0.205","0.314","0.29","0.1","0.126","-0.624","0.025"
"Interest Debt per Share","8.0411","7.2329","7.2069","7.1028","7.0196","6.9568","7.4716","7.6375","9.0367","9.0505","9.07","9.0756","9.733","6.6176","6.8551","6.8505","6.8502","6.8789","6.8369","6.78","6.693","6.6533","6.6426","6.5439","6.4632","6.034","2.4755","2.4551","2.4429","2.4481","2.3633","2.2858","2.2646","2.2571","2.2613","3.3457","3.5219","3.5821","3.6316"
"Cash per Share","8.3493","6.7192","5.0067","5.417","6.4739","5.1354","5.2669","3.7945","4.0983","3.711","4.4692","5.8799","5.1708","4.0463","5.6164","5.5142","6.301","3.5799","3.5223","2.7909","2.568","2.1216","2.4927","1.8828","2.1148","3.2434","1.9777","1.6904","1.9269","1.767","1.1779","1.915","2.8507","2.8843","2.6707","2.9668","1.1708","1.0622","1.5882"
"Debt to Equity Ratio","0.4324","0.414","0.4816","0.4652","0.5019","0.5136","0.59","0.5732","0.7265","0.8016","0.8826","1.0052","1.1763","0.5389","0.5665","0.6253","0.6135","0.649","0.6388","0.6819","0.6984","0.7033","0.7509","0.7715","0.683","0.7173","0.2602","0.2762","0.29","0.3137","0.3358","0.2841","0.2976","0.3213","0.3467","0.4696","0.8134","0.8868","0.9717"
"Total Debt To Total Assets","0.2417","0.2297","0.2471","0.2465","0.2589","0.2696","0.2957","0.2973","0.3519","0.3719","0.3866","0.3907","0.4188","0.2777","0.2877","0.305","0.3017","0.3102","0.3283","0.3419","0.3511","0.3545","0.3677","0.3721","0.3535","0.3596","0.1694","0.1774","0.1831","0.1963","0.2029","0.1847","0.1894","0.2002","0.2086","0.2943","0.4029","0.4275","0.405"
"Interest Coverage","19.625","66.25","19.1259","21.2628","21.125","15.75","20.7114","11.2545","13.599","16.9482","18.3403","11.2342","7.0941","9.5998","13.1047","4.7319","5.9139","-3.8797","11.839","5.6024","4.6587","5.3765","3.2016","4.1591","6.2054","5.8725","9.0366","9.8384","8.5849","6.6022","4.5061","5.6048","7.1304","6.1638","2.575","0.0","0.0","22.5077","-1.4114"
"Current Ratio","3.875","3.491","3.288","3.622","3.685","4.309","3.435","3.786","3.086","2.901","2.617","2.227","2.496","1.419","5.022","3.67","3.93","3.783","5.867","5.431","5.564","5.589","6.807","5.061","5.707","4.377","2.354","2.279","2.258","2.334","2.225","2.499","2.422","2.341","2.25","1.781","1.042","0.99","3.396"
