"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","5.006","4.947","2.224","1.968","1.583","1.217","0.919","0.489","0.309","-0.241","-0.48","-0.531","-1.018","-0.982","-1.193","0.186","-0.195","-1.217","-1.328","-1.681","-1.681","-1.956","-1.797","-1.434","-1.087","-0.842","-0.721","-1.055","-0.861","-0.956","-0.862","-2.034","-2.985","-2.638","-2.269","-1.92","-2.795","-2.329","-1.89"
"Tangible Book Value per Share","6.026","6.139","6.493","5.981","5.291","5.898","5.408","5.138","5.207","5.013","4.687","4.658","4.044","4.033","3.888","2.289","2.326","2.417","2.509","2.216","2.359","2.248","2.538","2.94","3.325","3.643","3.897","3.803","4.059","4.198","5.882","4.674","1.597","1.909","2.344","2.813","2.347","2.732","3.19"
"FCF per Share","0.421","-0.997","0.416","0.418","-0.344","0.491","0.339","-0.031","0.063","-0.047","0.229","0.102","-0.138","-0.208","-0.085","-0.082","0.053","0.177","-0.174","-0.211","0.06","-0.432","-0.323","-0.381","-0.254","-0.363","0.201","-0.245","-0.028","0.856","0.998","-0.347","-0.305","-0.44","-0.335","-0.421","-0.384","-0.443","-0.335"
"Interest Debt per Share","0.1142","0.2131","3.4544","3.422","3.386","3.3531","3.3279","3.4398","3.6936","4.0539","3.9733","4.0412","4.0099","4.0229","4.0859","1.2068","1.573","2.5123","2.5137","2.5571","2.5406","2.5327","2.5014","2.4574","2.4299","2.421","2.3863","2.3576","2.3253","2.3194","3.7314","4.8701","4.1091","4.0957","4.0724","4.2615","4.6103","4.5968","4.5797"
"Cash per Share","2.2068","1.8577","3.4636","3.0902","2.6033","3.59","2.8772","2.5604","2.4608","2.4515","2.7471","2.2658","2.4195","2.6403","2.9116","1.7549","1.8147","1.9786","1.7012","1.8997","2.0667","1.9744","2.3139","2.7032","3.0961","3.3673","3.7066","3.5697","3.7929","3.8524","4.2611","4.3216","1.1705","1.429","1.8376","2.2471","1.5873","1.9236","1.2896"
"Debt to Equity Ratio","0.0228","0.0431","1.5531","1.7391","2.1392","2.7559","3.6218","7.0313","11.9615","-16.8437","-8.2713","-7.6047","-3.9376","-4.0956","-3.4259","6.4998","-8.055","-2.064","-1.8923","-1.5213","-1.5116","-1.2946","-1.3923","-1.714","-2.2346","-2.8748","-3.3102","-2.2347","-2.6991","-2.4272","-4.3282","-2.3948","-1.3767","-1.5528","-1.7946","-2.2196","-1.6496","-1.9736","-2.4233"
"Total Debt To Total Assets","0.0143","0.0259","0.3976","0.4167","0.4482","0.5685","0.6153","0.6695","0.7094","0.8086","0.8477","0.8676","0.9915","0.9976","1.0508","0.5236","0.6697","1.0219","1.002","1.1284","1.0524","1.0973","0.9611","0.8358","0.7309","0.6504","0.5994","0.62","0.5729","0.5525","0.622","1.0097","2.5232","2.1023","1.7048","1.4873","1.9111","1.6408","1.4021"
"Interest Coverage","-23.4375","-32.3361","1.9974","5.0407","4.6442","3.4124","6.4527","-2.5305","1.8204","-0.4181","-1.9722","6.1788","-2.2266","-1.9632","-3.7844","-1.856","0.7571","-0.3324","2.6031","-0.8737","1.3591","-3.0236","-3.9385","-3.817","-3.764","-1.4642","4.0592","-2.0774","1.3248","-2.0055","-5.8693","-5.6386","-5.2731","-5.3168","-6.6858","-6.1625","-6.3335","-5.5053","-2.5541"
"Current Ratio","2.882","2.688","3.635","3.686","3.981","4.67","5.014","4.864","3.808","3.068","3.074","5.315","5.128","5.434","5.144","3.048","3.044","2.549","2.275","2.025","2.105","1.941","2.292","2.864","3.541","3.866","4.01","3.595","4.068","3.822","4.939","9.094","3.216","3.928","4.082","6.297","4.659","6.635","7.225"
"Income Quality","-9.3555","0.9281","10.6365","2.5835","0.5104","4.056","1.2688","-0.1951","1.4407","0.2498","-1.2105","0.4686","0.3948","0.9334","0.2727","0.5423","-3.1431","-1.5788","-1.1719","1.2503","2.161","1.1976","0.7222","0.8851","0.5926","1.668","0.8421","0.9313","-0.9087","-2.8779","-1.3408","0.7805","0.7407","1.0674","0.6655","0.865","0.7137","0.9309","1.2634"
