"","42978.0","42886.0","42794.0","42704.0","42613.0","42338.0","42004.0","41913.0",""
"Book Value per Share","19.371","19.036","18.936","26.146","24.794","9.121","12.241","",""
"Tangible Book Value per Share","3.896","3.897","3.819","4.447","3.939","5.285","2.612","",""
"FCF per Share","0.518","0.355","0.441","0.372","0.294","0.618","0.531","0.376",""
"Interest Debt per Share","10.0246","9.9685","9.1443","10.944","9.6031","8.7339","2.3868","",""
"Cash per Share","0.3868","0.4066","0.3811","0.4492","0.5901","1.2085","0.6449","",""
"Debt to Equity Ratio","0.5175","0.5237","0.4829","0.4186","0.3873","0.9576","0.195","0.2795",""
"Total Debt To Total Assets","0.2844","0.2832","0.2652","0.2428","0.2279","0.3779","0.132","0.1856",""
"Interest Coverage","3.6313","3.6074","2.9623","4.0474","-0.5014","3.3309","2.9716","6.6175","5.1429"
"Current Ratio","0.528","0.551","0.531","0.661","0.657","0.99","0.818","0.621",""
"Income Quality","1.8321","2.0201","3.7985","1.8275","-4.6246","3.534","3.3584","1.2804",""
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.8895","0.8893","0.8892","0.9013","0.9065","0.7713","0.8555","0.8776",""
"Selling, General and Administrative Expense of Revenue","0.2971","0.3026","0.3175","0.2815","0.3693","0.3521","0.34","0.3709","0.3587"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-868600000.0","-835400000.0","-922800000.0","-478900000.0","-485100000.0","-9800000.0","-92300000.0","-189800000.0",""
"Tangible Asset Value","1549100000.0","1557800000.0","1551400000.0","1375000000.0","1339700000.0","1275300000.0","476700000.0","378900000.0",""
"Net Current Asset Value","-5342700000.0","-5438400000.0","-5269400000.0","-4918700000.0","-4966300000.0","-2426100000.0","-615400000.0","-729800000.0",""
"Invested Capital","3540400000.0","3520100000.0","3143600000.0","3207600000.0","2990400000.0","2130900000.0","288300000.0","377400000.0",""
"Average Receivables","585100000.0","512800000.0","478800000.0","433400000.0","","","","",""
"Average Payables","53650000.0","59600000.0","199650000.0","143550000.0","","","","",""
"Average Inventory","0.0","0.0","0.0","0.0","","","","",""
