"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","5.054","5.011","5.131","4.882","4.988","4.846","4.874","4.573","4.833","4.653","5.114","4.97","5.199","5.059","5.209","5.486","5.515","5.913","5.716","5.555","5.542","5.471","5.494","5.119","5.207","5.248","5.32","4.837","4.587","5.143","5.304","4.935","4.765","4.563","4.759","5.21","5.261","5.068","5.082"
"Tangible Book Value per Share","20.202","20.409","22.414","20.428","19.924","19.558","22.258","19.34","19.179","18.5","21.913","19.303","20.482","19.149","21.81","18.877","20.598","20.834","23.408","18.907","19.181","18.974","21.121","18.12","18.758","18.423","20.409","18.117","17.815","17.151","18.989","16.298","16.628","16.566","19.207","18.955","19.402","18.551","20.106"
"FCF per Share","0.445","-1.013","1.175","1.178","0.159","-1.699","2.1","0.616","0.563","-1.948","2.472","0.335","0.324","-1.779","2.215","0.277","0.364","-1.914","1.73","-0.338","0.279","-1.19","1.474","0.275","0.346","-1.72","1.962","0.04","0.707","-1.199","1.52","0.231","0.466","-1.226","1.431","0.022","0.81","-0.697","1.017"
"Interest Debt per Share","4.6457","4.8935","4.2999","4.3772","4.5484","4.3525","4.3271","4.2974","4.343","4.2771","4.1619","4.192","4.176","3.9144","3.909","3.9778","5.315","5.3916","5.7839","3.8968","3.7343","3.7043","3.9482","3.7112","3.7337","3.6439","3.6538","4.0956","4.0463","4.1084","4.1338","4.1554","4.3639","4.5455","4.5723","4.5916","4.6419","4.6899","5.1192"
"Cash per Share","1.6763","1.9786","2.7922","2.2419","1.6811","1.681","3.7265","2.145","2.068","1.7862","4.013","2.1374","2.1256","1.8236","3.8486","2.381","3.7965","3.9732","6.0798","2.7528","3.4339","3.5948","5.1388","3.8412","3.8254","3.866","5.6283","4.0609","4.0801","4.0925","5.2988","3.7439","3.769","3.5388","4.5453","3.6513","3.9761","3.2474","4.3907"
"Debt to Equity Ratio","0.9193","0.9765","0.838","0.8967","0.9119","0.8981","0.8879","0.9398","0.8986","0.9193","0.8138","0.8435","0.8032","0.7738","0.7505","0.725","0.9638","0.9118","1.0119","0.7015","0.6738","0.6771","0.7187","0.725","0.717","0.6944","0.6868","0.8467","0.8821","0.7988","0.7794","0.842","0.9159","0.9961","0.9607","0.8813","0.8824","0.9253","1.0073"
"Total Debt To Total Assets","0.1561","0.1639","0.1354","0.147","0.1564","0.1514","0.1387","0.1527","0.155","0.157","0.1352","0.1492","0.1425","0.1407","0.1288","0.1448","0.1831","0.1828","0.1815","0.1433","0.1378","0.1378","0.1371","0.1458","0.1436","0.1424","0.1329","0.1627","0.1635","0.17","0.1587","0.1781","0.1842","0.193","0.1748","0.1757","0.1751","0.1828","0.1886"
"Interest Coverage","7.6187","1.9282","20.4358","9.8664","9.1878","0.5487","18.412","7.385","10.798","0.8469","19.5421","8.4734","8.2876","-0.1188","12.996","4.2363","4.8613","-0.8668","13.4781","4.5918","5.6483","-0.908","10.1414","9.5532","5.5982","-1.0909","8.9358","3.0086","5.1657","-1.4509","7.4512","1.7354","1.6984","-1.6552","6.8896","2.5263","4.2868","-0.4991","4.6878"
"Current Ratio","0.934","0.943","0.965","0.988","0.991","0.992","1.014","1.015","1.032","1.026","1.046","1.039","1.037","0.961","0.99","1.049","1.053","1.162","1.135","1.009","1.032","1.018","1.039","1.016","1.011","1.022","1.092","1.064","1.066","1.097","1.106","1.121","1.11","1.083","1.089","1.083","1.095","1.078","1.079"
"Income Quality","2.3094","-17.293","1.7261","4.042","0.6361","-121.037","3.5624","3.7623","2.1502","433.7222","3.4879","1.9643","1.6952","34.7225","5.2993","3.5463","2.2991","13.0929","2.5614","-1.524","1.5949","10.8606","2.7699","0.7583","1.9666","16.6674","5.021","0.9528","3.3552","7.7692","5.7133","7.2616","11.1914","7.5413","3.4494","0.8837","4.5392","4.132","3.1812"
"Payout Ratio","0.75","3.6","0.188","0.469","0.385","15.0","0.188","0.667","0.4","0.135","0.476","0.417","-2.0","0.152","0.636","0.368","-0.5","0.082","0.375","0.261","-0.6","0.107","0.133","0.286","-0.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"Intangible Assets out of Total Assets","0.3214","0.3166","0.2943","0.3138","0.3148","0.3197","0.2867","0.313","0.3153","0.321","0.2881","0.313","0.301","0.3115","0.2812","0.313","0.2902","0.2937","0.2653","0.3047","0.2921","0.2943","0.2668","0.288","0.2786","0.2798","0.2577","0.2804","0.2801","0.2903","0.2708","0.3015","0.2981","0.2967","0.2656","0.2749","0.2681","0.2771","0.2594"
"Selling, General and Administrative Expense of Revenue","0.8904","0.9831","0.7858","0.8922","0.883","0.9868","0.7922","0.8971","0.885","0.9953","0.8038","0.907","0.8942","1.0071","0.8186","0.9168","0.9005","1.0275","0.8019","0.9213","0.8972","1.0261","0.8136","0.8997","0.9","1.0302","0.8362","0.9346","0.8897","1.0442","0.8465","0.9595","0.9343","1.0619","0.8231","0.9309","0.8885","1.0368","0.8495"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-459700000.0","-401200000.0","-268000000.0","-81900000.0","-56900000.0","-53400000.0","108800000.0","96200000.0","203800000.0","162600000.0","346900000.0","256600000.0","263400000.0","-278300000.0","-81300000.0","315400000.0","383700000.0","1040000000.0","1036600000.0","60100000.0","222100000.0","125400000.0","316700000.0","112700000.0","81000000.0","161300000.0","712600000.0","442800000.0","445100000.0","602000000.0","732100000.0","679700000.0","631900000.0","480200000.0","610600000.0","556800000.0","643300000.0","504200000.0","565200000.0"
"Tangible Asset Value","7925100000.0","7994400000.0","8810800000.0","8124200000.0","7971700000.0","7835000000.0","8976600000.0","7882800000.0","7873000000.0","7605200000.0","9067400000.0","8092000000.0","8624900000.0","8096100000.0","9276000000.0","7922700000.0","8756000000.0","8629400000.0","9913300000.0","8154400000.0","8389900000.0","8302900000.0","9464400000.0","8420500000.0","8874500000.0","8769500000.0","9702300000.0","8600200000.0","8426300000.0","8083300000.0","8942100000.0","7668100000.0","7767100000.0","7686700000.0","8904300000.0","8772300000.0","8934400000.0","8518400000.0","9226500000.0"
"Net Current Asset Value","-2936000000.0","-2870800000.0","-2737700000.0","-2883900000.0","-2734100000.0","-2810600000.0","-2638300000.0","-2687200000.0","-2618700000.0","-2625200000.0","-2517800000.0","-2506300000.0","-2469800000.0","-2456200000.0","-2321100000.0","-2206100000.0","-2125200000.0","-2052400000.0","-2071800000.0","-2107400000.0","-1939600000.0","-2001600000.0","-1815800000.0","-1925400000.0","-1940300000.0","-1884400000.0","-1759200000.0","-2033800000.0","-2046600000.0","-1893100000.0","-1811300000.0","-2080300000.0","-2187900000.0","-2233400000.0","-2105000000.0","-2444600000.0","-2360300000.0","-2513900000.0","-2440100000.0"
"Invested Capital","2143800000.0","2145500000.0","1697500000.0","2158300000.0","2436600000.0","2365800000.0","1634500000.0","2187500000.0","2373300000.0","2404300000.0","1665700000.0","2309000000.0","2350100000.0","1819900000.0","1136400000.0","2145500000.0","2181100000.0","2808700000.0","2086300000.0","1733400000.0","1506100000.0","1363700000.0","895400000.0","1243500000.0","1318400000.0","1351000000.0","1022700000.0","1743700000.0","1674600000.0","1916100000.0","1487900000.0","2259200000.0","2322500000.0","2364700000.0","2039800000.0","2522700000.0","2460200000.0","2742500000.0","2440200000.0"
"Average Receivables","5569150000.0","5438650000.0","5931600000.0","5498300000.0","5542250000.0","5386150000.0","5878100000.0","5517500000.0","5750000000.0","5492650000.0","5951300000.0","5488850000.0","5832300000.0","5551600000.0","5958600000.0","5367350000.0","5419550000.0","5288250000.0","5744000000.0","5266600000.0","5377500000.0","5266300000.0","5603650000.0","5157250000.0","5232800000.0","4946150000.0","5195650000.0","4668800000.0","4591650000.0","4385350000.0","4851300000.0","4717650000.0","4726100000.0","4652150000.0","5094650000.0","5118700000.0","5104800000.0","4825300000.0","5149800000.0"
"Average Payables","5864850000.0","5728850000.0","6496400000.0","5889650000.0","5763750000.0","5626800000.0","6623600000.0","5814200000.0","6042300000.0","5758500000.0","6736100000.0","5790300000.0","6152900000.0","5849350000.0","6749500000.0","5776200000.0","5958800000.0","5789650000.0","6616000000.0","5890500000.0","5045650000.0","4969850000.0","6726950000.0","4951000000.0","4034750000.0","3808950000.0","5317800000.0","3625650000.0","3692600000.0","3479000000.0","3925750000.0","3631400000.0","3759400000.0","3664800000.0","4073450000.0","3922950000.0","4074400000.0","3889950000.0","4124200000.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
