"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","40.741","36.886","49.895","47.733","45.096","42.002","38.498","36.776","34.261","32.565","31.032","28.478","25.496","31.824","30.714","28.189","31.068","31.201","29.984","27.515","26.586","24.703","22.497","20.196","19.46","19.019","17.325","16.991","16.322","15.206","13.379","12.163","11.18","10.07","10.764","10.111","9.233","8.482","7.721"
"Tangible Book Value per Share","44.12","39.917","53.048","50.283","47.305","43.976","40.85","38.885","36.385","34.586","33.38","30.645","27.72","34.241","32.621","29.954","33.181","33.069","31.974","29.443","28.51","26.273","24.449","21.771","20.96","20.28","18.77","18.31","17.664","15.924","14.298","12.834","11.667","10.345","11.111","10.221","9.296","8.558","7.87"
"FCF per Share","1.452","1.685","2.654","2.106","2.178","1.92","2.35","1.351","1.549","0.949","1.185","1.263","1.224","1.377","1.756","1.466","1.371","1.996","1.307","1.876","1.693","0.985","1.688","1.22","1.381","0.773","1.125","0.532","1.316","0.854","1.002","0.795","0.617","0.536","0.588","0.434","0.169","0.28","0.618"
"Interest Debt per Share","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cash per Share","6.2748","6.3324","8.9516","8.7993","10.3873","8.6693","6.369","7.7587","8.2692","6.3678","5.5124","4.5522","4.5854","7.0844","6.8605","5.0674","3.6149","3.536","4.6374","3.3099","4.0468","2.7502","3.9609","2.5422","3.2483","3.8346","2.3793","3.2318","3.5623","2.6942","1.9269","1.8031","1.5253","0.8278","1.6537","1.9447","1.9173","1.9941","1.0672"
"Debt to Equity Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Total Debt To Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","4.405","3.883","5.449","5.513","5.776","5.313","4.463","5.012","4.56","4.288","3.615","3.313","3.092","4.521","5.073","4.72","4.761","5.018","4.713","4.53","4.911","4.579","4.574","4.618","4.983","5.88","4.66","4.869","5.196","5.866","4.177","4.209","3.565","3.464","4.279","4.437","4.324","4.88","4.626"
